#,SID,CID,BioAssay_Source,RankScore,Outcome,Xref,URL,Comment,DepositDate,"Activity Outcome","Activity Score","p450-cyp2c19-Potency_&#956;M","p450-cyp2c19-Curve_Description","p450-cyp2c19-Fit_LogAC50","p450-cyp2c19-Fit_HillSlope","p450-cyp2c19-Fit_R2","p450-cyp2c19-Fit_InfiniteActivity_%","p450-cyp2c19-Fit_ZeroActivity_%","p450-cyp2c19-Fit_CurveClass","p450-cyp2c19-Excluded_Points","p450-cyp2c19-Max_Response","p450-cyp2c19-Activity at 0.0007 uM_%","p450-cyp2c19-Activity at 0.00160 uM_%","p450-cyp2c19-Activity at 0.00368 uM_%","p450-cyp2c19-Activity at 0.00820 uM_%","p450-cyp2c19-Activity at 0.018 uM_%","p450-cyp2c19-Activity at 0.041 uM_%","p450-cyp2c19-Activity at 0.091 uM_%","p450-cyp2c19-Activity at 0.204 uM_%","p450-cyp2c19-Activity at 0.457 uM_%","p450-cyp2c19-Activity at 1.022 uM_%","p450-cyp2c19-Activity at 2.286 uM_%","p450-cyp2c19-Activity at 5.111 uM_%","p450-cyp2c19-Activity at 11.43 uM_%","p450-cyp2c19-Activity at 25.56 uM_%","p450-cyp2c19-Activity at 57.14 uM_%"
1239,17408974,3190761,"NCGC",,Unspecified,,,"",2009/07/08,2,41,10,Partial curve; partial efficacy,-5,1.5579,0.9594,-77.9162,14.5369,-2.2,0 0 0 0 0 0 0,-71.6138,,,7.2977,,10.4758,,13.0939,,28.6407,,3.3363,,-37.344,,-71.6138
1240,17408970,901024,"NCGC",,Unspecified,,,"",2009/07/08,2,89,1,Complete curve; high efficacy,-6,1.331,0.9946,-120.367,-6.0151,-1.1,0 0 0 0 0 0 0,-119.8552,,,-12.0419,,0.4473,,-11.9103,,-34.6258,,-92.4326,,-115.843,,-119.855
1241,17408969,54685804,"NCGC",,Unspecified,,,"",2009/07/08,2,62,4.46684,Complete curve; partial efficacy,-5.35,4.095,0.9794,-65.0211,9.6592,-1.2,0 0 0 0 0 0 0,-66.5329,,,6.1602,,1.3594,,14.6291,,16.6503,,4.7019,,-61.8293,,-66.5329
1242,17408967,1735073,"NCGC",,Unspecified,,,"",2009/07/08,2,40,25.1189,Partial curve; high efficacy,-4.6,1.8851,0.9439,-150.717,-30.7579,-2.1,1 1 0 0 0 0 0,-129.3167,,,-129.619,,-93.6129,,-46.4211,,-17.7273,,-28.5062,,-54.3025,,-129.317
1243,17408965,993510,"NCGC",,Unspecified,,,"",2009/07/08,2,45,3.98107,Partial curve; high efficacy,-5.4,1.2475,0.9724,-118.233,10.1521,-2.1,1 0 0 0 0 0 0,-116.0114,,,27.1106,,-4.3866,,19.3497,,8.4648,,-37.8741,,-86.0646,,-116.011
1244,17408964,993512,"NCGC",,Unspecified,,,"",2009/07/08,2,45,5.01187,Partial curve; high efficacy,-5.3,1,0.9712,-132.067,-7.7833,-2.1,0 0 0 0 0 0 0,-123.0278,,,-17.5924,,6.6936,,-17.4793,,-15.09,,-47.7907,,-92.654,,-123.028
1245,17408963,1792447,"NCGC",,Unspecified,,,"",2009/07/08,2,41,15.8489,Partial curve; high efficacy,-4.8,1.1,0.941,-111.768,10.3021,-2.1,0 0 0 0 0 0 0,-93.1398,,,-3.2181,,17.7804,,21.3284,,5.8869,,-12.0477,,-32.0251,,-93.1398
1246,17408962,848507,"NCGC",,Unspecified,,,"",2009/07/08,2,42,14.1254,Partial curve; high efficacy,-4.85,2.4064,0.9605,-126.018,7.1385,-2.1,0 0 0 0 0 0 0,-122.8611,,,0.6172,,19.908,,-9.6245,,16.8032,,3.4766,,-40.2868,,-122.861
1247,17408960,7314640,"NCGC",,Unspecified,,,"",2009/07/08,2,85,1.77828,Complete curve; high efficacy,-5.75,1.8851,0.9981,-94.5054,16.5926,-1.1,0 0 0 0 0 0 0,-93.0585,,,21.3733,,15.0737,,14.7745,,8.0724,,-53.1683,,-91.8424,,-93.0585
1248,17408952,3226702,"NCGC",,Unspecified,,,"",2009/07/08,2,64,1.25893,Complete curve; partial efficacy,-5.9,1.2876,0.9915,-59.0767,3.1804,-1.2,0 0 0 0 0 0 0,-60.863,,,5.5297,,-0.8598,,3.2351,,-10.4668,,-40.7593,,-52.6563,,-60.863
1249,17408947,5286805,"NCGC",,Unspecified,,,"",2009/07/08,2,88,0.446684,Complete curve; high efficacy,-6.35,0.9,0.9969,-89.8325,-19.7201,-1.1,0 0 0 0 0 0 0,-88.0286,,,-19.3501,,-26.2575,,-31.2127,,-55.8918,,-75.9813,,-87.0085,,-88.0286
1250,17408945,11958765,"NCGC",,Unspecified,,,"",2009/07/08,2,42,15.8489,Partial curve; high efficacy,-4.8,1.3723,0.9817,-139.29,3.9725,-2.1,1 1 0 0 0 0 0,-121.5924,,,-163.649,,-87.4305,,2.2529,,10.8226,,-15.7327,,-46.6283,,-121.592
1251,17408944,2924930,"NCGC",,Unspecified,,,"",2009/07/08,2,41,11.2202,Partial curve; high efficacy,-4.95,3.132,0.9413,-84.6438,-2.544,-2.1,0 0 0 0 0 0 0,-85.5732,,,3.7602,,-14.338,,-8.1345,,-4.957,,9.8672,,-42.5597,,-85.5732
1252,17408942,6402388,"NCGC",,Unspecified,,,"",2009/07/08,2,89,1,Complete curve; high efficacy,-6,1.4163,0.9925,-130.875,26.2839,-1.1,0 0 0 0 0 0 0,-135.205,,,34.3685,,14.731,,22.0118,,-10.957,,-94.3187,,-121.176,,-135.205
1253,17408937,1457119,"NCGC",,Unspecified,,,"",2009/07/08,2,45,3.98107,Partial curve; high efficacy,-5.4,0.5,0.9731,-111.137,17.9214,-2.1,0 0 0 0 0 0 0,-84.4117,,,13.5571,,14.0169,,-2.7478,,-20.8695,,-25.9281,,-68.9777,,-84.4117
1254,17408936,3190117,"NCGC",,Unspecified,,,"",2009/07/08,2,84,7.07946,Complete curve; high efficacy,-5.15,4.095,0.9859,-138.234,-27.692,-1.1,1 0 0 0 0 0 0,-140.502,,,-63.6979,,-31.7732,,-19.0275,,-22.6275,,-37.6455,,-122.302,,-140.502
1255,17408933,3206689,"NCGC",,Unspecified,,,"",2009/07/08,2,96,0.251189,Complete curve; high efficacy,-6.6,1.1,0.9997,-152.631,20.7043,-1.1,0 0 0 0 0 0 0,-151.0518,,,20.9012,,10.7075,,-23.3603,,-92.6727,,-138.31,,-151.635,,-151.052
1256,17408932,5332521,"NCGC",,Unspecified,,,"",2009/07/08,2,43,10,Partial curve; high efficacy,-5,1.7137,0.9678,-152.19,5.0033,-2.1,0 0 0 0 0 0 0,-144.8923,,,-9.9546,,-4.6414,,12.7309,,21.8856,,-10.0607,,-81.3841,,-144.892
1257,17408929,1225447,"NCGC",,Unspecified,,,"",2009/07/08,2,41,11.2202,Partial curve; partial efficacy,-4.95,0.8,0.9812,-88.3504,14.1472,-2.2,0 0 0 0 0 0 0,-66.7133,,,16.2311,,16.0775,,8.7095,,0.1665,,-1.738,,-39.1753,,-66.7133
1258,17408927,4142111,"NCGC",,Unspecified,,,"",2009/07/08,2,85,3.54813,Complete curve; high efficacy,-5.45,1.2475,0.9911,-119.236,19.2123,-1.1,0 0 0 0 0 0 0,-113.5946,,,28.7187,,17.6756,,9.0267,,9.5207,,-30.5469,,-94.9545,,-113.595
1259,17408926,1771090,"NCGC",,Unspecified,,,"",2009/07/08,2,50,1.12202,Partial curve; high efficacy,-5.95,0.6,0.9816,-149.9,14.8657,-2.1,1 0 0 0 0 0 0,-143.4988,,,-29.7268,,5.1581,,-8.7234,,-48.5301,,-89.5585,,-104.257,,-143.499
1260,17408925,11958764,"NCGC",,Unspecified,,,"",2009/07/08,2,40,25.1189,Partial curve; high efficacy,-4.6,1.3987,0.949,-132.831,6.1497,-2.1,0 0 0 0 0 0 0,-100.4431,,,-0.7833,,10.0372,,22.5501,,-1.7989,,-8.6293,,-25.2307,,-100.443
1261,17408915,4171355,"NCGC",,Unspecified,,,"",2009/07/08,2,45,4.46684,Partial curve; high efficacy,-5.35,1,0.9977,-117.697,16.1446,-2.1,0 0 0 0 0 0 0,-107.3947,,,16.4364,,16.7943,,9.1314,,7.0266,,-31.3044,,-80.2088,,-107.395
1262,17408914,998213,"NCGC",,Unspecified,,,"",2009/07/08,2,85,1.58489,Complete curve; high efficacy,-5.8,3.132,0.935,-88.1649,-9.5998,-1.1,0 0 1 0 0 0 0,-94.8871,,,-27.0599,,-8.0286,,-54.4907,,1.1109,,-67.5634,,-82.7205,,-94.8871
1263,17408907,1105521,"NCGC",,Unspecified,,,"",2009/07/08,2,87,2.23872,Complete curve; high efficacy,-5.65,1.6266,0.9591,-125.219,-9.8912,-1.1,0 0 0 0 0 0 0,-123.7748,,,-10.9056,,-3.8859,,-29.7241,,-1.0858,,-69.8479,,-118.56,,-123.775
1264,17408906,11958763,"NCGC",,Unspecified,,,"",2009/07/08,2,85,3.16228,Complete curve; high efficacy,-5.5,0.8,0.9549,-106.777,-21.1505,-1.1,0 0 1 0 0 0 0,-95.743,,,-30.6594,,-11.8874,,-68.9192,,-40.0138,,-55.257,,-87.4368,,-95.743
1265,17408905,1907546,"NCGC",,Unspecified,,,"",2009/07/08,2,42,14.1254,Partial curve; high efficacy,-4.85,1.8617,0.9656,-128.791,-1.299,-2.1,0 0 0 0 0 0 0,-120.3157,,,4.8636,,-17.4483,,1.0728,,9.5811,,-9.2,,-51.8422,,-120.316
1266,17408890,3190066,"NCGC",,Unspecified,,,"",2009/07/08,2,40,25.1189,Partial curve; high efficacy,-4.6,1.5936,0.9722,-163.85,5.934,-2.1,0 0 0 0 0 0 0,-127.8879,,,-1.9692,,20.4617,,-4.9794,,10.8652,,0.168,,-30.7719,,-127.888
1267,17408886,3179856,"NCGC",,Unspecified,,,"",2009/07/08,2,63,3.98107,Complete curve; partial efficacy,-5.4,1.9673,0.9858,-69.183,-4.9903,-1.2,0 0 0 0 0 0 0,-69.3111,,,-10.8725,,0.5916,,-3.6507,,-7.3906,,-21.2318,,-61.7883,,-69.3111
1268,17408882,669415,"NCGC",,Unspecified,,,"",2009/07/08,2,83,4.46684,Complete curve; high efficacy,-5.35,4.9549,0.9444,-79.6043,-21.0983,-1.1,0 0 1 0 0 0 0,-74.1539,,,-20.4912,,-31.8318,,42.9854,,-11.9333,,-21.9794,,-84.7176,,-74.1539
1269,17408878,775729,"NCGC",,Unspecified,,,"",2009/07/08,2,42,12.5893,Partial curve; high efficacy,-4.9,1.1341,0.9951,-108.189,22.2374,-2.1,0 0 0 0 0 0 0,-90.1579,,,23.8266,,22.0361,,23.88,,13.0338,,6.8856,,-37.5297,,-90.1579
1270,17408876,692001,"NCGC",,Unspecified,,,"",2009/07/08,2,44,10,Partial curve; high efficacy,-5,0.9,0.9404,-166.049,7.8492,-2.1,0 0 0 0 0 0 0,-136.4117,,,20.5725,,-7.0789,,-7.6861,,20.1211,,-40.2467,,-80.7106,,-136.412
1271,17408874,3098501,"NCGC",,Unspecified,,,"",2009/07/08,2,84,4.46684,Complete curve; high efficacy,-5.35,1.6436,0.9791,-114.786,15.2032,-1.1,0 0 0 0 0 0 0,-115.8106,,,22.4,,16.5906,,-0.9111,,19.9786,,-18.9962,,-88.068,,-115.811
1272,17408872,758271,"NCGC",,Unspecified,,,"",2009/07/08,2,64,2.23872,Complete curve; partial efficacy,-5.65,4.9549,0.9528,-74.7441,-2.405,-1.2,0 0 0 0 1 0 0,-73.5633,,,1.2736,,-17.1876,,8.0925,,-1.7242,,33.6335,,-75.9576,,-73.5633
1273,17408869,1012180,"NCGC",,Unspecified,,,"",2009/07/08,2,88,4.46684,Complete curve; high efficacy,-5.35,1.3437,0.9925,-194.813,12.732,-1.1,0 0 0 0 0 0 0,-186.2162,,,25.9833,,9.1328,,9.8312,,-6.0104,,-41.7934,,-152.948,,-186.216
1274,17408868,1018751,"NCGC",,Unspecified,,,"",2009/07/08,2,42,14.1254,Partial curve; high efficacy,-4.85,1,0.9922,-156.588,-5.6999,-2.1,1 0 0 0 0 0 0,-130.4902,,,35.0893,,-2.0746,,-5.6843,,-13.9049,,-30.2113,,-66.7271,,-130.49
1275,17408866,1001683,"NCGC",,Unspecified,,,"",2009/07/08,2,90,1.77828,Complete curve; high efficacy,-5.75,2.1211,0.9995,-161.014,2.4926,-1.1,0 0 0 0 0 0 0,-162.5661,,,2.2191,,2.2569,,3.6072,,-7.4174,,-102.199,,-154.933,,-162.566
1276,17408864,5110550,"NCGC",,Unspecified,,,"",2009/07/08,2,40,31.6228,Partial curve; high efficacy,-4.5,1.7885,0.962,-120.694,-10.4442,-2.1,0 0 0 0 0 0 0,-92.9221,,,-15.4397,,-1.0473,,-11.704,,-13.2422,,-20.7652,,-23.9348,,-92.9221
1277,17408852,3129039,"NCGC",,Unspecified,,,"",2009/07/08,2,41,14.1254,Partial curve; high efficacy,-4.85,1.6259,0.9002,-111.894,1.9397,-2.1,0 0 0 0 0 0 0,-101.8658,,,2.9662,,-2.382,,-16.4048,,27.4479,,-7.5921,,-43.2664,,-101.866
1278,17408850,770167,"NCGC",,Unspecified,,,"",2009/07/08,2,43,10,Partial curve; high efficacy,-5,1.6266,0.9332,-153.362,-12.3563,-2.1,0 0 0 0 0 0 0,-144.1556,,,1.213,,-27.1832,,-1.5043,,-34.2921,,-9.2536,,-94.9942,,-144.156
1279,17408845,745033,"NCGC",,Unspecified,,,"",2009/07/08,2,86,2.51189,Complete curve; high efficacy,-5.6,1.1,0.993,-114.806,13.1381,-1.1,0 0 0 0 0 0 0,-112.0945,,,19.2866,,4.2954,,12.898,,-4.3162,,-47.4012,,-93.4599,,-112.094
1280,17408842,1374114,"NCGC",,Unspecified,,,"",2009/07/08,2,43,8.91251,Partial curve; high efficacy,-5.05,1.331,0.9628,-137.203,-31.7447,-2.1,0 0 0 0 0 0 0,-127.1425,,,-28.9444,,-44.0796,,-31.277,,-21.1546,,-50.4156,,-91.9243,,-127.143
1281,17408828,824234,"NCGC",,Unspecified,,,"",2009/07/08,2,41,15.8489,Partial curve; high efficacy,-4.8,2.4064,0.9785,-98.2917,-1.5111,-2.1,0 0 0 0 0 0 0,-94.5025,,,-10.4547,,6.2392,,1.8759,,-4.0807,,-0.6997,,-33.2772,,-94.5025
1282,17408821,3737197,"NCGC",,Unspecified,,,"",2009/07/08,2,85,2.81838,Complete curve; high efficacy,-5.55,1.1,0.9972,-97.9642,1.3421,-1.1,1 0 0 0 0 0 0,-92.8868,,,-28.0394,,3.6919,,-1.5533,,-13.0557,,-40.8462,,-82.4868,,-92.8868
1283,17408818,1731866,"NCGC",,Unspecified,,,"",2009/07/08,2,42,15.8489,Partial curve; high efficacy,-4.8,1.21,0.9779,-147.059,2.7612,-2.1,0 0 0 0 0 0 0,-128.302,,,6.1224,,9.7596,,4.5339,,-7.5563,,-19.6097,,-50.4231,,-128.302
1284,17408806,3153675,"NCGC",,Unspecified,,,"",2009/07/08,2,42,10,Partial curve; high efficacy,-5,2.4064,0.984,-87.0021,-16.0752,-2.1,0 0 0 0 0 0 0,-85.829,,,-22.8775,,-10.9021,,-17.2562,,-15.7166,,-16.6818,,-57.0326,,-85.829
1285,17408800,4240836,"NCGC",,Unspecified,,,"",2009/07/08,2,88,2.81838,Complete curve; high efficacy,-5.55,1.331,0.9712,-168.37,-6.2183,-1.1,0 0 0 0 0 0 0,-166.9584,,,-28.5794,,10.7061,,-0.6133,,-18.8843,,-79.3051,,-143.941,,-166.958
1286,17408787,2829936,"NCGC",,Unspecified,,,"",2009/07/08,2,65,1.58489,Complete curve; partial efficacy,-5.8,2.1211,0.9901,-78.718,-26.9905,-1.2,0 0 0 0 0 0 0,-79.7251,,,-25.1345,,-31.6242,,-23.9168,,-30.0761,,-62.3724,,-77.1233,,-79.7251
1287,17408782,855788,"NCGC",,Unspecified,,,"",2009/07/08,2,43,12.5893,Partial curve; high efficacy,-4.9,2.4064,0.9798,-153.183,15.9807,-2.1,0 0 0 0 0 0 0,-149.1078,,,4.9108,,4.2857,,28.4552,,24.9137,,13.0911,,-57.2872,,-149.108
1288,17408780,2909312,"NCGC",,Unspecified,,,"",2009/07/08,2,41,12.5893,Partial curve; partial efficacy,-4.9,3.0654,0.9548,-77.1564,4.4308,-2.2,0 0 0 0 0 0 0,-77.3867,,,13.9974,,-7.0363,,0.0843,,3.6078,,9.3664,,-28.6274,,-77.3867
1289,17408777,5762712,"NCGC",,Unspecified,,,"",2009/07/08,2,41,11.2202,Partial curve; high efficacy,-4.95,3.132,0.9496,-87.4889,4.7801,-2.1,0 0 0 0 0 0 0,-86.6281,,,1.8008,,-8.7951,,5.0955,,19.5964,,6.6488,,-43.4361,,-86.6281
1290,17408775,3216052,"NCGC",,Unspecified,,,"",2009/07/08,2,86,1,Complete curve; high efficacy,-6,1.1,0.9963,-83.0798,-10.2737,-1.1,0 0 0 0 0 0 0,-82.0087,,,-13.5851,,-8.7026,,-13.5671,,-33.8065,,-61.879,,-78.2556,,-82.0087
1291,17408772,1143752,"NCGC",,Unspecified,,,"",2009/07/08,2,86,2.51189,Complete curve; high efficacy,-5.6,0.9,0.991,-122.739,33.8899,-1.1,0 0 0 0 0 0 0,-110.4411,,,40.1807,,24.2716,,28.3852,,2.1489,,-36.2261,,-97.5906,,-110.441
1292,17408761,790786,"NCGC",,Unspecified,,,"",2009/07/08,2,85,3.54813,Complete curve; high efficacy,-5.45,1.4163,0.9965,-114.885,-10.1705,-1.1,0 0 0 0 0 0 0,-112.6693,,,-8.4754,,-15.4315,,-8.8191,,-13.4582,,-48.5168,,-98.1731,,-112.669
1293,17408749,3119335,"NCGC",,Unspecified,,,"",2009/07/08,2,44,4.46684,Partial curve; high efficacy,-5.35,0.8,0.997,-96.1539,25.8115,-2.1,1 0 0 0 0 0 0,-81.4451,,,-22.3828,,23.5608,,23.9081,,5.4659,,-17.5457,,-58.6689,,-81.4451
1294,17408731,1078765,"NCGC",,Unspecified,,,"",2009/07/08,2,42,11.2202,Partial curve; partial efficacy,-4.95,0.6,0.9865,-102.261,-10.7255,-2.2,0 0 0 0 0 0 0,-79.2427,,,-7.5466,,-14.5244,,-17.4315,,-25.2693,,-31.7526,,-56.9093,,-79.2427
1295,17408728,1118366,"NCGC",,Unspecified,,,"",2009/07/08,2,84,7.94328,Complete curve; high efficacy,-5.1,4.095,0.9891,-143.195,-15.4145,-1.1,1 0 0 0 0 0 0,-142.0683,,,-41.805,,-14.9215,,-8.9632,,-10.634,,-27.7192,,-120.472,,-142.068
1296,17408723,3186770,"NCGC",,Unspecified,,,"",2009/07/08,2,41,11.2202,Partial curve; partial efficacy,-4.95,3.5117,0.903,-77.0706,0.3803,-2.2,0 0 0 0 0 0 0,-76.4085,,,4.5109,,-7.4597,,-16.1235,,14.7882,,6.6315,,-40.7125,,-76.4085
1297,17408722,1564844,"NCGC",,Unspecified,,,"",2009/07/08,2,42,10,Partial curve; high efficacy,-5,1.9887,0.9492,-98.7151,1.1123,-2.1,0 0 0 0 0 0 0,-96.1665,,,8.6444,,-9.8049,,-9.0196,,15.0649,,-4.8098,,-54.3022,,-96.1665
1298,17408698,36755,"NCGC",,Unspecified,,,"",2009/07/08,2,41,14.1254,Partial curve; high efficacy,-4.85,1.2221,0.9884,-113.105,-24.3177,-2.1,0 0 0 0 0 0 0,-100.8243,,,-23.6105,,-22.4339,,-27.6114,,-21.9796,,-37.6813,,-60.0745,,-100.824
1299,17408692,3146013,"NCGC",,Unspecified,,,"",2009/07/08,2,88,2.23872,Complete curve; high efficacy,-5.65,1.4641,0.9726,-143.283,0.7945,-1.1,0 0 0 0 0 0 0,-145.885,,,-19.6238,,13.0092,,9.2678,,-12.5925,,-73.5689,,-126.983,,-145.885
1300,17408691,11958749,"NCGC",,Unspecified,,,"",2009/07/08,2,42,12.5893,Partial curve; high efficacy,-4.9,1.8617,0.9843,-117.445,-26.7151,-2.1,0 0 0 0 0 0 0,-112.2654,,,-24.8829,,-20.4442,,-27.9261,,-34.6719,,-29.8501,,-68.6631,,-112.265
1301,17408688,765951,"NCGC",,Unspecified,,,"",2009/07/08,2,41,15.8489,Partial curve; high efficacy,-4.8,2.3332,0.9666,-99.9266,-22.1496,-2.1,0 0 0 0 0 0 0,-97.1197,,,-14.0342,,-29.5777,,-27.6521,,-19.4652,,-20.6746,,-48.2723,,-97.1197
1302,17408679,3138232,"NCGC",,Unspecified,,,"",2009/07/08,2,86,1.99526,Complete curve; high efficacy,-5.7,1.1,0.979,-107.419,20.6194,-1.1,0 0 0 0 0 0 0,-99.7183,,,5.4938,,29.1528,,21.7949,,-0.8742,,-47.8668,,-92.1913,,-99.7183
1303,17408677,1146043,"NCGC",,Unspecified,,,"",2009/07/08,2,48,1.99526,Partial curve; high efficacy,-5.7,0.6,0.9937,-146.082,31.9087,-2.1,0 0 0 0 0 0 0,-121.7353,,,33.9167,,14.3995,,8.0557,,-19.4553,,-57.9157,,-105.203,,-121.735
1304,17408673,3205534,"NCGC",,Unspecified,,,"",2009/07/08,2,82,7.94328,Complete curve; high efficacy,-5.1,4.5045,0.9978,-95.9955,25.0091,-1.1,1 0 0 0 0 0 0,-95.1059,,,62.2183,,23.9599,,29.9398,,21.8714,,24.1362,,-76.7491,,-95.1059
1305,17408661,2244402,"NCGC",,Unspecified,,,"",2009/07/08,2,40,22.3872,Partial curve; partial efficacy,-4.65,2.1876,0.934,-72.6406,2.7643,-2.2,0 0 0 0 1 0 0,-64.0874,,,-1.1638,,-7.5488,,7.4675,,13.2698,,60.6548,,-11.3188,,-64.0874
1306,17408654,858840,"NCGC",,Unspecified,,,"",2009/07/08,2,62,7.94328,Complete curve; partial efficacy,-5.1,4.095,0.9432,-69.8208,5.8463,-1.2,0 1 0 0 0 0 0,-69.8507,,,13.2233,,57.238,,10.8972,,-11.0638,,9.0917,,-55.5942,,-69.8507
1307,17408652,3215780,"NCGC",,Unspecified,,,"",2009/07/08,2,41,15.8489,Partial curve; partial efficacy,-4.8,1.6604,0.9396,-71.9452,-6.5946,-2.2,0 0 0 0 0 0 0,-64.7855,,,-16.3251,,-1.7765,,-8.9868,,1.1609,,-10.3312,,-30.569,,-64.7855
1308,17408645,3688989,"NCGC",,Unspecified,,,"",2009/07/08,2,43,6.30957,Partial curve; high efficacy,-5.2,1.21,0.9905,-94.9845,5.0972,-2.1,1 0 0 0 0 0 0,-87.2324,,,-34.5189,,10.8243,,1.3702,,-3.3661,,-14.7293,,-63.7443,,-87.2324
1309,17408644,3206683,"NCGC",,Unspecified,,,"",2009/07/08,2,94,0.0398107,Complete curve; high efficacy,-7.4,1.8579,0.998,-99.5896,15.5141,-1.1,0 0 0 0 0 0 0,-102.1446,,,12.7748,,-5.0403,,-80.1754,,-94.6678,,-98.4437,,-101.457,,-102.145
1310,17408638,1119977,"NCGC",,Unspecified,,,"",2009/07/08,2,44,10,Partial curve; high efficacy,-5,1,0.9688,-191.896,-3.3976,-2.1,0 0 0 0 0 0 0,-163.4527,,,3.1239,,-2.758,,-23.8974,,6.4258,,-44.9374,,-103.227,,-163.453
1311,17408630,958669,"NCGC",,Unspecified,,,"",2009/07/08,2,84,5.01187,Complete curve; high efficacy,-5.3,1.5579,0.9748,-121.172,-29.5601,-1.1,0 0 0 0 0 0 0,-119.1138,,,-35.6821,,-36.0531,,-17.8848,,-29.3165,,-51.6474,,-101.235,,-119.114
1312,17408624,1792066,"NCGC",,Unspecified,,,"",2009/07/08,2,64,1.77828,Complete curve; partial efficacy,-5.75,1,0.9481,-65.7325,17.8703,-1.2,0 0 0 0 0 0 0,-61.9685,,,4.4779,,26.7346,,22.1606,,-5.3774,,-25.6588,,-57.5499,,-61.9685
1313,17408616,3102030,"NCGC",,Unspecified,,,"",2009/07/08,2,88,0.501187,Complete curve; high efficacy,-6.3,0.7,0.9844,-97.3834,34.3166,-1.1,0 0 0 0 0 0 0,-89.472,,,35.3155,,20.5138,,-4.4242,,-19.1824,,-69.0718,,-86.9758,,-89.472
1314,17408614,5443591,"NCGC",,Unspecified,,,"",2009/07/08,2,44,2.81838,Partial curve; partial efficacy,-5.55,0.4,0.942,-89.6917,1.2346,-2.2,0 0 0 0 0 0 0,-69.1232,,,-1.6846,,-7.6985,,-27.087,,-26.1504,,-33.3457,,-61.6816,,-69.1232
1315,17408611,3108201,"NCGC",,Unspecified,,,"",2009/07/08,2,41,15.8489,Partial curve; high efficacy,-4.8,1.4163,0.9809,-102.076,9.8272,-2.1,0 0 0 0 0 0 0,-89.6134,,,3.9663,,19.5779,,12.614,,5.9229,,-0.1378,,-33.3944,,-89.6134
1316,17408602,1442414,"NCGC",,Unspecified,,,"",2009/07/08,2,87,1.77828,Complete curve; high efficacy,-5.75,0.7,0.9835,-113.576,27.5327,-1.1,0 0 0 0 0 0 0,-95.6899,,,29.4588,,21.3859,,6.299,,-11.4931,,-41.8839,,-94.8277,,-95.6899
1317,17408599,3188518,"NCGC",,Unspecified,,,"",2009/07/08,2,45,3.54813,Partial curve; high efficacy,-5.45,1.111,0.9742,-110.634,13.1202,-2.1,0 0 0 0 0 0 0,-106.4088,,,-0.3642,,15.6814,,24.7934,,-2.0613,,-34.1449,,-82.8366,,-106.409
1318,17408594,1817278,"NCGC",,Unspecified,,,"",2009/07/08,2,41,15.8489,Partial curve; high efficacy,-4.8,2.2526,0.9093,-89.633,12.2026,-2.1,0 0 1 0 0 0 0,-83.0945,,,17.1128,,17.9679,,64.283,,-10.651,,23.015,,-19.117,,-83.0945
1319,17408566,824092,"NCGC",,Unspecified,,,"",2009/07/08,2,63,2.51189,Complete curve; partial efficacy,-5.6,1.21,0.9987,-69.9427,-12.3062,-1.2,0 0 0 0 0 0 0,-68.9916,,,-12.0493,,-13.4462,,-12.938,,-18.3475,,-40.5372,,-60.5773,,-68.9916
1320,17408563,1034763,"NCGC",,Unspecified,,,"",2009/07/08,2,43,11.2202,Partial curve; high efficacy,-4.95,0.7,0.9747,-162.123,1.3642,-2.1,0 0 0 0 0 0 0,-123.7336,,,-10.5174,,12.6894,,-1.1854,,-21.2288,,-37.5798,,-81.2777,,-123.734
1321,17408560,3215615,"NCGC",,Unspecified,,,"",2009/07/08,2,89,1.12202,Complete curve; high efficacy,-5.95,1.3723,0.9616,-132.828,-62.9207,-1.1,0 0 0 0 0 0 0,-130.8623,,,-73.0788,,-59.5376,,-55.841,,-82.7597,,-110.49,,-134.071,,-130.862
1322,17408557,1075985,"NCGC",,Unspecified,,,"",2009/07/08,2,62,5.62341,Complete curve; partial efficacy,-5.25,4.9549,0.9767,-73.3436,-33.2402,-1.2,0 0 0 0 0 0 0,-72.4072,,,-34.1511,,-33.6554,,-32.7999,,-38.2218,,-28.7602,,-73.3195,,-72.4072
1323,17408556,1373960,"NCGC",,Unspecified,,,"",2009/07/08,2,84,8.91251,Complete curve; high efficacy,-5.05,1.4641,0.9175,-161.77,-48.8249,-1.1,0 0 0 0 0 0 0,-149.3635,,,-56.5555,,-41.9728,,-69.4614,,-32.9249,,-56.4727,,-121.648,,-149.363
1324,17408551,3143991,"NCGC",,Unspecified,,,"",2009/07/08,2,44,3.98107,Partial curve; high efficacy,-5.4,0.7,0.9618,-108.431,20.1395,-2.1,0 0 0 0 0 0 0,-88.3849,,,30.083,,12.7881,,3.3396,,-7.0388,,-19.6735,,-76.0531,,-88.3849
1325,17408547,3876972,"NCGC",,Unspecified,,,"",2009/07/08,2,89,1,Complete curve; high efficacy,-6,1.5095,0.9931,-122.641,-6.8673,-1.1,0 0 0 0 0 0 0,-124.3106,,,-14.6934,,-4.3996,,-3.7128,,-36.3005,,-94.5225,,-118.898,,-124.311
