#,SID,CID,BioAssay_Source,RankScore,Outcome,Xref,URL,Comment,DepositDate,"Activity Outcome","Activity Score","p450-cyp2c9-Potency_&#956;M","p450-cyp2c9-Curve_Description","p450-cyp2c9-Fit_LogAC50","p450-cyp2c9-Fit_HillSlope","p450-cyp2c9-Fit_R2","p450-cyp2c9-Fit_InfiniteActivity_%","p450-cyp2c9-Fit_ZeroActivity_%","p450-cyp2c9-Fit_CurveClass","p450-cyp2c9-Excluded_Points","p450-cyp2c9-Max_Response","p450-cyp2c9-Activity at 0.0007 uM_%","p450-cyp2c9-Activity at 0.00160 uM_%","p450-cyp2c9-Activity at 0.00368 uM_%","p450-cyp2c9-Activity at 0.00820 uM_%","p450-cyp2c9-Activity at 0.018 uM_%","p450-cyp2c9-Activity at 0.041 uM_%","p450-cyp2c9-Activity at 0.091 uM_%","p450-cyp2c9-Activity at 0.204 uM_%","p450-cyp2c9-Activity at 0.457 uM_%","p450-cyp2c9-Activity at 1.022 uM_%","p450-cyp2c9-Activity at 2.286 uM_%","p450-cyp2c9-Activity at 5.111 uM_%","p450-cyp2c9-Activity at 11.43 uM_%","p450-cyp2c9-Activity at 25.56 uM_%","p450-cyp2c9-Activity at 57.14 uM_%"
520,17412239,2858758,"NCGC",,Unspecified,,,"",2009/07/08,2,89,0.562341,Complete curve; high efficacy,-6.25,1.4641,0.994,-103.593,-17.308,-1.1,0 0 0 0 0 0 0,-103.819,,,-14.0238,,-24.1175,,-20.508,,-53.1759,,-95.2378,,-101.962,,-103.819
521,17412236,5335845,"NCGC",,Unspecified,,,"",2009/07/08,2,84,4.46684,Complete curve; high efficacy,-5.35,1.3437,0.9978,-109.731,-8.5531,-1.1,0 0 0 0 0 0 0,-105.984,,,-6.3885,,-6.3225,,-10.8551,,-15.6616,,-36.7074,,-88.868,,-105.984
522,17412225,5921108,"NCGC",,Unspecified,,,"",2009/07/08,2,42,5.01187,Partial curve; partial efficacy,-5.3,1.1705,0.9393,-68.935,8,-2.2,0 0 0 0 0 0 0,-67.8261,,,-5.7025,,9.5193,,15.2161,,11.7106,,-19.3949,,-44.9487,,-67.8261
523,17412214,2869993,"NCGC",,Unspecified,,,"",2009/07/08,2,84,3.16228,Complete curve; high efficacy,-5.5,1.4781,0.989,-96.6653,14.1809,-1.1,0 0 0 0 0 0 0,-94.8339,,,11.872,,6.8131,,23.3407,,7.8894,,-28.4674,,-82.8168,,-94.8339
524,17412209,979812,"NCGC",,Unspecified,,,"",2009/07/08,2,84,3.98107,Complete curve; high efficacy,-5.4,1,0.9953,-97.7699,-20.3529,-1.1,0 0 0 0 0 0 0,-92.2025,,,-21.2701,,-18.472,,-20.8097,,-31.4515,,-46.3185,,-79.4706,,-92.2025
525,17412197,5511356,"NCGC",,Unspecified,,,"",2009/07/08,2,44,4.46684,Partial curve; high efficacy,-5.35,1.1705,0.9956,-116.162,22.7704,-2.1,0 0 0 0 0 0 0,-108.877,,,29.1257,,17.4585,,19.4784,,12.5554,,-18.1734,,-82.612,,-108.877
526,17412191,2856656,"NCGC",,Unspecified,,,"",2009/07/08,2,44,5.01187,Partial curve; high efficacy,-5.3,1.3987,0.9926,-112.775,6.1484,-2.1,0 0 0 0 0 0 0,-109.35,,,8.4192,,1.2392,,13.6179,,-1.7961,,-23.6956,,-84.3737,,-109.35
527,17412183,2869583,"NCGC",,Unspecified,,,"",2009/07/08,2,41,10,Partial curve; partial efficacy,-5,2.8473,0.9306,-62.2354,7.5,-2.2,0 0 0 0 0 0 0,-62.0929,,,-1.2095,,3.0197,,5.186,,23.4274,,6.8442,,-33.5066,,-62.0929
528,17412181,5510106,"NCGC",,Unspecified,,,"",2009/07/08,2,64,1.25893,Complete curve; partial efficacy,-5.9,1.2221,0.9851,-70.6547,2.7435,-1.2,0 0 0 0 0 0 0,-68.8897,,,-1.7688,,2.9263,,6.2395,,-18.1113,,-43.7472,,-68.642,,-68.8897
529,17412178,6897144,"NCGC",,Unspecified,,,"",2009/07/08,2,84,3.16228,Complete curve; high efficacy,-5.5,4.5045,0.9615,-88.0496,2.1684,-1.1,0 0 1 0 0 0 0,-94.1555,,,2.65,,14.266,,49.4031,,-11.0751,,-14.8987,,-81.4454,,-94.1555
530,17412167,2866183,"NCGC",,Unspecified,,,"",2009/07/08,2,40,25.1189,Partial curve; high efficacy,-4.6,2.2526,0.9353,-94.8865,-20.5658,-2.1,0 0 0 1 0 0 0,-84.6053,,,-25.3774,,-25.3469,,-28.7924,,-46.9506,,-11.0048,,-31.6492,,-84.6053
531,17412149,732106,"NCGC",,Unspecified,,,"",2009/07/08,2,41,14.1254,Partial curve; high efficacy,-4.85,2.4064,0.9164,-85.5614,-15.0433,-2.1,0 1 0 0 0 0 0,-82.5097,,,-6.1748,,44.6114,,-15.623,,-29.5999,,-8.554,,-43.1475,,-82.5097
532,17412145,2238869,"NCGC",,Unspecified,,,"",2009/07/08,2,41,12.5893,Partial curve; high efficacy,-4.9,3.0654,0.928,-91.6863,0.0384,-2.1,0 0 0 0 0 0 0,-90.9407,,,2.3,,8.6758,,3.8971,,-20.6725,,6.7999,,-39.4968,,-90.9407
533,17412143,979778,"NCGC",,Unspecified,,,"",2009/07/08,2,85,1.99526,Complete curve; high efficacy,-5.7,1.4641,0.9362,-86.7584,5.5335,-1.1,0 0 0 0 0 0 0,-88.5486,,,10.7819,,10.3573,,-16.1483,,8.1361,,-49.3965,,-74.5146,,-88.5486
534,17412139,1322118,"NCGC",,Unspecified,,,"",2009/07/08,2,64,2.23872,Complete curve; partial efficacy,-5.65,2.2526,0.9895,-75.3326,-16.4189,-1.2,0 0 0 0 0 0 0,-71.5426,,,-13.7558,,-19.4149,,-16.6947,,-17.7848,,-45.2335,,-77.8754,,-71.5426
535,17412137,2898275,"NCGC",,Unspecified,,,"",2009/07/08,2,41,14.1254,Partial curve; partial efficacy,-4.85,0.8,0.9053,-80.7397,3.2932,-2.2,0 0 0 0 0 0 0,-64.1941,,,2.5408,,0.454,,1.0929,,9.9415,,-25.4126,,-27.2614,,-64.1941
536,17412125,2295127,"NCGC",,Unspecified,,,"",2009/07/08,2,85,3.98107,Complete curve; high efficacy,-5.4,1.6604,0.9232,-116.168,-22.933,-1.1,1 0 0 0 0 0 0,-116.786,,,-58.5482,,-18.0985,,-43.946,,-10.2313,,-52.7759,,-99.3795,,-116.786
537,17412117,9656726,"NCGC",,Unspecified,,,"",2009/07/08,2,66,0.794328,Complete curve; partial efficacy,-6.1,0.9,0.9952,-79.0066,31.6342,-1.2,0 0 0 0 0 0 0,-76.5623,,,28.4517,,30.6723,,20.4987,,-15.9252,,-45.0303,,-70.443,,-76.5623
538,17412099,2983415,"NCGC",,Unspecified,,,"",2009/07/08,2,85,2.81838,Complete curve; high efficacy,-5.55,1.1,0.9957,-98.2906,4.1342,-1.1,0 0 0 0 0 0 0,-94.3974,,,0.2469,,8.9567,,0.098,,-7.1057,,-41.4281,,-80.8698,,-94.3974
539,17412097,2983508,"NCGC",,Unspecified,,,"",2009/07/08,2,85,1.99526,Complete curve; high efficacy,-5.7,1.331,0.984,-87.8833,11.7606,-1.1,0 0 0 0 0 0 0,-81.7724,,,16.6725,,15.6761,,1.6758,,-2.5478,,-40.8106,,-85.5932,,-81.7724
540,17412094,882445,"NCGC",,Unspecified,,,"",2009/07/08,2,42,10,Partial curve; high efficacy,-5,1.7529,0.9981,-107.309,21.6693,-2.1,0 0 0 1 0 0 0,-102.702,,,19.2391,,21.7905,,24.7645,,33.0465,,11.6791,,-47.4809,,-102.702
541,17412082,2981737,"NCGC",,Unspecified,,,"",2009/07/08,2,41,15.8489,Partial curve; high efficacy,-4.8,1.1,0.9355,-119.702,-4.8879,-2.1,0 0 0 0 0 0 0,-99.7515,,,-10.0468,,8.8682,,-17.3204,,2.7114,,-24.5286,,-48.3571,,-99.7515
542,17412078,2982169,"NCGC",,Unspecified,,,"",2009/07/08,2,42,6.30957,Partial curve; partial efficacy,-5.2,1.331,0.9924,-70.271,-6.1235,-2.2,0 0 0 0 0 0 0,-63.3406,,,-6.2891,,-7.0156,,-8.8677,,-5.7177,,-18.9701,,-50.5375,,-63.3406
543,17412075,1257799,"NCGC",,Unspecified,,,"",2009/07/08,2,86,2.23872,Complete curve; high efficacy,-5.65,1,0.9874,-107.779,-4.0605,-1.1,0 0 0 0 0 0 0,-97.926,,,-10.5908,,-0.2436,,-8.628,,-17.7356,,-59.535,,-88.7467,,-97.926
544,17412063,5732077,"NCGC",,Unspecified,,,"",2009/07/08,2,41,15.8489,Partial curve; partial efficacy,-4.8,1.21,0.9704,-93.9171,-11.638,-2.2,0 0 0 0 0 0 0,-79.9309,,,-13.0363,,-17.2693,,-11.4963,,-3.7681,,-21.5104,,-43.3945,,-79.9309
545,17412054,2981294,"NCGC",,Unspecified,,,"",2009/07/08,2,85,3.16228,Complete curve; high efficacy,-5.5,3.2975,0.9963,-111.001,3.0013,-1.1,0 0 0 0 0 0 0,-116.511,,,3.5423,,1.683,,2.7092,,2.6052,,-24.8408,,-103.956,,-116.511
546,17412052,2981354,"NCGC",,Unspecified,,,"",2009/07/08,2,43,7.07946,Partial curve; high efficacy,-5.15,1.331,0.9584,-107.387,-7.8492,-2.1,0 0 0 0 0 0 0,-97.5319,,,-0.6107,,-17.9602,,0.9599,,-18.7702,,-20.6968,,-77.3863,,-97.5319
547,17412051,1257248,"NCGC",,Unspecified,,,"",2009/07/08,2,83,3.98107,Complete curve; high efficacy,-5.4,2.3531,0.9529,-82.6631,-2.1314,-1.1,0 0 0 0 0 0 0,-82.3287,,,13.9854,,-3.5385,,-4.2733,,-14.0463,,-20.3972,,-76.3068,,-82.3287
548,17412042,2238272,"NCGC",,Unspecified,,,"",2009/07/08,2,42,10,Partial curve; high efficacy,-5,2.7868,0.9886,-106.064,5.3037,-2.1,0 0 0 0 0 0 0,-104.101,,,4.4414,,6.7576,,-2.2978,,13.7584,,2.042,,-62.0125,,-104.101
549,17412039,2982742,"NCGC",,Unspecified,,,"",2009/07/08,2,85,2.51189,Complete curve; high efficacy,-5.6,1.6266,0.9513,-106.558,-11.9594,-1.1,1 0 0 0 0 0 0,-105.785,,,31.4712,,-25.5098,,-14.7877,,-1.2554,,-60.4383,,-98.54,,-105.785
550,17412035,2238533,"NCGC",,Unspecified,,,"",2009/07/08,2,41,17.7828,Partial curve; partial efficacy,-4.75,1.1,0.9723,-94.6789,-3.3721,-2.2,0 0 0 0 0 0 0,-78.8991,,,-6.8211,,-2.7427,,4.822,,-7.826,,-16.4712,,-35.1699,,-78.8991
551,17412032,1258340,"NCGC",,Unspecified,,,"",2009/07/08,2,40,22.3872,Partial curve; high efficacy,-4.65,1.9673,0.9259,-97.2135,-11.338,-2.1,1 0 0 0 0 0 0,-85.3949,,,24.6819,,-9.6526,,-26.8466,,-7.1921,,-2.9986,,-29.6563,,-85.3949
552,17412029,2983080,"NCGC",,Unspecified,,,"",2009/07/08,2,45,3.54813,Partial curve; high efficacy,-5.45,1,0.9788,-117.991,14.6178,-2.1,0 0 0 0 0 0 0,-110.508,,,22.3817,,11.0405,,-0.9482,,9.6725,,-41.6342,,-84.5417,,-110.508
553,17412025,5732244,"NCGC",,Unspecified,,,"",2009/07/08,2,88,1.99526,Complete curve; high efficacy,-5.7,1,0.9917,-139.992,-9.4681,-1.1,0 0 0 0 0 0 0,-131.331,,,-14.0568,,-9.9137,,-10.7764,,-38.4964,,-73.2707,,-125.926,,-131.331
554,17412024,2908925,"NCGC",,Unspecified,,,"",2009/07/08,2,42,7.94328,Partial curve; high efficacy,-5.1,1.5095,0.9721,-96.2175,15.8479,-2.1,0 1 0 0 0 0 0,-91.9204,,,2.2409,,-52.0519,,25.4717,,17.8912,,-0.0855,,-53.8059,,-91.9204
555,17412020,1321983,"NCGC",,Unspecified,,,"",2009/07/08,2,85,3.54813,Complete curve; high efficacy,-5.45,2.6384,0.9929,-112.603,-2.3838,-1.1,0 0 0 0 0 0 0,-115.19,,,-9.3132,,-2.0431,,-2.2883,,3.9977,,-28.2258,,-104.754,,-115.19
556,17412008,2858180,"NCGC",,Unspecified,,,"",2009/07/08,2,41,15.8489,Partial curve; partial efficacy,-4.8,1.6259,0.9674,-73.8207,16.254,-2.2,0 0 0 0 0 0 0,-65.3731,,,11.7178,,27.1667,,10.0732,,19.1234,,10.0649,,-17.253,,-65.3731
557,17411994,783054,"NCGC",,Unspecified,,,"",2009/07/08,2,42,10,Partial curve; partial efficacy,-5,1.1,0.9692,-83.9565,0.2374,-2.2,0 0 0 0 0 0 0,-73.1877,,,-8.0251,,9.4382,,-1.939,,-0.7356,,-13.9935,,-45.3889,,-73.1877
558,17411986,2283286,"NCGC",,Unspecified,,,"",2009/07/08,2,42,11.2202,Partial curve; high efficacy,-4.95,1.2876,0.9849,-109.97,6.5816,-2.1,0 0 0 0 0 0 0,-97.1263,,,12.5669,,4.4544,,-2.6608,,10.0245,,-7.6561,,-52.1191,,-97.1263
559,17411985,2898557,"NCGC",,Unspecified,,,"",2009/07/08,2,64,3.16228,Complete curve; partial efficacy,-5.5,2.3332,0.9716,-80.0058,-9.4955,-1.2,0 0 0 0 0 0 0,-79.7973,,,-7.9366,,-19.8549,,-6.7152,,-2.2871,,-33.5671,,-76.0206,,-79.7973
560,17411979,2981764,"NCGC",,Unspecified,,,"",2009/07/08,2,62,3.54813,Complete curve; partial efficacy,-5.45,3.6772,0.9498,-56.031,11.1479,-1.2,0 0 0 0 0 0 0,-62.8957,,,2.285,,17.2789,,20.0631,,5.659,,-0.9123,,-48.2654,,-62.8957
561,17411968,2904360,"NCGC",,Unspecified,,,"",2009/07/08,2,88,0.251189,Complete curve; high efficacy,-6.6,1.1,0.9851,-79.824,-0.3992,-1.1,0 0 0 0 0 0 0,-80.1804,,,-2.4434,,-1.2556,,-24.4729,,-48.5911,,-79.9883,,-74.3611,,-80.1804
562,17411966,5731085,"NCGC",,Unspecified,,,"",2009/07/08,2,86,2.81838,Complete curve; high efficacy,-5.55,1.3443,0.9975,-125.171,5.2067,-1.1,1 0 0 0 0 0 0,-124.377,,,20.8976,,0.6081,,5.7907,,-2.0729,,-52.38,,-106.055,,-124.377
563,17411953,3379732,"NCGC",,Unspecified,,,"",2009/07/08,2,41,15.8489,Partial curve; partial efficacy,-4.8,1.6924,0.991,-70.707,2.9186,-2.2,0 0 0 0 0 0 0,-64.8915,,,3.7439,,4.1292,,-0.3347,,6.7361,,-1.9217,,-24.2415,,-64.8915
564,17411943,9567324,"NCGC",,Unspecified,,,"",2009/07/08,2,42,11.2202,Partial curve; high efficacy,-4.95,1.111,0.9968,-102.949,0.7999,-2.1,0 0 0 0 0 0 0,-88.2904,,,-2.3127,,3.7106,,-0.2152,,-0.9526,,-16.0021,,-51.5519,,-88.2904
565,17411940,3784439,"NCGC",,Unspecified,,,"",2009/07/08,2,43,5.01187,Partial curve; high efficacy,-5.3,1.1705,0.9968,-96.059,-6.1191,-2.1,0 0 0 0 0 0 0,-91.2474,,,-4.9949,,-9.9859,,-5.2134,,-9.0671,,-32.7771,,-70.9611,,-91.2474
566,17411937,979802,"NCGC",,Unspecified,,,"",2009/07/08,2,85,3.98107,Complete curve; high efficacy,-5.4,2.0937,0.9878,-113.845,-3.524,-1.1,0 0 0 0 0 0 0,-112.491,,,1.0817,,4.9767,,-11.742,,-9.0799,,-30.0079,,-103.842,,-112.491
567,17411932,2983139,"NCGC",,Unspecified,,,"",2009/07/08,2,46,2.51189,Partial curve; high efficacy,-5.6,0.4,0.9611,-109.602,32.8247,-2.1,0 0 0 0 0 0 0,-82.2169,,,27.1988,,9.2149,,8.2952,,-23.3823,,-23.2816,,-62.5702,,-82.2169
568,17411918,11958868,"NCGC",,Unspecified,,,"",2009/07/08,2,42,8.91251,Partial curve; partial efficacy,-5.05,4.095,0.9684,-74.2767,3.6075,-2.2,0 0 0 0 0 0 0,-75.141,,,12.709,,6.7958,,-5.6073,,6.193,,-2.4685,,-52.5564,,-75.141
569,17411915,2982284,"NCGC",,Unspecified,,,"",2009/07/08,2,42,11.2202,Partial curve; partial efficacy,-4.95,0.7,0.9261,-101.805,8.7072,-2.2,0 0 0 0 0 0 0,-76.8494,,,19.0075,,-8.2136,,14.5561,,-8.4299,,-17.4984,,-44.8947,,-76.8494
570,17411909,2892895,"NCGC",,Unspecified,,,"",2009/07/08,2,85,2.23872,Complete curve; high efficacy,-5.65,1.8265,0.9839,-89.0634,4.5584,-1.1,0 0 0 0 0 0 0,-88.992,,,7.2858,,-5.7767,,12.3056,,-0.174,,-44.216,,-83.6583,,-88.992
571,17411903,1336800,"NCGC",,Unspecified,,,"",2009/07/08,2,63,3.54813,Complete curve; partial efficacy,-5.45,2.2526,0.9915,-80.4702,-6.0448,-1.2,0 0 0 0 0 0 0,-78.6428,,,-4.7309,,-0.6187,,-8.9142,,-10.6109,,-26.3484,,-76.8786,,-78.6428
572,17411899,5732085,"NCGC",,Unspecified,,,"",2009/07/08,2,85,2.81838,Complete curve; high efficacy,-5.55,1,0.9834,-109.039,-0.5374,-1.1,0 0 0 0 0 0 0,-101.166,,,-1.7932,,6.3114,,-10.22,,-18.8532,,-42.8858,,-93.606,,-101.166
573,17411893,2981360,"NCGC",,Unspecified,,,"",2009/07/08,2,41,14.1254,Partial curve; partial efficacy,-4.85,1,0.9756,-84.5362,3.413,-2.2,0 0 0 0 0 0 0,-70.4468,,,11.2928,,2.9354,,1.236,,-3.7923,,-11.1877,,-32.0727,,-70.4468
574,17411882,2866273,"NCGC",,Unspecified,,,"",2009/07/08,2,41,12.5893,Partial curve; partial efficacy,-4.9,1.6259,0.9916,-67.7496,24.0661,-2.2,0 0 0 0 0 0 0,-60.6247,,,25.2843,,24.3248,,27.2057,,17.2129,,19.831,,-18.1658,,-60.6247
575,17411881,776746,"NCGC",,Unspecified,,,"",2009/07/08,2,89,0.630957,Complete curve; high efficacy,-6.2,0.8,0.9926,-112.775,10.2568,-1.1,0 0 0 0 0 0 0,-109.063,,,11.6058,,-3.5356,,-5.379,,-46.8203,,-78.4879,,-102.339,,-109.063
576,17411880,1363961,"NCGC",,Unspecified,,,"",2009/07/08,2,42,6.30957,Partial curve; partial efficacy,-5.2,0.9,0.9852,-78.7041,-11.3389,-2.2,0 0 0 0 0 0 0,-70.4225,,,-9.5065,,-16.497,,-8.4515,,-19.0839,,-30.0794,,-53.5248,,-70.4225
577,17411874,1344672,"NCGC",,Unspecified,,,"",2009/07/08,2,87,1.41254,Complete curve; high efficacy,-5.85,1,0.9983,-113.678,22.1141,-1.1,0 0 0 0 0 0 0,-109.809,,,24.2154,,15.9259,,14.3138,,-10.9393,,-59.7139,,-100.258,,-109.809
578,17411842,2283201,"NCGC",,Unspecified,,,"",2009/07/08,2,42,12.5893,Partial curve; high efficacy,-4.9,0.7,0.9124,-119.44,1.2638,-2.1,0 0 0 0 0 0 0,-91.8366,,,2.9558,,3.2593,,-15.5683,,5.5258,,-39.7828,,-47.6412,,-91.8366
579,17411839,5335807,"NCGC",,Unspecified,,,"",2009/07/08,2,43,8.91251,Partial curve; high efficacy,-5.05,2.0937,0.989,-112.914,6.9485,-2.1,0 0 0 0 0 0 0,-111.466,,,-1.3003,,9.4943,,14.8699,,3.2474,,2.1045,,-67.2132,,-111.466
580,17411836,1608349,"NCGC",,Unspecified,,,"",2009/07/08,2,45,6.30957,Partial curve; high efficacy,-5.2,0.9,0.9849,-151.605,0,-2.1,0 0 0 0 0 0 0,-132.588,,,-1.0075,,0.1227,,3.7816,,-25.2017,,-36.3115,,-98.9628,,-132.588
581,17411833,310094,"NCGC",,Unspecified,,,"",2009/07/08,2,42,8.91251,Partial curve; partial efficacy,-5.05,1.4641,0.9487,-76.6626,-4.8811,-2.2,0 0 1 0 0 0 0,-72.6851,,,-6.3428,,-13.0227,,-45.7202,,6.1259,,-16.2406,,-46.4161,,-72.6851
582,17411823,5343290,"NCGC",,Unspecified,,,"",2009/07/08,2,43,11.2202,Partial curve; high efficacy,-4.95,1.2876,0.9999,-134.058,-3.4629,-2.1,1 0 0 0 0 0 0,-119.488,,,-30.3265,,-2.8858,,-3.2469,,-6.3848,,-18.2142,,-69.6469,,-119.488
583,17411809,717505,"NCGC",,Unspecified,,,"",2009/07/08,2,84,5.01187,Complete curve; high efficacy,-5.3,1.6436,0.9971,-106.179,-5.0197,-1.1,0 0 0 0 0 0 0,-105.939,,,-4.6866,,-6.3498,,-7.4085,,-3.7573,,-28.8101,,-82.7209,,-105.939
584,17411797,1344689,"NCGC",,Unspecified,,,"",2009/07/08,2,83,4.46684,Complete curve; high efficacy,-5.35,1.1,0.9388,-91.6704,-8.6302,-1.1,0 0 0 0 0 0 0,-82.9485,,,-0.3049,,-20.0393,,-19.7204,,-10.9139,,-32.3408,,-76.9377,,-82.9485
585,17411785,1345238,"NCGC",,Unspecified,,,"",2009/07/08,2,84,5.01187,Complete curve; high efficacy,-5.3,1.3437,0.9964,-114.435,-15.6522,-1.1,0 0 0 0 0 0 0,-111.711,,,-14.0378,,-20.0169,,-13.6192,,-17.6611,,-42.9977,,-89.1184,,-111.711
586,17411781,1345107,"NCGC",,Unspecified,,,"",2009/07/08,2,62,4.46684,Complete curve; partial efficacy,-5.35,1.331,0.9237,-64.8385,-6.4654,-1.2,0 0 0 0 0 0 0,-63.3326,,,-15.5245,,-0.1201,,-16.8984,,-4.1753,,-25.1411,,-50.5651,,-63.3326
587,17411780,1043839,"NCGC",,Unspecified,,,"",2009/07/08,2,40,28.1838,Partial curve; high efficacy,-4.55,1.9282,0.9943,-115.166,-9.9732,-2.1,0 0 0 0 0 0 0,-93.7359,,,-13.06,,-6.9088,,-9.4916,,-7.5563,,-13.5922,,-26.3442,,-93.7359
588,17411770,2870397,"NCGC",,Unspecified,,,"",2009/07/08,2,41,15.8489,Partial curve; partial efficacy,-4.8,1.3723,0.986,-76.9612,6.5,-2.2,1 0 0 0 0 0 0,-67.4294,,,28.9534,,5.2811,,11.6515,,3.6042,,-2.9176,,-23.8538,,-67.4294
589,17411767,5524102,"NCGC",,Unspecified,,,"",2009/07/08,2,41,15.8489,Partial curve; high efficacy,-4.8,0.9,0.9774,-123.135,-11.9001,-2.1,0 0 0 0 0 0 0,-98.7094,,,-5.0265,,-16.4447,,-19.3172,,-12.1409,,-31.1744,,-56.0564,,-98.7094
590,17411766,5872927,"NCGC",,Unspecified,,,"",2009/07/08,2,63,3.16228,Complete curve; partial efficacy,-5.5,2.0479,0.9577,-72.8375,-3.5788,-1.2,0 0 0 0 0 0 0,-73.6803,,,7.1078,,-11.1212,,-11.2992,,0.2344,,-27.8728,,-66.5956,,-73.6803
591,17411765,3825639,"NCGC",,Unspecified,,,"",2009/07/08,2,45,3.98107,Partial curve; high efficacy,-5.4,0.8,0.9946,-123.666,-8.9902,-2.1,0 0 0 0 0 0 0,-110.373,,,-7.0614,,-11.2144,,-14.4654,,-30.2689,,-48.9834,,-92.0783,,-110.373
592,17411753,5724239,"NCGC",,Unspecified,,,"",2009/07/08,2,41,14.1254,Partial curve; partial efficacy,-4.85,2.4064,0.9865,-70.7656,13.9899,-2.2,0 0 0 0 0 0 0,-68.1296,,,14.4391,,15.8172,,6.2415,,14.8591,,16.7695,,-16.9732,,-68.1296
593,17411746,5509203,"NCGC",,Unspecified,,,"",2009/07/08,2,41,14.1254,Partial curve; partial efficacy,-4.85,1.2876,0.9852,-84.6073,-2.2086,-2.2,0 0 0 0 0 0 0,-73.718,,,-0.363,,-4.9298,,3.3681,,-7.9752,,-8.0123,,-38.1882,,-73.718
594,17411744,2978676,"NCGC",,Unspecified,,,"",2009/07/08,2,63,3.54813,Complete curve; partial efficacy,-5.45,1.4163,0.9967,-80.273,-11.2479,-1.2,0 0 0 0 0 0 0,-79.4632,,,-11.1128,,-8.9106,,-14.7747,,-14.0866,,-34.8527,,-68.4989,,-79.4632
595,17411732,2844894,"NCGC",,Unspecified,,,"",2009/07/08,2,87,2.51189,Complete curve; high efficacy,-5.6,1,0.9891,-128.855,19.6976,-1.1,0 0 0 0 0 0 0,-118.323,,,14.9971,,27.5859,,13.9296,,-8.5304,,-45.1646,,-109.666,,-118.323
596,17411709,9619313,"NCGC",,Unspecified,,,"",2009/07/08,2,42,6.30957,Partial curve; partial efficacy,-5.2,1.331,0.931,-66.0111,1.3294,-2.2,0 0 0 0 0 0 0,-60.7004,,,-12.1934,,11.0057,,5.2786,,0.1448,,-12.4761,,-45.4,,-60.7004
597,17411668,5722573,"NCGC",,Unspecified,,,"",2009/07/08,2,87,0.707946,Complete curve; high efficacy,-6.15,0.9,0.949,-92.3286,4.5929,-1.1,0 0 0 0 0 0 0,-94.8018,,,2.3765,,-5.6283,,7.263,,-47.55,,-61.7441,,-81.495,,-94.8018
598,17411666,2850045,"NCGC",,Unspecified,,,"",2009/07/08,2,43,10,Partial curve; high efficacy,-5,0.6,0.9868,-122.988,4.6323,-2.1,0 0 0 0 0 0 0,-94.2671,,,4.4104,,-0.6333,,0.4748,,-18.2969,,-31.6967,,-55.7288,,-94.2671
599,17411654,5341429,"NCGC",,Unspecified,,,"",2009/07/08,2,42,8.91251,Partial curve; partial efficacy,-5.05,4.095,0.983,-79.6464,18.289,-2.2,0 0 0 0 0 0 0,-79.871,,,24.3309,,12.0678,,19.9147,,10.5486,,24.6375,,-53.0037,,-79.871
600,17411650,5341542,"NCGC",,Unspecified,,,"",2009/07/08,2,42,12.5893,Partial curve; high efficacy,-4.9,0.8,0.9916,-115.515,10.3575,-2.1,0 0 0 0 0 0 0,-87.6314,,,15.944,,6.6342,,8.1829,,-2.5231,,-14.4393,,-47.8803,,-87.6314
601,17411634,817655,"NCGC",,Unspecified,,,"",2009/07/08,2,48,0.316228,Partial curve; partial efficacy,-6.5,0.3,0.9245,-84.9893,30.9865,-2.2,0 0 0 0 0 0 0,-70.8244,,,19.0855,,-10.281,,-22.4451,,-34.0271,,-33.139,,-55.7574,,-70.8244
602,17411619,1471492,"NCGC",,Unspecified,,,"",2009/07/08,2,87,0.794328,Complete curve; high efficacy,-6.1,1,0.9937,-93.764,5.7257,-1.1,0 0 0 0 0 0 0,-93.7819,,,3.961,,1.3781,,1.2429,,-34.2776,,-64.2908,,-87.7336,,-93.7819
603,17411588,2858525,"NCGC",,Unspecified,,,"",2009/07/08,2,42,12.5893,Partial curve; high efficacy,-4.9,1.111,0.9986,-142.52,-1.6509,-2.1,0 0 0 0 0 0 0,-120.765,,,-5.2295,,-1.1107,,-0.8762,,-3.5352,,-19.7138,,-67.6488,,-120.765
604,17411585,2856996,"NCGC",,Unspecified,,,"",2009/07/08,2,45,5.01187,Partial curve; high efficacy,-5.3,1,0.9829,-126.557,12.1576,-2.1,0 0 0 0 0 0 0,-118.41,,,1.0547,,15.8876,,16.6744,,4.1549,,-37.6588,,-78.4343,,-118.41
605,17411531,5707370,"NCGC",,Unspecified,,,"",2009/07/08,2,40,22.3872,Partial curve; high efficacy,-4.65,2.4064,0.9233,-111.395,-2.3187,-2.1,1 0 0 0 0 0 0,-101.041,,,-36.7883,,-16.043,,3.2154,,-12.8597,,14.892,,-19.8471,,-101.041
606,17411527,3748089,"NCGC",,Unspecified,,,"",2009/07/08,2,83,7.94328,Complete curve; high efficacy,-5.1,4.095,0.9897,-121.116,-19.3271,-1.1,1 0 0 0 0 0 0,-121.452,,,34.6583,,-12.0015,,-22.4962,,-17.1341,,-27.1305,,-102.274,,-121.452
607,17411504,5183591,"NCGC",,Unspecified,,,"",2009/07/08,2,43,6.30957,Partial curve; high efficacy,-5.2,1.331,0.9909,-98.2349,12.3938,-2.1,0 0 0 0 0 0 0,-90.8435,,,16.929,,14.772,,9.454,,1.6945,,-7.4342,,-64.0544,,-90.8435
