#,SID,CID,BioAssay_Source,RankScore,Outcome,Xref,URL,Comment,DepositDate,"Activity Outcome","Activity Score","p450-cyp2d6-Potency_&#956;M","p450-cyp2d6-Curve_Description","p450-cyp2d6-Fit_LogAC50","p450-cyp2d6-Fit_HillSlope","p450-cyp2d6-Fit_R2","p450-cyp2d6-Fit_InfiniteActivity_%","p450-cyp2d6-Fit_ZeroActivity_%","p450-cyp2d6-Fit_CurveClass","p450-cyp2d6-Excluded_Points","p450-cyp2d6-Max_Response_%","p450-cyp2d6-Activity at 0.0007 uM_%","p450-cyp2d6-Activity at 0.00160 uM_%","p450-cyp2d6-Activity at 0.00368 uM_%","p450-cyp2d6-Activity at 0.00820 uM_%","p450-cyp2d6-Activity at 0.018 uM_%","p450-cyp2d6-Activity at 0.041 uM_%","p450-cyp2d6-Activity at 0.091 uM_%","p450-cyp2d6-Activity at 0.204 uM_%","p450-cyp2d6-Activity at 0.457 uM_%","p450-cyp2d6-Activity at 1.022 uM_%","p450-cyp2d6-Activity at 2.286 uM_%","p450-cyp2d6-Activity at 5.111 uM_%","p450-cyp2d6-Activity at 11.43 uM_%","p450-cyp2d6-Activity at 25.56 uM_%","p450-cyp2d6-Activity at 57.14 uM_%"
509,17402440,1473685,"NCGC",,Unspecified,,,"",2009/07/08,2,41,14.1254,Partial curve; partial efficacy,-4.85,1.4163,0.9544,-72.6682,12.7458,-2.2,0 0 0 0 0 0 0,-64.0951,,,17.5977,,10.7213,,20.8219,,0.8705,,4.1695,,-20.3404,,-64.0951
510,17402434,2769174,"NCGC",,Unspecified,,,"",2009/07/08,2,41,14.1254,Partial curve; partial efficacy,-4.85,1.7885,0.9921,-67.007,-2.7679,-2.2,0 0 0 0 0 0 0,-62.3124,,,-0.9372,,0.3664,,-4.1261,,-6.0098,,-4.5476,,-28.6339,,-62.3124
511,17402417,1471783,"NCGC",,Unspecified,,,"",2009/07/08,2,40,22.3872,Partial curve; high efficacy,-4.65,1.7529,0.9722,-100.588,6.6441,-2.1,0 0 0 0 0 0 0,-83.23,,,0.0513,,12.9362,,-0.6675,,13.8885,,3.894,,-17.8862,,-83.23
512,17402391,3507894,"NCGC",,Unspecified,,,"",2009/07/08,2,42,12.5893,Partial curve; high efficacy,-4.9,1.2876,0.9854,-118.345,0,-2.1,0 0 0 0 0 0 0,-104.176,,,-5.8612,,4.9043,,6.9355,,-7.2389,,-12.6577,,-54.0117,,-104.176
513,17402359,1490970,"NCGC",,Unspecified,,,"",2009/07/08,2,62,7.94328,Complete curve; partial efficacy,-5.1,4.095,0.9931,-77.2238,5.1292,-1.2,0 0 0 0 0 0 0,-77.6865,,,2.7405,,4.787,,8.4178,,9.7293,,0.3697,,-61.7891,,-77.6865
514,17402285,1490966,"NCGC",,Unspecified,,,"",2009/07/08,2,41,12.5893,Partial curve; partial efficacy,-4.9,1.1705,0.9941,-91.5945,1.1337,-2.2,0 0 0 0 0 0 0,-79.8147,,,3.8481,,1.1176,,1.0083,,-5.1619,,-9.5249,,-40.6726,,-79.8147
515,17402261,4522912,"NCGC",,Unspecified,,,"",2009/07/08,2,41,15.8489,Partial curve; partial efficacy,-4.8,1.331,0.9776,-72.181,4,-2.2,0 0 0 0 0 0 0,-63.0834,,,6.1231,,7.2986,,5.5853,,0.398,,-7.4435,,-21.8792,,-63.0834
516,17402244,2767938,"NCGC",,Unspecified,,,"",2009/07/08,2,42,10,Partial curve; partial efficacy,-5,0.9,0.9836,-102.448,26.8921,-2.2,0 0 0 0 0 0 0,-79.1749,,,25.7351,,35.2597,,15.5809,,21.0992,,-0.4468,,-43.3128,,-79.1749
517,17402218,1488065,"NCGC",,Unspecified,,,"",2009/07/08,2,85,1.25893,Complete curve; high efficacy,-5.9,1.8079,0.9801,-77.9098,16.3605,-1.1,0 0 0 0 0 0 0,-86.9148,,,18.3439,,18.6368,,9.1645,,6.5128,,-55.232,,-66.125,,-86.9148
518,17402189,1488716,"NCGC",,Unspecified,,,"",2009/07/08,2,43,5.01187,Partial curve; high efficacy,-5.3,1.2876,0.9735,-95.8577,-2.2859,-2.1,0 0 0 0 0 0 0,-92.5305,,,-14.1903,,-0.3579,,5.3289,,-3.7224,,-29.6062,,-70.1689,,-92.5305
519,17402164,4602593,"NCGC",,Unspecified,,,"",2009/07/08,2,88,0.794328,Complete curve; high efficacy,-6.1,0.9,0.9978,-102.14,19.2654,-1.1,0 0 0 0 0 0 0,-100.167,,,20.2412,,14.2326,,1.6572,,-23.543,,-71.1798,,-89.7443,,-100.167
520,17402151,3751170,"NCGC",,Unspecified,,,"",2009/07/08,2,86,1,Complete curve; high efficacy,-6,1.21,0.9983,-89.525,14.8938,-1.1,0 0 0 0 0 0 0,-89.6753,,,16.7088,,13.6153,,7.3155,,-11.9391,,-63.3458,,-82.2417,,-89.6753
521,17402106,11957298,"NCGC",,Unspecified,,,"",2009/07/08,2,62,3.54813,Complete curve; partial efficacy,-5.45,4.095,0.9473,-57.0506,12.706,-1.2,0 0 0 0 0 0 0,-60.8022,,,-1.657,,23.3184,,14.7186,,16.1399,,2.0088,,-52.2761,,-60.8022
522,17402100,3982636,"NCGC",,Unspecified,,,"",2009/07/08,2,65,1.12202,Complete curve; partial efficacy,-5.95,1.3443,0.9959,-73.5281,7,-1.2,0 0 0 0 0 0 0,-73.0795,,,10.2657,,6.4609,,0.0768,,-9.7495,,-50.9445,,-71.0779,,-73.0795
523,17402078,11957285,"NCGC",,Unspecified,,,"",2009/07/08,2,41,17.7828,Partial curve; high efficacy,-4.75,1.6266,0.9739,-95.5148,-3.8156,-2.1,0 0 0 0 0 0 0,-86.779,,,-0.5798,,-3.4407,,-0.9282,,-3.7306,,-17.2501,,-29.7289,,-86.779
524,17402063,11957277,"NCGC",,Unspecified,,,"",2009/07/08,2,41,15.8489,Partial curve; high efficacy,-4.8,1.21,0.9723,-92.4638,-7.9999,-2.1,0 0 0 0 0 0 0,-80.2462,,,-3.6139,,-5.1305,,-14.7731,,-6.1073,,-20.2902,,-38.0924,,-80.2462
525,17402029,11957260,"NCGC",,Unspecified,,,"",2009/07/08,2,42,14.1254,Partial curve; high efficacy,-4.85,1.2876,0.9759,-118.822,-1.0831,-2.1,0 0 0 0 0 0 0,-103.531,,,-12.6406,,4.1538,,-0.6794,,4.7823,,-14.599,,-51.0725,,-103.531
526,17402023,11957257,"NCGC",,Unspecified,,,"",2009/07/08,2,90,0.562341,Complete curve; high efficacy,-6.25,1.21,0.9975,-120.33,-0.0788,-1.1,0 0 0 0 0 0 0,-119.339,,,-2.9206,,-2.021,,-9.1928,,-53.8864,,-99.8948,,-112.591,,-119.339
527,17402018,4191632,"NCGC",,Unspecified,,,"",2009/07/08,2,44,4.46684,Partial curve; high efficacy,-5.35,1.3437,0.9961,-104.949,6.7324,-2.1,0 0 0 0 0 0 0,-102.886,,,3.7701,,9.321,,3.2304,,5.4276,,-27.2296,,-77.7174,,-102.886
528,17401982,1266500,"NCGC",,Unspecified,,,"",2009/07/08,2,40,17.7828,Partial curve; partial efficacy,-4.75,2.3332,0.9167,-68.2463,6.454,-2.2,0 0 0 0 0 0 0,-63.462,,,3.7191,,9.3908,,-8.3928,,17.4572,,9.7871,,-12.8236,,-63.462
529,17401961,4155549,"NCGC",,Unspecified,,,"",2009/07/08,2,42,12.5893,Partial curve; high efficacy,-4.9,1.111,0.997,-109.44,5.1632,-2.1,0 0 1 0 0 0 0,-91.1996,,,4.1148,,5.1338,,-41.5659,,5.5366,,-13.1787,,-48.4729,,-91.1996
530,17401912,4179687,"NCGC",,Unspecified,,,"",2009/07/08,2,41,15.8489,Partial curve; partial efficacy,-4.8,1,0.9696,-86.8463,10.2875,-2.2,0 0 0 0 0 0 0,-68.7991,,,16.9504,,10.8967,,2.2913,,10.2322,,-7.7968,,-26.5631,,-68.7991
531,17401900,6618777,"NCGC",,Unspecified,,,"",2009/07/08,2,88,0.562341,Complete curve; high efficacy,-6.25,0.8,0.9997,-95.151,9.5477,-1.1,0 0 0 0 0 0 0,-92.274,,,8.2281,,2.5636,,-10.5689,,-38.823,,-70.3979,,-85.5904,,-92.274
532,17401869,11957184,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.98107,Partial curve; partial efficacy,-5.4,1.1341,0.9945,-77.0113,8.5,-2.2,0 0 0 0 0 0 0,-74.1224,,,8.4637,,4.7949,,10.2333,,4.291,,-23.704,,-55.1471,,-74.1224
533,17401865,4132199,"NCGC",,Unspecified,,,"",2009/07/08,2,91,0.251189,Complete curve; high efficacy,-6.6,0.7,0.9995,-113.916,1.3572,-1.1,0 0 0 0 0 0 0,-112.437,,,-4.7045,,-14.808,,-36.8558,,-67.1291,,-94.6112,,-104.919,,-112.437
534,17401855,4342607,"NCGC",,Unspecified,,,"",2009/07/08,2,44,3.16228,Partial curve; partial efficacy,-5.5,0.4,0.9016,-88.3942,14,-2.2,0 0 0 0 0 1 0,-67.368,,,6.3558,,8.1578,,-8.1657,,-31.4025,,-20.7933,,14.4656,,-67.368
535,17401693,2018366,"NCGC",,Unspecified,,,"",2009/07/08,2,88,0.446684,Complete curve; high efficacy,-6.35,1.031,0.9975,-88.7221,13.0922,-1.1,0 0 0 0 0 0 0,-89.0414,,,11.6676,,8.5201,,0.1057,,-41.4745,,-70.5005,,-85.0992,,-89.0414
536,17401404,11957133,"NCGC",,Unspecified,,,"",2009/07/08,2,41,15.8489,Partial curve; high efficacy,-4.8,1.21,0.9613,-123.515,-7.4277,-2.1,0 0 0 0 0 0 0,-102.929,,,3.1801,,-11.8253,,-3.4281,,-21.8366,,-14.6315,,-54.969,,-102.929
537,17401374,6269993,"NCGC",,Unspecified,,,"",2009/07/08,2,67,0.125893,Complete curve; partial efficacy,-6.9,1.1,0.9975,-65.6574,-23.1544,-1.2,0 0 0 0 0 0 0,-66.6794,,,-25.248,,-26.4463,,-41.1688,,-57.6624,,-63.2943,,-65.5173,,-66.6794
538,17401315,1676177,"NCGC",,Unspecified,,,"",2009/07/08,2,45,2.23872,Partial curve; high efficacy,-5.65,0.5,0.9958,-104.241,11.3838,-2.1,0 0 0 0 0 0 0,-86.6736,,,5.6513,,2.5728,,-7.5183,,-23.6812,,-50.5236,,-65.2756,,-86.6736
539,17401288,6026898,"NCGC",,Unspecified,,,"",2009/07/08,2,41,14.1254,Partial curve; partial efficacy,-4.85,0.9,0.9929,-97.719,16.3234,-2.2,0 0 0 0 0 0 0,-74.0796,,,13.9692,,16.3929,,19.1545,,8.7416,,-3.9626,,-31.3511,,-74.0796
540,17401278,2980415,"NCGC",,Unspecified,,,"",2009/07/08,2,91,0.0562341,Complete curve; high efficacy,-7.25,1.2221,0.9785,-81.4524,-7.2939,-1.1,0 0 0 0 0 0 0,-86.4517,,,-11.2932,,-18.7028,,-60.2366,,-69.3774,,-77.914,,-82.713,,-86.4517
541,17401262,1237579,"NCGC",,Unspecified,,,"",2009/07/08,2,42,8.91251,Partial curve; high efficacy,-5.05,1.2221,0.9979,-89.4317,0.6458,-2.1,0 0 0 0 0 0 0,-81.0455,,,2.4966,,-0.4924,,1.3858,,-3.8589,,-12.0877,,-51.4211,,-81.0455
542,17401249,4668963,"NCGC",,Unspecified,,,"",2009/07/08,2,84,5.01187,Complete curve; high efficacy,-5.3,1.3987,0.9907,-106.342,-10.493,-1.1,0 0 0 0 0 0 0,-104.701,,,-8.5083,,-10.2367,,-16.9158,,-8.2026,,-38.0653,,-82.5616,,-104.701
543,17401248,4251773,"NCGC",,Unspecified,,,"",2009/07/08,2,40,19.9526,Partial curve; high efficacy,-4.7,2.1211,0.9753,-94.5162,2.2189,-2.1,0 0 0 0 0 0 0,-85.1959,,,-4.0587,,4.7447,,-5.0528,,6.9287,,7.615,,-20.9232,,-85.1959
544,17401241,1565837,"NCGC",,Unspecified,,,"",2009/07/08,2,43,5.01187,Partial curve; partial efficacy,-5.3,0.6,0.9913,-87.7175,13.8329,-2.2,0 0 0 0 0 0 0,-73.0979,,,13.5606,,7.9739,,7.5678,,-8.9633,,-22.2098,,-47.4721,,-73.0979
545,17401206,834556,"NCGC",,Unspecified,,,"",2009/07/08,2,41,11.2202,Partial curve; partial efficacy,-4.95,1.5386,0.9521,-71.3804,13.9993,-2.2,0 0 0 0 0 0 0,-65.7331,,,19.0185,,11.9404,,2.2145,,24.2522,,5.4186,,-27.7526,,-65.7331
546,17401205,902166,"NCGC",,Unspecified,,,"",2009/07/08,2,43,5.01187,Partial curve; partial efficacy,-5.3,0.8,0.9911,-88.1517,15.3281,-2.2,0 0 0 0 0 0 0,-74.2931,,,18.9875,,14.1599,,8.5762,,-1.7259,,-15.7429,,-55.6446,,-74.2931
547,17401204,11957121,"NCGC",,Unspecified,,,"",2009/07/08,2,84,3.16228,Complete curve; high efficacy,-5.5,1,0.9993,-91.4488,10,-1.1,0 0 0 0 0 0 0,-86.2073,,,8.5118,,10.514,,8.6399,,-3.0326,,-33.5948,,-68.9378,,-86.2073
548,17401175,2997422,"NCGC",,Unspecified,,,"",2009/07/08,2,93,0.0707946,Complete curve; high efficacy,-7.15,0.5,0.9347,-98.8708,21.6912,-1.1,0 0 0 0 0 0 0,-95.4975,,,12.9587,,-32.3942,,-46.4112,,-50.9663,,-84.9354,,-91.4542,,-95.4975
549,17401170,11838420,"NCGC",,Unspecified,,,"",2009/07/08,2,41,15.8489,Partial curve; high efficacy,-4.8,1.9673,0.9904,-87.1238,-5.4693,-2.1,0 0 0 0 0 0 0,-82.7551,,,-4.5506,,-5.4909,,-1.5398,,-5.4869,,-12.4758,,-31.9537,,-82.7551
550,17401169,11957118,"NCGC",,Unspecified,,,"",2009/07/08,2,40,25.1189,Partial curve; partial efficacy,-4.6,1.4781,0.9878,-90.223,4.6558,-2.2,0 0 0 0 0 0 0,-68.7789,,,1.4833,,4.3686,,8.0333,,8.1041,,-2.4575,,-17.5054,,-68.7789
551,17401160,11957117,"NCGC",,Unspecified,,,"",2009/07/08,2,42,11.2202,Partial curve; high efficacy,-4.95,1.2876,0.9993,-110.091,-1.4033,-2.1,0 0 0 0 0 0 0,-98.7344,,,-0.9362,,-2.4984,,-1.0744,,-1.8685,,-14.6999,,-55.1353,,-98.7344
552,17401159,1825676,"NCGC",,Unspecified,,,"",2009/07/08,2,64,1.12202,Complete curve; partial efficacy,-5.95,0.9,0.9961,-67.3724,17.6907,-1.2,0 0 0 0 0 0 0,-66.3025,,,15.0898,,15.604,,13.2368,,-11.112,,-36.5321,,-57.1698,,-66.3025
553,17401135,848413,"NCGC",,Unspecified,,,"",2009/07/08,2,41,14.1254,Partial curve; partial efficacy,-4.85,1.3437,0.9838,-78.1801,13.8226,-2.2,0 0 0 0 0 0 0,-68.7522,,,7.1658,,17.6989,,17.1188,,14.5395,,3.3265,,-23.2617,,-68.7522
554,17401125,11957113,"NCGC",,Unspecified,,,"",2009/07/08,2,42,12.5893,Partial curve; high efficacy,-4.9,0.7,0.9881,-127.621,-1.1665,-2.1,0 0 0 0 0 0 0,-98.3334,,,-2.121,,-2.6954,,-8.1041,,-6.1944,,-35.3309,,-58.5728,,-98.3334
555,17401121,11957112,"NCGC",,Unspecified,,,"",2009/07/08,2,41,11.2202,Partial curve; high efficacy,-4.95,1.6924,0.9969,-87.8787,-7.6466,-2.1,0 0 0 0 0 0 0,-83.0016,,,-6.0094,,-5.7695,,-10.7787,,-7.3769,,-12.961,,-48.5722,,-83.0016
556,17388602,902169,"NCGC",,Unspecified,,,"",2009/07/08,2,41,14.1254,Partial curve; partial efficacy,-4.85,1.4163,0.9859,-86.7302,-0.2667,-2.2,0 0 0 0 0 0 0,-79.1641,,,2.3702,,3.5031,,0.6546,,-5.3222,,-10.3187,,-33.7339,,-79.1641
557,17388475,2320855,"NCGC",,Unspecified,,,"",2009/07/08,2,43,7.07946,Partial curve; high efficacy,-5.15,1.331,0.9968,-106.955,4.1282,-2.1,0 0 0 0 0 0 0,-97.2999,,,5.9045,,2.0102,,0.9219,,3.2235,,-14.3737,,-69.585,,-97.2999
558,17388436,11948915,"NCGC",,Unspecified,,,"",2009/07/08,2,84,3.98107,Complete curve; high efficacy,-5.4,1.2876,0.9929,-92.7004,3.0588,-1.1,0 0 0 0 0 0 0,-89.6524,,,0.648,,9.1725,,-2.1447,,-2.7373,,-27.0989,,-73.839,,-89.6524
559,17388032,989888,"NCGC",,Unspecified,,,"",2009/07/08,2,41,15.8489,Partial curve; partial efficacy,-4.8,1.5579,0.9614,-77.1013,6.5,-2.2,0 0 0 0 0 0 0,-67.6937,,,14.9299,,10.9622,,-3.3034,,4.9538,,0.5776,,-24.9536,,-67.6937
560,17388019,11948877,"NCGC",,Unspecified,,,"",2009/07/08,2,85,1.41254,Complete curve; high efficacy,-5.85,1.1,0.9765,-87.347,11.3301,-1.1,0 0 0 0 0 0 0,-86.2774,,,21.6284,,4.9866,,-2.6644,,-5.1706,,-52.124,,-77.5353,,-86.2774
561,17388016,11948876,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.16228,Partial curve; partial efficacy,-5.5,0.9,0.9931,-68.4622,29.268,-2.2,0 0 0 0 0 0 0,-62.0518,,,23.2966,,31.788,,26.4063,,16.7146,,-14.8929,,-43.5067,,-62.0518
562,17388015,11948875,"NCGC",,Unspecified,,,"",2009/07/08,2,85,1.41254,Complete curve; high efficacy,-5.85,1.111,0.9851,-80.1107,9,-1.1,0 0 0 0 0 0 0,-83.1857,,,3.5955,,7.3516,,11.5613,,-10.5899,,-49.5485,,-66.1314,,-83.1857
563,17388000,843984,"NCGC",,Unspecified,,,"",2009/07/08,2,86,1.25893,Complete curve; high efficacy,-5.9,1.111,0.9978,-96.5322,9.593,-1.1,0 0 0 0 0 0 0,-95.5437,,,9.014,,11.0456,,1.5492,,-14.1434,,-63.1082,,-86.3316,,-95.5437
564,17387950,1229632,"NCGC",,Unspecified,,,"",2009/07/08,2,41,11.2202,Partial curve; partial efficacy,-4.95,1.2876,0.9813,-84.3332,15.6561,-2.2,0 0 0 0 0 0 0,-73.611,,,17.7362,,6.588,,18.5711,,19.5107,,0.765,,-34.1334,,-73.611
565,17387945,998857,"NCGC",,Unspecified,,,"",2009/07/08,2,42,8.91251,Partial curve; high efficacy,-5.05,1.3723,0.9928,-105.24,12.103,-2.1,0 0 0 0 0 0 0,-97.3055,,,17.9609,,9.8409,,5.7223,,11.754,,-3.5067,,-55.3331,,-97.3055
566,17387855,1746062,"NCGC",,Unspecified,,,"",2009/07/08,2,85,3.16228,Complete curve; high efficacy,-5.5,1.1,0.9997,-117.124,-11.5263,-1.1,0 0 0 0 0 0 0,-113.182,,,-12.3009,,-12.1315,,-12.3999,,-23.6242,,-54.5337,,-96.5494,,-113.182
567,17387851,11948869,"NCGC",,Unspecified,,,"",2009/07/08,2,41,14.1254,Partial curve; high efficacy,-4.85,1.6924,0.9989,-99.4242,7,-2.1,0 0 0 0 0 0 0,-91.1646,,,8.5681,,4.9847,,7.0344,,7.4448,,1.0055,,-36.4913,,-91.1646
568,17387799,4744486,"NCGC",,Unspecified,,,"",2009/07/08,2,42,11.2202,Partial curve; high efficacy,-4.95,0.7,0.9768,-108.997,5.1527,-2.1,0 0 0 0 0 0 0,-83.1686,,,13.7775,,-3.1068,,-1.3948,,-8.19,,-21.7842,,-49.5238,,-83.1686
569,17387788,998204,"NCGC",,Unspecified,,,"",2009/07/08,2,42,12.5893,Partial curve; high efficacy,-4.9,0.7,0.9621,-124.791,6.55,-2.1,0 0 0 0 0 0 0,-95.5952,,,5.1742,,5.1137,,2.9157,,1.2594,,-36.3128,,-46.0174,,-95.5952
570,17387762,11948861,"NCGC",,Unspecified,,,"",2009/07/08,2,88,0.562341,Complete curve; high efficacy,-6.25,1.331,0.9922,-96.0401,18.3264,-1.1,0 0 0 0 0 0 0,-97.3417,,,24.8343,,12.6786,,5.4648,,-27.0284,,-85.1927,,-89.8881,,-97.3417
571,17387742,4049441,"NCGC",,Unspecified,,,"",2009/07/08,2,87,0.630957,Complete curve; high efficacy,-6.2,0.9,0.9977,-86.1953,21.7254,-1.1,0 0 0 0 0 0 0,-85.9598,,,20.018,,15.0711,,9.3464,,-26.1441,,-59.8304,,-77.2168,,-85.9598
572,17387703,996619,"NCGC",,Unspecified,,,"",2009/07/08,2,40,22.3872,Partial curve; partial efficacy,-4.65,1.4163,0.9951,-97.6598,1.8311,-2.2,0 0 0 0 0 0 0,-77.0757,,,2.9452,,2.6118,,4.6137,,-2.4048,,-2.8151,,-25.1609,,-77.0757
573,17387702,1808437,"NCGC",,Unspecified,,,"",2009/07/08,2,40,22.3872,Partial curve; partial efficacy,-4.65,2.4064,0.9743,-88.0834,-0.3814,-2.2,0 0 0 0 0 0 0,-79.7517,,,4.0627,,-1.4416,,2.2496,,-10.255,,2.8724,,-14.9543,,-79.7517
574,17387648,1008286,"NCGC",,Unspecified,,,"",2009/07/08,2,41,8.91251,Partial curve; partial efficacy,-5.05,1.3443,0.9823,-68.8893,16.3371,-2.2,1 0 0 0 0 0 0,-62.1269,,,30.7002,,8.5464,,21.2439,,18.1618,,3.9399,,-33.916,,-62.1269
575,17387585,989652,"NCGC",,Unspecified,,,"",2009/07/08,2,40,28.1838,Partial curve; partial efficacy,-4.55,1.5386,0.9846,-95.0253,-0.5026,-2.2,0 0 0 0 0 0 0,-72.9356,,,1.6423,,1.5035,,-2.4098,,2.0899,,-9.1077,,-18.6987,,-72.9356
576,17387581,1791961,"NCGC",,Unspecified,,,"",2009/07/08,2,66,0.707946,Complete curve; partial efficacy,-6.15,1.1,0.9997,-79.0078,12.5552,-1.2,0 0 0 0 0 0 0,-78.7565,,,11.7761,,12.3484,,3.1295,,-21.7884,,-59.1746,,-74.7125,,-78.7565
577,17387570,11948852,"NCGC",,Unspecified,,,"",2009/07/08,2,83,3.54813,Complete curve; high efficacy,-5.45,3.2975,0.9802,-74.5046,4.0789,-1.1,0 0 0 0 0 0 0,-83.0742,,,1.8583,,4.5311,,5.3481,,4.6097,,-11.6825,,-63.7872,,-83.0742
578,17387540,844509,"NCGC",,Unspecified,,,"",2009/07/08,2,40,28.1838,Partial curve; partial efficacy,-4.55,1.8079,0.9947,-96.8791,0.4659,-2.2,0 0 0 0 0 0 0,-75.7041,,,0.3099,,-1.1492,,4.6371,,-0.8134,,-2.523,,-15.2345,,-75.7041
579,17387528,4110871,"NCGC",,Unspecified,,,"",2009/07/08,2,68,0.177828,Complete curve; partial efficacy,-6.75,1.3443,0.9968,-71.4309,20.7176,-1.2,0 0 0 0 0 0 0,-75.5404,,,18.8115,,18.5738,,-6.5982,,-51.5034,,-65.4458,,-70.1017,,-75.5404
580,17387502,1022013,"NCGC",,Unspecified,,,"",2009/07/08,2,41,12.5893,Partial curve; partial efficacy,-4.9,1.4781,0.9889,-84.0071,12.6308,-2.2,0 0 0 0 0 0 0,-75.1149,,,13.8808,,13.6378,,6.3288,,17.5006,,3.5336,,-31.351,,-75.1149
581,17387455,11948842,"NCGC",,Unspecified,,,"",2009/07/08,2,92,0.0794328,Complete curve; high efficacy,-7.1,0.9,0.9995,-94.0644,9.6042,-1.1,0 0 0 0 0 0 0,-95.3835,,,3.5747,,-11.5783,,-46.1559,,-76.7947,,-88.136,,-92.5269,,-95.3835
582,17386055,3075844,"NCGC",,Unspecified,,,"",2009/07/08,2,85,3.16228,Complete curve; high efficacy,-5.5,1.2221,0.9889,-113.512,5.4189,-1.1,0 0 0 0 0 0 0,-108.141,,,3.8705,,12.2791,,2.8911,,-12.0466,,-36.3332,,-97.3252,,-108.141
583,17385812,1214441,"NCGC",,Unspecified,,,"",2009/07/08,2,85,2.23872,Complete curve; high efficacy,-5.65,0.9,0.999,-88.4899,1.4173,-1.1,0 0 0 0 0 0 0,-84.9916,,,0.8352,,-0.5699,,-1.4946,,-16.8693,,-44.037,,-70.4615,,-84.9916
584,17385334,5459498,"NCGC",,Unspecified,,,"",2009/07/08,2,43,5.01187,Partial curve; partial efficacy,-5.3,0.7,0.9752,-89.294,7,-2.2,0 0 0 0 0 0 0,-78.19,,,5.04,,12.49,,-4.442,,-12.69,,-23.92,,-51.05,,-78.19
585,17385325,5459461,"NCGC",,Unspecified,,,"",2009/07/08,2,41,12.5893,Partial curve; partial efficacy,-4.9,1.2216,0.9966,-80.742,5.07,-2.2,0 0 0 0 0 0 0,-70.56,,,8.041,,2.566,,5.101,,2.995,,-4.577,,-35.09,,-70.56
586,17385312,5459497,"NCGC",,Unspecified,,,"",2009/07/08,2,41,12.5893,Partial curve; partial efficacy,-4.9,0.8,0.9801,-90.3638,4.5801,-2.2,0 0 0 0 0 0 0,-70.02,,,8.378,,-2.684,,6.095,,-0.9461,,-18.17,,-37.84,,-70.02
587,17385307,5459504,"NCGC",,Unspecified,,,"",2009/07/08,2,41,12.5893,Partial curve; partial efficacy,-4.9,0.8,0.9906,-91.3204,4.1178,-2.2,0 0 0 0 0 0 0,-69.63,,,8.014,,-0.3767,,4.655,,-4.81,,-14.88,,-42.98,,-69.63
588,17385301,5459457,"NCGC",,Unspecified,,,"",2009/07/08,2,43,5.01187,Partial curve; high efficacy,-5.3,1.111,0.9832,-96.482,8.8825,-2.1,0 0 0 0 0 0 0,-89.11,,,15.39,,13.15,,1.52,,-4.495,,-17.99,,-69.81,,-89.11
589,17385300,5459501,"NCGC",,Unspecified,,,"",2009/07/08,2,41,12.5893,Partial curve; partial efficacy,-4.9,0.8,0.9854,-91.5004,1.2232,-2.2,0 0 0 0 0 0 0,-73.01,,,4.758,,3.82,,-6.437,,-6.387,,-15.66,,-43.87,,-73.01
590,17385295,3247240,"NCGC",,Unspecified,,,"",2009/07/08,2,41,12.5893,Partial curve; partial efficacy,-4.9,2.7202,0.9911,-69.065,10.5615,-2.2,0 0 0 0 0 0 0,-67.24,,,13.82,,6.89,,9.309,,8.284,,13.99,,-24.73,,-67.24
591,17385272,3247251,"NCGC",,Unspecified,,,"",2009/07/08,2,41,12.5893,Partial curve; partial efficacy,-4.9,2.4064,0.9881,-66.8587,0.9334,-2.2,0 0 0 0 0 0 0,-65.41,,,5.923,,-1.419,,-0.2082,,-2.353,,2.074,,-29.11,,-65.41
592,17385266,3247218,"NCGC",,Unspecified,,,"",2009/07/08,2,42,12.5893,Partial curve; high efficacy,-4.9,0.9,0.9893,-100.6,5.02,-2.1,0 0 0 0 0 0 0,-80.1,,,3.511,,9.5,,-0.9663,,3.012,,-16.68,,-44,,-80.1
593,17385264,3247256,"NCGC",,Unspecified,,,"",2009/07/08,2,41,15.8489,Partial curve; partial efficacy,-4.8,1.7885,0.9855,-71.928,5.5,-2.2,0 0 0 0 0 0 0,-66.4,,,11.12,,8.402,,3.056,,3.265,,-0.3116,,-21.35,,-66.4
594,17385250,3247178,"NCGC",,Unspecified,,,"",2009/07/08,2,85,1.99526,Complete curve; high efficacy,-5.7,1.1,0.9977,-93.152,7.6063,-1.1,1 0 0 0 0 0 0,-90.96,,,28.16,,5.031,,6.915,,-11,,-44.06,,-80.7,,-90.96
595,17385192,3247115,"NCGC",,Unspecified,,,"",2009/07/08,2,41,10,Partial curve; partial efficacy,-5,3.2475,0.9054,-59.808,5.132,-2.2,0 0 0 0 0 0 0,-62.12,,,0.3269,,0.3176,,-7.737,,15.24,,14.39,,-30.23,,-62.12
596,17385188,3247108,"NCGC",,Unspecified,,,"",2009/07/08,2,41,10,Partial curve; partial efficacy,-5,2.3332,0.9704,-73.0645,7,-2.2,0 0 0 0 0 0 0,-72.8,,,12.29,,-2.9,,3.623,,13.11,,4.197,,-37.01,,-72.8
597,17385153,3247204,"NCGC",,Unspecified,,,"",2009/07/08,2,41,12.5893,Partial curve; partial efficacy,-4.9,1.4781,0.9668,-66.403,8,-2.2,0 0 0 0 0 0 0,-60.18,,,16.08,,0.1214,,9.201,,5.851,,1.33,,-24.13,,-60.18
