#,SID,CID,BioAssay_Source,RankScore,Outcome,Xref,URL,Comment,DepositDate,"Activity Outcome","Activity Score","p450-cyp1a2-Potency_&#956;M","p450-cyp1a2-Curve_Description","p450-cyp1a2-Fit_LogAC50","p450-cyp1a2-Fit_HillSlope","p450-cyp1a2-Fit_R2","p450-cyp1a2-Fit_InfiniteActivity_%","p450-cyp1a2-Fit_ZeroActivity_%","p450-cyp1a2-Fit_CurveClass","p450-cyp1a2-Excluded_Points","p450-cyp1a2-Max_Response","p450-cyp1a2-Activity at 0.0007 uM_%","p450-cyp1a2-Activity at 0.00160 uM_%","p450-cyp1a2-Activity at 0.00368 uM_%","p450-cyp1a2-Activity at 0.00820 uM_%","p450-cyp1a2-Activity at 0.018 uM_%","p450-cyp1a2-Activity at 0.041 uM_%","p450-cyp1a2-Activity at 0.091 uM_%","p450-cyp1a2-Activity at 0.204 uM_%","p450-cyp1a2-Activity at 0.457 uM_%","p450-cyp1a2-Activity at 1.022 uM_%","p450-cyp1a2-Activity at 2.286 uM_%","p450-cyp1a2-Activity at 5.111 uM_%","p450-cyp1a2-Activity at 11.43 uM_%","p450-cyp1a2-Activity at 25.56 uM_%","p450-cyp1a2-Activity at 57.14 uM_%"
583,17411863,2908270,"NCGC",,Unspecified,,,"",2009/07/08,2,41,15.8489,Partial curve; partial efficacy,-4.8,1.9673,0.9824,-77.8991,9.8419,-2.2,0 0 0 0 0 0 0,-72.1523,,,9.028,,14.5645,,3.2832,,14.6847,,4.5451,,-19.6411,,-72.1523
584,17411842,2283201,"NCGC",,Unspecified,,,"",2009/07/08,2,82,7.94328,Complete curve; high efficacy,-5.1,4.9549,0.9465,-87.9173,8.1169,-1.1,0 0 0 0 0 0 0,-88.1453,,,20.0798,,2.0266,,-10.5075,,18.9166,,8.7706,,-74.0693,,-88.1453
585,17411839,5335807,"NCGC",,Unspecified,,,"",2009/07/08,2,42,7.94328,Partial curve; high efficacy,-5.1,1.331,0.9862,-90.536,2.9545,-2.1,0 0 0 0 0 0 0,-82.8708,,,1.2677,,-4.6103,,8.0396,,4.1974,,-11.9115,,-55.2406,,-82.8708
586,17411836,1608349,"NCGC",,Unspecified,,,"",2009/07/08,2,40,25.1189,Partial curve; high efficacy,-4.6,1.3987,0.9412,-125.962,10.1776,-2.1,0 0 0 0 0 0 0,-94.9902,,,5.2625,,24.7464,,-3.8061,,18.3994,,-1.7922,,-21.2214,,-94.9902
587,17411833,310094,"NCGC",,Unspecified,,,"",2009/07/08,2,43,5.01187,Partial curve; high efficacy,-5.3,1.3437,0.9762,-83.2372,7.5,-2.1,0 0 0 0 0 0 0,-81.2519,,,6.2778,,9.271,,-0.9726,,13.849,,-20.369,,-57.9311,,-81.2519
588,17411825,869582,"NCGC",,Unspecified,,,"",2009/07/08,2,87,1.99526,Complete curve; high efficacy,-5.7,1.21,0.9964,-120.777,-1.5188,-1.1,0 0 0 0 0 0 0,-114.307,,,-1.2656,,-3.7364,,-2.3655,,-16.8744,,-70.1885,,-105.193,,-114.307
589,17411818,1474408,"NCGC",,Unspecified,,,"",2009/07/08,2,67,0.446684,Complete curve; partial efficacy,-6.35,2.3332,0.9906,-76.6432,-1.7798,-1.2,0 0 0 0 0 0 0,-76.1858,,,-8.1489,,0.4902,,1.6121,,-41.5081,,-75.8697,,-75.2764,,-76.1858
590,17411813,3718011,"NCGC",,Unspecified,,,"",2009/07/08,2,86,2.23872,Complete curve; high efficacy,-5.65,0.9,0.9945,-106.481,4.7234,-1.1,0 0 0 0 0 0 0,-97.0439,,,0.8595,,7.9205,,-1.9225,,-15.0425,,-54.7407,,-85.5598,,-97.0439
591,17411793,869580,"NCGC",,Unspecified,,,"",2009/07/08,2,88,0.891251,Complete curve; high efficacy,-6.05,1.4163,0.9979,-111.488,1.7407,-1.1,0 0 0 0 0 0 0,-111.764,,,-2.0401,,4.2827,,-0.1056,,-31.7311,,-88.9986,,-107.357,,-111.764
592,17411786,1345262,"NCGC",,Unspecified,,,"",2009/07/08,2,85,1.99526,Complete curve; high efficacy,-5.7,1,0.9845,-90.839,2.0992,-1.1,0 0 0 0 0 0 0,-83.6719,,,1.0359,,4.1012,,-2.3895,,-18.9612,,-41.3305,,-84.9071,,-83.6719
593,17411785,1345238,"NCGC",,Unspecified,,,"",2009/07/08,2,42,10,Partial curve; high efficacy,-5,1.3723,0.9973,-91.2025,3.0482,-2.1,0 0 0 0 0 0 0,-83.0854,,,3.7651,,2.2177,,5.9514,,-1.0708,,-7.3221,,-48.9401,,-83.0854
594,17411776,1477913,"NCGC",,Unspecified,,,"",2009/07/08,2,63,3.54813,Complete curve; partial efficacy,-5.45,4.095,0.9893,-63.3515,7,-1.2,0 0 0 0 0 0 0,-68.7159,,,5.8875,,8.6682,,6.2224,,8.1621,,-4.5646,,-56.866,,-68.7159
595,17411767,5524102,"NCGC",,Unspecified,,,"",2009/07/08,2,43,7.07946,Partial curve; high efficacy,-5.15,1.5095,0.9897,-92.6359,7.0774,-2.1,0 0 0 0 0 0 0,-88.9923,,,1.5253,,4.9317,,10.2929,,12.1139,,-10.5428,,-59.2257,,-88.9923
596,17411766,5872927,"NCGC",,Unspecified,,,"",2009/07/08,2,85,2.23872,Complete curve; high efficacy,-5.65,1.9673,0.9898,-95.167,7.8166,-1.1,0 0 0 0 0 0 0,-96.521,,,2.3092,,2.4532,,15.145,,8.1333,,-44.9432,,-89.7946,,-96.521
597,17411765,3825639,"NCGC",,Unspecified,,,"",2009/07/08,2,84,3.98107,Complete curve; high efficacy,-5.4,1.8579,0.9917,-91.0864,5.0734,-1.1,0 0 0 0 0 0 0,-91.9713,,,-0.0773,,2.2281,,9.4976,,8.6083,,-21.7541,,-77.38,,-91.9713
598,17411753,872827,"NCGC",,Unspecified,,,"",2009/07/08,2,63,4.46684,Complete curve; partial efficacy,-5.35,1.4781,0.9771,-79.093,-3.8847,-1.2,0 0 0 0 0 0 0,-77.4333,,,-10.9741,,-7.3836,,1.4136,,-0.324,,-26.73,,-62.9911,,-77.4333
599,17411747,2234361,"NCGC",,Unspecified,,,"",2009/07/08,2,44,5.62341,Partial curve; high efficacy,-5.25,1,0.9916,-106.788,8.3942,-2.1,0 0 0 0 0 0 0,-98.317,,,13.6062,,1.1156,,8.9737,,2.0519,,-27.1009,,-68.73,,-98.317
600,17411738,2978935,"NCGC",,Unspecified,,,"",2009/07/08,2,41,14.1254,Partial curve; high efficacy,-4.85,1.4781,0.9828,-94.446,4.6101,-2.1,0 0 0 0 0 0 0,-86.8549,,,10.944,,7.4989,,4.9,,-2.3869,,-5.7715,,-34.4713,,-86.8549
601,17411737,1490196,"NCGC",,Unspecified,,,"",2009/07/08,2,83,3.98107,Complete curve; high efficacy,-5.4,1.4163,0.9898,-82.9847,9,-1.1,0 0 0 0 0 0 0,-82.5449,,,4.1281,,6.5351,,13.1471,,9.8398,,-22.7769,,-63.6779,,-82.5449
602,17411732,2844894,"NCGC",,Unspecified,,,"",2009/07/08,2,40,19.9526,Partial curve; partial efficacy,-4.7,1.5579,0.9924,-84.0331,1.0002,-2.2,0 0 0 0 0 0 0,-70.4444,,,4.5534,,-3.4129,,1.2825,,-0.013,,-1.6751,,-24.1246,,-70.4444
603,17411729,2251149,"NCGC",,Unspecified,,,"",2009/07/08,2,41,15.8489,Partial curve; partial efficacy,-4.8,1,0.9784,-76.4223,14.4191,-2.2,0 0 0 0 0 0 0,-60.3856,,,10.8217,,18.8054,,16.2008,,9.7543,,-1.921,,-18.9302,,-60.3856
604,17411728,1253396,"NCGC",,Unspecified,,,"",2009/07/08,2,41,12.5893,Partial curve; partial efficacy,-4.9,1.1,0.9844,-86.0467,15.497,-2.2,0 0 0 0 0 0 0,-70.4568,,,8.9963,,15.8857,,19.5136,,17.0988,,-2.398,,-30.5585,,-70.4568
605,17411709,1484860,"NCGC",,Unspecified,,,"",2009/07/08,2,84,3.16228,Complete curve; high efficacy,-5.5,2.2481,0.9931,-83.5379,2.219,-1.1,0 0 0 0 0 0 0,-84.0158,,,0.0809,,-0.7026,,8.7944,,-1.2162,,-25.3696,,-78.1675,,-84.0158
606,17411706,680776,"NCGC",,Unspecified,,,"",2009/07/08,2,84,3.98107,Complete curve; high efficacy,-5.4,2.0937,0.9912,-94.6153,5.2873,-1.1,0 0 0 0 0 0 0,-96.4706,,,6.8824,,7.0584,,9.2764,,-4.1617,,-18.9016,,-81.814,,-96.4706
607,17411692,5721735,"NCGC",,Unspecified,,,"",2009/07/08,2,44,4.46684,Partial curve; high efficacy,-5.35,0.9,0.9988,-107.622,6.2018,-2.1,0 0 0 0 0 0 0,-98.299,,,4.6106,,3.8955,,5.0644,,-5.82,,-35.0969,,-72.589,,-98.299
608,17411668,871000,"NCGC",,Unspecified,,,"",2009/07/08,2,86,1.41254,Complete curve; high efficacy,-5.85,1.111,0.9984,-97.4633,-0.2423,-1.1,0 0 0 0 0 0 0,-95.8974,,,1.526,,-2.3092,,-7.3106,,-19.8898,,-62.1476,,-88.5088,,-95.8974
609,17411662,2251334,"NCGC",,Unspecified,,,"",2009/07/08,2,43,7.07946,Partial curve; high efficacy,-5.15,1.21,0.9764,-96.9768,13.1225,-2.1,0 0 0 0 0 0 0,-89.4712,,,8.5857,,4.2274,,17.2918,,19.883,,-12.2662,,-55.9369,,-89.4712
610,17411647,2857215,"NCGC",,Unspecified,,,"",2009/07/08,2,63,3.98107,Complete curve; partial efficacy,-5.4,2.3531,0.984,-70.8598,17.2233,-1.2,0 0 0 0 0 0 0,-73.8193,,,7.8182,,23.4138,,19.3418,,18.4883,,-3.1144,,-60.8033,,-73.8193
611,17411635,5843062,"NCGC",,Unspecified,,,"",2009/07/08,2,42,12.5893,Partial curve; high efficacy,-4.9,1.1,0.9853,-124.308,16.3555,-2.1,0 0 0 0 0 0 0,-102.018,,,16.3315,,10.8918,,13.9476,,23.7937,,-7.8852,,-48.6288,,-102.018
612,17411634,817655,"NCGC",,Unspecified,,,"",2009/07/08,2,83,3.98107,Complete curve; high efficacy,-5.4,1.3987,0.9586,-85.5021,6.5727,-1.1,0 0 0 0 0 0 0,-85.5769,,,-7.3447,,4.1056,,15.5418,,10.7561,,-25.7034,,-65.2664,,-85.5769
613,17411618,872849,"NCGC",,Unspecified,,,"",2009/07/08,2,41,11.2202,Partial curve; partial efficacy,-4.95,1.2876,0.9583,-71.1764,8.5,-2.2,0 0 0 0 0 0 0,-62.647,,,-2.964,,14.3343,,13.78,,9.4759,,-2.2324,,-31.5458,,-62.647
614,17411608,3761375,"NCGC",,Unspecified,,,"",2009/07/08,2,85,1.99526,Complete curve; high efficacy,-5.7,1.1,0.9977,-96.3744,7.0164,-1.1,0 0 0 0 0 0 0,-91.1706,,,9.0634,,5.3006,,4.0224,,-11.2941,,-47.2617,,-86.3897,,-91.1706
615,17411605,3764897,"NCGC",,Unspecified,,,"",2009/07/08,2,41,14.1254,Partial curve; partial efficacy,-4.85,1.6924,0.9677,-70.5993,16.6008,-2.2,0 0 0 0 0 0 0,-63.0414,,,14.9429,,10.2533,,16.0923,,27.9667,,9.7634,,-19.0848,,-63.0414
616,17411601,2978558,"NCGC",,Unspecified,,,"",2009/07/08,2,89,0.281838,Complete curve; high efficacy,-6.55,1.7529,0.9993,-88.3463,2.7062,-1.1,0 0 0 0 0 0 0,-89.2835,,,3.6547,,0.1498,,-7.6943,,-60.2993,,-84.9847,,-88.7118,,-89.2835
617,17411600,11958863,"NCGC",,Unspecified,,,"",2009/07/08,2,43,7.07946,Partial curve; high efficacy,-5.15,1.1,0.9962,-101.978,4.1414,-2.1,0 0 0 0 0 0 0,-91.8842,,,5.2874,,-0.5168,,3.845,,2.3945,,-20.8955,,-63.1315,,-91.8842
618,17411599,2978600,"NCGC",,Unspecified,,,"",2009/07/08,2,86,1.25893,Complete curve; high efficacy,-5.9,1.111,0.9992,-97.4999,6.1987,-1.1,0 0 0 0 0 0 0,-96.3161,,,6.995,,6.1027,,-1.9335,,-18.888,,-61.9126,,-89.7452,,-96.3161
619,17411594,867493,"NCGC",,Unspecified,,,"",2009/07/08,2,41,10,Partial curve; partial efficacy,-5,2.1211,0.9418,-79.1338,-0.6973,-2.2,0 0 0 0 0 0 0,-77.0687,,,-15.4871,,3.4066,,9.9044,,-0.3936,,-3.9683,,-45.3707,,-77.0687
620,17411593,2853352,"NCGC",,Unspecified,,,"",2009/07/08,2,64,1.99526,Complete curve; partial efficacy,-5.7,1,0.9938,-74.2978,10,-1.2,0 0 0 0 0 0 0,-68.4219,,,6.0931,,13.4933,,5.8675,,-6.9515,,-34.9424,,-62.5079,,-68.4219
621,17411585,2856996,"NCGC",,Unspecified,,,"",2009/07/08,2,84,3.98107,Complete curve; high efficacy,-5.4,1,0.9764,-109.081,-6.3765,-1.1,0 0 0 0 0 0 0,-101.971,,,-15.8001,,4.3037,,-8.1097,,-20.5796,,-42.4658,,-83.5457,,-101.971
622,17411581,868317,"NCGC",,Unspecified,,,"",2009/07/08,2,85,3.16228,Complete curve; high efficacy,-5.5,1.1,0.9845,-100.378,11.4067,-1.1,0 0 0 0 0 0 0,-94.5796,,,19.4871,,11.2253,,-1.3097,,0.5152,,-31.6801,,-80.9138,,-94.5796
623,17411542,1480657,"NCGC",,Unspecified,,,"",2009/07/08,2,86,1.12202,Complete curve; high efficacy,-5.95,1.111,0.9996,-91.272,17.0064,-1.1,0 0 0 0 0 0 0,-88.4604,,,17.8294,,15.3135,,9.5293,,-11.6864,,-58.146,,-84.32,,-88.4604
624,17411541,1482886,"NCGC",,Unspecified,,,"",2009/07/08,2,43,7.07946,Partial curve; high efficacy,-5.15,0.9,0.9971,-99.7415,7.6588,-2.1,0 0 0 0 0 0 0,-85.4658,,,11.359,,5.4752,,3.0635,,-1.0829,,-20.3981,,-57.9203,,-85.4658
625,17411536,3820364,"NCGC",,Unspecified,,,"",2009/07/08,2,68,0.177828,Complete curve; partial efficacy,-6.75,0.9,0.9985,-73.7869,35.1416,-1.2,0 0 0 0 0 0 0,-73.7275,,,31.1728,,24.055,,-5.5058,,-38.3415,,-65.6232,,-71.3012,,-73.7275
626,17411531,5707370,"NCGC",,Unspecified,,,"",2009/07/08,2,85,2.23872,Complete curve; high efficacy,-5.65,1.4787,0.9947,-96.5246,7.9675,-1.1,0 0 0 0 0 0 0,-95.4868,,,10.6385,,0.9267,,10.7459,,-1.0825,,-44.9396,,-88.1555,,-95.4868
627,17411529,5524857,"NCGC",,Unspecified,,,"",2009/07/08,2,86,1,Complete curve; high efficacy,-6,1.1,0.984,-88.4648,3.1375,-1.1,0 0 0 0 0 0 0,-90.1582,,,2.5548,,7.092,,-10.9108,,-18.0699,,-65.7991,,-78.7743,,-90.1582
628,17411527,3748089,"NCGC",,Unspecified,,,"",2009/07/08,2,43,7.07946,Partial curve; high efficacy,-5.15,1.1,0.995,-114.471,8.1548,-2.1,0 0 0 0 0 0 0,-102.674,,,13.8229,,6.2937,,2.6058,,1.1515,,-18.2305,,-69.6919,,-102.674
629,17411479,2765898,"NCGC",,Unspecified,,,"",2009/07/08,2,44,5.01187,Partial curve; high efficacy,-5.3,1.111,0.9991,-101.602,-2.9408,-2.1,0 0 0 0 0 0 0,-96.5975,,,-3.1002,,-1.1646,,-4.8004,,-9.9168,,-32.4704,,-72.0406,,-96.5975
630,17411477,3830300,"NCGC",,Unspecified,,,"",2009/07/08,2,86,1.99526,Complete curve; high efficacy,-5.7,1.4641,0.9971,-100.759,13.8913,-1.1,0 0 0 0 0 0 0,-97.9537,,,17.8075,,12.0612,,9.6973,,4.8338,,-51.8475,,-93.2618,,-97.9537
631,17411476,3750330,"NCGC",,Unspecified,,,"",2009/07/08,2,88,0.501187,Complete curve; high efficacy,-6.3,1.5095,0.9995,-95.5168,9.0238,-1.1,0 0 0 0 0 0 0,-95.5216,,,10.6402,,7.024,,0.9879,,-39.5571,,-87.0286,,-93.6488,,-95.5216
632,17411452,3568879,"NCGC",,Unspecified,,,"",2009/07/08,2,41,12.5893,Partial curve; partial efficacy,-4.9,1.2475,0.9818,-87.3985,7.5,-2.2,0 0 0 0 0 0 0,-75.3321,,,-1.5941,,10.3719,,11.3497,,7.828,,-3.915,,-36.294,,-75.3321
633,17411450,1476007,"NCGC",,Unspecified,,,"",2009/07/08,2,86,1.25893,Complete curve; high efficacy,-5.9,2.7868,0.9782,-87.0624,3.6447,-1.1,0 0 0 0 0 0 0,-88.1723,,,3.6644,,15.9633,,-7.3268,,-2.0752,,-72.9282,,-84.9355,,-88.1723
634,17411421,3370714,"NCGC",,Unspecified,,,"",2009/07/08,2,43,5.01187,Partial curve; high efficacy,-5.3,1.01,0.9943,-95.6744,10.2225,-2.1,0 0 0 0 0 0 0,-88.2474,,,13.9775,,5.7055,,6.2115,,5.3473,,-23.6422,,-62.1914,,-88.2474
635,17411416,1488501,"NCGC",,Unspecified,,,"",2009/07/08,2,85,2.51189,Complete curve; high efficacy,-5.6,1.1,0.9996,-107.038,22.1894,-1.1,0 0 0 0 0 0 0,-103.463,,,23.3335,,20.2849,,18.361,,6.2122,,-38.3005,,-85.908,,-103.463
636,17411412,327954,"NCGC",,Unspecified,,,"",2009/07/08,2,43,6.30957,Partial curve; high efficacy,-5.2,1,0.9993,-112.185,2.6103,-2.1,0 0 0 0 0 0 0,-101.318,,,0.5939,,3.0939,,2.4257,,-4.8998,,-27.8194,,-70.6927,,-101.318
637,17411402,2766138,"NCGC",,Unspecified,,,"",2009/07/08,2,41,14.1254,Partial curve; partial efficacy,-4.85,0.9,0.9896,-98.4987,6.5,-2.2,0 0 0 0 0 0 0,-76.0677,,,11.107,,8.3259,,0.217,,-0.4252,,-9.3509,,-39.4821,,-76.0677
638,17411401,2766134,"NCGC",,Unspecified,,,"",2009/07/08,2,85,3.98107,Complete curve; high efficacy,-5.4,1.3437,0.9958,-114.01,7.3394,-1.1,0 0 0 0 0 0 0,-109.279,,,13.0448,,8.7496,,1.57,,0.0187,,-31.9999,,-91.683,,-109.279
639,17411392,3774783,"NCGC",,Unspecified,,,"",2009/07/08,2,44,4.46684,Partial curve; high efficacy,-5.35,0.9,0.9943,-116.456,17.0465,-2.1,0 0 0 0 0 0 0,-103.36,,,22.9102,,11.7066,,11.5116,,-1.1023,,-26.8664,,-78.3691,,-103.36
640,17411391,1473019,"NCGC",,Unspecified,,,"",2009/07/08,2,44,3.98107,Partial curve; high efficacy,-5.4,1,0.9972,-100.946,13.2421,-2.1,0 0 0 0 0 0 0,-92.8574,,,17.4938,,9.4545,,11.042,,0.8832,,-27.7677,,-72.6519,,-92.8574
641,17411390,1472905,"NCGC",,Unspecified,,,"",2009/07/08,2,41,14.1254,Partial curve; partial efficacy,-4.85,1,0.9968,-94.4735,11.4137,-2.2,0 0 0 0 0 0 0,-75.0498,,,13.2252,,12.6261,,9.2682,,5.5625,,-2.7209,,-33.884,,-75.0498
642,17411388,3323365,"NCGC",,Unspecified,,,"",2009/07/08,2,44,5.01187,Partial curve; high efficacy,-5.3,1,0.9878,-105.023,9.7888,-2.1,0 0 0 0 0 0 0,-97.1158,,,18.0465,,6.4763,,0.2838,,2.1341,,-26.2715,,-69.7704,,-97.1158
643,17411387,3504941,"NCGC",,Unspecified,,,"",2009/07/08,2,86,1.99526,Complete curve; high efficacy,-5.7,1,0.9933,-100.124,10.7364,-1.1,0 0 0 0 0 0 0,-91.9367,,,15.4271,,6.6643,,3.3207,,-9.0271,,-48.4496,,-88.5378,,-91.9367
644,17411372,5707376,"NCGC",,Unspecified,,,"",2009/07/08,2,88,0.501187,Complete curve; high efficacy,-6.3,0.8,0.9988,-99.2571,9.2776,-1.1,0 0 0 0 0 0 0,-95.1702,,,7.9139,,-0.5525,,-11.0352,,-42.9594,,-74.4609,,-90.4208,,-95.1702
645,17411371,4329176,"NCGC",,Unspecified,,,"",2009/07/08,2,43,8.91251,Partial curve; high efficacy,-5.05,0.9,0.9971,-117.484,15.9545,-2.1,0 0 0 0 0 0 0,-96.004,,,16.5033,,17.9569,,11.7037,,4.375,,-11.1558,,-60.2382,,-96.004
646,17411349,2763924,"NCGC",,Unspecified,,,"",2009/07/08,2,42,7.94328,Partial curve; partial efficacy,-5.1,1.1,0.9888,-80.2668,12.8128,-2.2,0 0 0 0 0 0 0,-71.3677,,,7.0043,,13.5359,,14.8883,,13.8262,,-8.7445,,-41.2931,,-71.3677
647,17411347,1476733,"NCGC",,Unspecified,,,"",2009/07/08,2,86,1.12202,Complete curve; high efficacy,-5.95,1.7885,0.9984,-89.4749,-8.136,-1.1,0 0 0 0 0 0 0,-89.924,,,-10.3004,,-5.5851,,-7.8547,,-22.798,,-71.7243,,-87.9374,,-89.924
648,17411338,1484382,"NCGC",,Unspecified,,,"",2009/07/08,2,43,7.07946,Partial curve; high efficacy,-5.15,1.4641,0.9963,-105.064,4.0425,-2.1,0 0 0 0 0 0 0,-95.9754,,,0.7771,,3.3831,,3.3422,,5.0868,,-12.7728,,-69.2323,,-95.9754
649,17411327,1484362,"NCGC",,Unspecified,,,"",2009/07/08,2,42,8.91251,Partial curve; partial efficacy,-5.05,1.5095,0.9978,-75.5161,8,-2.2,0 0 0 0 0 0 0,-70.4359,,,7.8673,,9.4234,,9.2599,,4.1089,,-1.2737,,-42.0912,,-70.4359
650,17411321,6404629,"NCGC",,Unspecified,,,"",2009/07/08,2,43,7.94328,Partial curve; high efficacy,-5.1,1.1,0.994,-116.462,8.9152,-2.1,0 0 0 0 0 0 0,-103.986,,,6.0262,,6.2158,,14.8838,,0.8629,,-15.4708,,-65.2859,,-103.986
651,17411313,5106210,"NCGC",,Unspecified,,,"",2009/07/08,2,41,15.8489,Partial curve; high efficacy,-4.8,1.9673,0.9682,-99.3716,10.0764,-2.1,0 0 0 0 0 0 0,-92.1397,,,13.3787,,13.3872,,0.1503,,19.82,,-0.7049,,-26.0017,,-92.1397
652,17411309,3738180,"NCGC",,Unspecified,,,"",2009/07/08,2,85,1.77828,Complete curve; high efficacy,-5.75,1.6259,0.9929,-86.5524,12.1682,-1.1,0 0 0 0 0 0 0,-85.6473,,,4.7893,,15.7546,,15.5261,,1.9016,,-48.2931,,-81.4193,,-85.6473
653,17411305,1486797,"NCGC",,Unspecified,,,"",2009/07/08,2,88,0.562341,Complete curve; high efficacy,-6.25,1.21,0.9996,-96.2352,8.8799,-1.1,0 0 0 0 0 0 0,-96.3017,,,7.1714,,8.1682,,-0.8813,,-37.0709,,-78.8606,,-94.5624,,-96.3017
654,17411299,5915668,"NCGC",,Unspecified,,,"",2009/07/08,2,41,14.1254,Partial curve; partial efficacy,-4.85,1,0.9789,-80.7786,6.5,-2.2,0 0 0 0 0 0 0,-67.3155,,,12.8365,,3.5765,,4.021,,2.2862,,-8.3875,,-27.8729,,-67.3155
655,17411295,1478886,"NCGC",,Unspecified,,,"",2009/07/08,2,84,3.54813,Complete curve; high efficacy,-5.45,2.0937,0.9935,-100.929,6.3061,-1.1,0 0 0 0 0 0 0,-101.306,,,0.606,,5.566,,13.3508,,2.8294,,-22.7623,,-91.5155,,-101.306
656,17411286,3762662,"NCGC",,Unspecified,,,"",2009/07/08,2,84,1.99526,Complete curve; high efficacy,-5.7,1.6266,0.974,-76.8013,20.7735,-1.1,0 1 0 0 0 0 0,-80.4468,,,22.5094,,39.8309,,10.1908,,23.4208,,-36.8857,,-65.9524,,-80.4468
657,17411280,1480798,"NCGC",,Unspecified,,,"",2009/07/08,2,43,7.07946,Partial curve; high efficacy,-5.15,1.3443,0.9743,-96.3719,13.0572,-2.1,0 0 0 0 0 0 0,-89.7717,,,0.8858,,13.162,,23.7693,,13.1886,,-7.5484,,-58.2894,,-89.7717
658,17411271,1488513,"NCGC",,Unspecified,,,"",2009/07/08,2,85,2.23872,Complete curve; high efficacy,-5.65,1.1,0.9975,-92.5784,9.787,-1.1,0 0 0 0 0 0 0,-89.5971,,,13.424,,6.0815,,6.7979,,-4.5045,,-43.4706,,-77.2484,,-89.5971
659,17411268,3759299,"NCGC",,Unspecified,,,"",2009/07/08,2,42,7.94328,Partial curve; partial efficacy,-5.1,0.9,0.9938,-76.2125,9.5,-2.2,0 0 0 0 0 0 0,-63.7568,,,7.5839,,13.2867,,6.378,,1.8046,,-9.3313,,-41.3209,,-63.7568
660,17411259,11958850,"NCGC",,Unspecified,,,"",2009/07/08,2,85,2.81838,Complete curve; high efficacy,-5.55,1.1,0.9995,-97.7541,23.4137,-1.1,0 0 0 0 0 0 0,-92.193,,,24.8755,,21.9756,,19.5878,,9.4135,,-30.3525,,-77.4,,-92.193
661,17411253,2765866,"NCGC",,Unspecified,,,"",2009/07/08,2,40,25.1189,Partial curve; high efficacy,-4.6,1.5936,0.9761,-124.446,9.6193,-2.1,0 0 0 0 0 0 0,-95.6888,,,10.5186,,15.6338,,-1.2662,,17.4795,,3.9148,,-20.5968,,-95.6888
662,17411248,3799501,"NCGC",,Unspecified,,,"",2009/07/08,2,40,25.1189,Partial curve; high efficacy,-4.6,1.5936,0.9836,-119.387,15.4451,-2.1,0 0 0 0 0 0 0,-90.9086,,,7.4805,,19.6789,,13.2782,,23.4994,,10.6987,,-14.226,,-90.9086
663,17411235,1480803,"NCGC",,Unspecified,,,"",2009/07/08,2,86,1,Complete curve; high efficacy,-6,1.21,0.9965,-82.134,13.9707,-1.1,0 0 0 0 0 0 0,-82.1706,,,17.2441,,11.93,,5.0818,,-10.3855,,-57.3486,,-75.6923,,-82.1706
664,17411224,6404569,"NCGC",,Unspecified,,,"",2009/07/08,2,41,17.7828,Partial curve; partial efficacy,-4.75,2.0479,0.9849,-85.3219,10.5,-2.2,0 0 0 0 0 0 0,-77.2086,,,2.1227,,10.4558,,14.0522,,14.5069,,9.8209,,-17.0605,,-77.2086
665,17411223,4594206,"NCGC",,Unspecified,,,"",2009/07/08,2,87,0.891251,Complete curve; high efficacy,-6.05,2.1876,0.9994,-101.132,9.6731,-1.1,0 0 0 0 0 0 0,-102.769,,,11.0326,,8.5872,,8.2577,,-9.6308,,-87.672,,-99.8731,,-102.769
666,17411222,1483026,"NCGC",,Unspecified,,,"",2009/07/08,2,40,25.1189,Partial curve; partial efficacy,-4.6,1.7529,0.9965,-84.9845,5.2193,-2.2,0 0 0 0 0 0 0,-67.8527,,,7.7607,,6.5389,,5.4437,,4.7401,,1.2357,,-12.6099,,-67.8527
667,17411219,5846147,"NCGC",,Unspecified,,,"",2009/07/08,2,43,6.30957,Partial curve; high efficacy,-5.2,1.331,0.9887,-89.5558,11.5,-2.1,0 0 0 0 0 0 0,-82.6731,,,3.97,,15.8076,,12.5419,,12.2651,,-12.4532,,-58.5419,,-82.6731
668,17411210,3382829,"NCGC",,Unspecified,,,"",2009/07/08,2,86,2.51189,Complete curve; high efficacy,-5.6,1.3443,0.9967,-109.754,12.4452,-1.1,0 0 0 0 0 0 0,-106.499,,,17.9525,,12.1751,,7.2395,,-0.1269,,-43.5635,,-98.206,,-106.499
669,17411199,3799510,"NCGC",,Unspecified,,,"",2009/07/08,2,41,15.8489,Partial curve; partial efficacy,-4.8,1.4163,0.9848,-91.2171,7.5,-2.2,0 0 0 0 0 0 0,-79.938,,,6.1418,,8.3238,,5.2071,,14.2325,,-4.0354,,-28.9952,,-79.938
670,17411193,5922508,"NCGC",,Unspecified,,,"",2009/07/08,2,84,4.46684,Complete curve; high efficacy,-5.35,1.6436,0.9983,-94.8315,4.036,-1.1,0 0 0 0 0 0 0,-93.7407,,,7.1581,,3.0389,,2.0129,,-0.0873,,-19.6945,,-77.2753,,-93.7407
671,17411192,11958847,"NCGC",,Unspecified,,,"",2009/07/08,2,86,1.99526,Complete curve; high efficacy,-5.7,0.8,0.9982,-109.866,9.2625,-1.1,0 0 0 0 0 0 0,-101.09,,,6.8494,,7.8799,,0.8114,,-20.8037,,-50.738,,-88.3198,,-101.09
