AAKJLRGGTJKAMG-UHFFFAOYSA-N	Erlotinib	COCCOc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCOC
GCKFUYQCUCGESZ-BPIQYHPVSA-N	ETONOGESTREL	CCC12CC(=C)C3C(C1CCC2(C#C)O)CCC4=CC(=O)CCC34
GCKMFJBGXUYNAG-HLXURNFRSA-N	methyltestosterone	C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
GDLBFKVLRPITMI-UHFFFAOYSA-N	diazoxide	CC1=NS(=O)(=O)C2=C(N1)C=CC(=C2)Cl
GDLIGKIOYRNHDA-UHFFFAOYSA-N	clomipramine	CN(C)CCCN1c2ccccc2CCc3ccc(Cl)cc13
GECHUMIMRBOMGK-UHFFFAOYSA-N	sulfapyridine	C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N
GEFQWZLICWMTKF-CDUCUWFYSA-N	corbadrine	CC(C(C1=CC(=C(C=C1)O)O)O)N
GFMMXOIFOQCCGU-UHFFFAOYSA-N	PHA-00816795	Ic1ccc(c(c1)Cl)Nc1c(ccc(c1F)F)C(=O)NOCC1CC1
GFNANZIMVAIWHM-OBYCQNJPSA-N	triamcinolone	C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1C[C@@H](O)[C@]2(O)C(=O)CO
GFNNBHLJANVSQV-UHFFFAOYSA-N	tyrphostin_AG-1478	COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC
GIIZNNXWQWCKIB-UHFFFAOYSA-N	Salmeterol	OCc1cc(ccc1O)C(O)CNCCCCCCOCCCCc2ccccc2
GIJXKZJWITVLHI-PMOLBWCYSA-N	Benzatropine	CN1[C@@H]2CC[C@H]1C[C@H](C2)OC(c3ccccc3)c4ccccc4
GJPICJJJRGTNOD-UHFFFAOYSA-N	Bosentan	COc1ccccc1Oc2c(NS(=O)(=O)c3ccc(cc3)C(C)(C)C)nc(nc2OCCO)c4ncccn4
GJQPMPFPNINLKP-UHFFFAOYSA-N	diclofenamide	Clc1cc(cc(c1Cl)S(=O)(=O)N)S(=O)(=O)N
GJSLOMWRLALDCT-UHFFFAOYSA-N	ADINAZOLAM	CN(C)CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4
GJSURZIOUXUGAL-UHFFFAOYSA-N	clonidine	Clc1cccc(Cl)c1NC2=NCCN2
GKTWGGQPFAXNFI-HNNXBMFYSA-N	clopidogrel	COC(=O)[C@@H](N1CCc2sccc2C1)c3ccccc3Cl
GLVAUDGFNGKCSF-UHFFFAOYSA-N	mercaptopurine	Sc1ncnc2nc[nH]c12
GOEMGAFJFRBGGG-UHFFFAOYSA-N	acebutolol	CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(c1)C(=O)C
GOLCXWYRSKYTSP-UHFFFAOYSA-N	Oxyde Arsenieux	O1[As]2O[As]1O2
GOTYRUGSSMKFNF-UHFFFAOYSA-N	Lenalidomide	C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N
GPKJTRJOBQGKQK-UHFFFAOYSA-N	mepacrine	CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc3ccc(OC)cc13
GPRBEKHLDVQUJE-QSWIMTSFSA-N	cefotaxime	CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)COC(=O)C)\c3csc(N)n3
GSNHKUDZZFZSJB-HLMSNRGBSA-N	Maraviroc	CC1=NN=C(N1C2CC3CCC(C2)N3CCC(C4=CC=CC=C4)NC(=O)C5CCC(CC5)(F)F)C(C)C
GUJRSXAPGDDABA-NSHDSACASA-N	remoxipride	CCN1CCCC1CNC(=O)C2=C(C=CC(=C2OC)Br)OC
GVJHHUAWPYXKBD-IEOSBIPESA-N	alpha-Tocopherol	CC1=C(C(=C2CCC(OC2=C1C)(C)CCCC(C)CCCC(C)CCCC(C)C)C)O
GXDALQBWZGODGZ-UHFFFAOYSA-N	astemizole	COc1ccc(CCN2CCC(CC2)Nc3nc4ccccc4n3Cc5ccc(F)cc5)cc1
GXPHKUHSUJUWKP-CYFREDJKSA-N	troglitazone	O=C1NC(=O)[C@@H](S1)Cc1ccc(cc1)OC[C@]1(C)CCc2c(O1)c(C)c(c(c2C)O)C
GXPHKUHSUJUWKP-DVECYGJZSA-N	troglitazone	O=C1NC(=O)[C@H](S1)Cc1ccc(cc1)OC[C@]1(C)CCc2c(O1)c(C)c(c(c2C)O)C
GXPHKUHSUJUWKP-NTKDMRAZSA-N	troglitazone	O=C1NC(=O)[C@H](S1)Cc1ccc(cc1)OC[C@@]1(C)CCc2c(O1)c(C)c(c(c2C)O)C
GXPHKUHSUJUWKP-UHFFFAOYSA-N	troglitazone	Cc1c(C)c2OC(C)(COc3ccc(CC4SC(=O)NC4=O)cc3)CCc2c(C)c1O
GXPHKUHSUJUWKP-YADARESESA-N	troglitazone	O=C1NC(=O)[C@@H](S1)Cc1ccc(cc1)OC[C@@]1(C)CCc2c(O1)c(C)c(c(c2C)O)C
GXRZIMHKGDIBEW-UHFFFAOYSA-N	ethionamide	C#CC1(CCCCC1)OC(=O)N
GYDJEQRTZSCIOI-LJGSYFOKSA-N	Tranexamic Acid	NC[C@@H]1CC[C@H](CC1)C(=O)O
GYHCTFXIZSNGJT-XMMPIXPASA-N	Samsca	Clc1ccc2c(c1)[C@H](O)CCCN2C(=O)c1ccc(cc1C)NC(=O)c1ccccc1C
GZOSMCIZMLWJML-VJLLXTKPSA-N	Abiraterone	C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@]34C)[C@@H]1CC=C2c5cccnc5
GZUITABIAKMVPG-UHFFFAOYSA-N	raloxifene	Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(OCCN5CCCCC5)cc4
GZUITABIAKMVPG-UHFFFAOYSA-O	raloxifene	Oc1ccc2c(c1)sc(c2C(=O)c1ccc(cc1)OCC[NH+]1CCCCC1)c1ccc(cc1)O
HAPOVYFOVVWLRS-UHFFFAOYSA-N	ethosuximide	CCC1(CC(=O)NC1=O)C
HCRKCZRJWPKOAR-JTQLQIEISA-N	brinzolamide	CCNC1CN(S(=O)(=O)C2=C1C=C(S2)S(=O)(=O)N)CCCOC
HCZKYJDFEPMADG-VXGBXAGGSA-N	nordihydroguaiaretic_acid	C[C@@H]([C@@H](Cc1ccc(c(c1)O)O)C)Cc1ccc(c(c1)O)O
HDACQVRGBOVJII-JBDAPHQKSA-N	ramipril	CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N2[C@H]3CCC[C@H]3C[C@H]2C(=O)O
HDDSHPAODJUKPD-UHFFFAOYSA-N	fenbendazole	COC(=O)Nc1nc2ccc(Sc3ccccc3)cc2[nH]1
HDWIHXWEUNVBIY-UHFFFAOYSA-N	bendroflumethiazide	C1=CC=C(C=C1)CC2NC3=C(C=C(C(=C3)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N2
HEFNNWSXXWATRW-JTQLQIEISA-N	dexibuprofen	CC(C)Cc1ccc(cc1)[C@H](C)C(=O)O
HEMJJKBWTPKOJG-UHFFFAOYSA-N	gemfibrozil	Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1
HFHZKZSRXITVMK-UHFFFAOYSA-N	oxyphenbutazone	CCCCC1C(=O)N(N(C1=O)c2ccc(O)cc2)c3ccccc3
HIFJCPQKFCZDDL-ACWOEMLNSA-N	iloprost	CC#CCC(C)[C@H](O)\C=C\[C@H]1[C@H](O)C[C@@H]2C\C(=C/CCCC(=O)O)\C[C@H]12
HITJFUSPLYBJPE-UHFFFAOYSA-N	resveratrol	Oc1ccc(CCc2cc(O)cc(O)c2)cc1
HJJDBAOLQAWBMH-YCRCPZNHSA-N	cefmenoxime	CN1C(=NN=N1)SCC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)O
HJMQDJPMQIHLPB-UHFFFAOYSA-N	zardaverine	COc1cc(ccc1OC(F)F)C2=NNC(=O)C=C2
HJORMJIFDVBMOB-GFCCVEGCSA-N	rolipram	COc1ccc(cc1OC1CCCC1)[C@H]1CNC(=O)C1
HJORMJIFDVBMOB-LBPRGKRZSA-N	rolipram	COc1ccc(cc1OC2CCCC2)[C@@H]3CNC(=O)C3
HJORMJIFDVBMOB-UHFFFAOYSA-N	rolipram	COc1ccc(cc1OC2CCCC2)C3CNC(=O)C3
HKSZLNNOFSGOKW-FYTWVXJKSA-N	staurosporine	CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35
HKSZLNNOFSGOKW-FYTWVXJKSA-O	staurosporine	C[NH2+][C@@H]1C[C@H]2O[C@]([C@@H]1OC)(C)n1c3ccccc3c3c1c1n2c2ccccc2c1c1c3CNC1=O
HKSZLNNOFSGOKW-VCPDCAFQSA-N	staurosporine	CN[C@H]1C[C@H]2O[C@@](C)([C@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35
HKSZLNNOFSGOKW-ZGQXJOJZSA-N	staurosporine	CN[C@@H]1CC2O[C@@](C)([C@@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35
HKVAMNSJSFKALM-CYUZEOOHSA-N	Everolimus	CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)OCCO)C)C)O)OC)C)C)C)OC
HLVVITIHAZBPKB-UHFFFAOYSA-N	velnacrine	Nc1c2C(O)CCCc2nc3ccccc13
HMJIYCCIJYRONP-UHFFFAOYSA-N	isradipine	COC(=O)C1=C(C)NC(=C(C1c2cccc3nonc23)C(=O)OC(C)C)C
HPHUVLMMVZITSG-ZCFIWIBFSA-N	LEVITIRACETAM	CCC(C(=O)N)N1CCCC1=O
HPJKCIUCZWXJDR-UHFFFAOYSA-N	piroxicam	N#Cc1ccc(cc1)C(c2ccc(cc2)C#N)n3cncn3
HPMZBILYSWLILX-UMDUKNJSSA-N	Acetyldiginatin	CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CCC7(C6(CCC7C8=CC(=O)OC8)O)C)C)C)C)OC(=O)C)O
HQIRNZOQPUAHHV-UHFFFAOYSA-N	BUPRANOLOL	CC1=CC(=C(C=C1)Cl)OCC(CNC(C)(C)C)O
HSHNITRMYYLLCV-UHFFFAOYSA-N	hymecromone	CC1=CC(=O)Oc2cc(O)ccc12
HTMIBDQKFHUPSX-UHFFFAOYSA-N	METHDILAZINE	CN1CCC(C1)CN2C3=CC=CC=C3SC4=CC=CC=C42
HTQMVQVXFRQIKW-UHFFFAOYSA-N	candesartan	CCOc1nc2cccc(C(=O)O)c2n1Cc3ccc(cc3)c4ccccc4c5nnn[nH]5
HUCJFAOMUPXHDK-UHFFFAOYSA-N	xylometazoline	CC1=CC(=CC(=C1CC2=NCCN2)C)C(C)(C)C
HXGBXQDTNZMWGS-RUZDIDTESA-N	Darifenacin	C1CN(CC1C(C2=CC=CC=C2)(C3=CC=CC=C3)C(=O)N)CCC4=CC5=C(C=C4)OCC5
HYFHYPWGAURHIV-ZEDNPHJLSA-N	Ceflatonin	CC(C)(CCCC(CC(=O)OC)(C(=O)OC1C2C3=CC4=C(C=C3CCN5C2(CCC5)C=C1OC)OCO4)O)O
HYIMSNHJOBLJNT-UHFFFAOYSA-N	nifedipine	COC(=O)C1=C(C)NC(=C(C1c2ccccc2[N+](=O)[O-])C(=O)OC)C
HYWYRSMBCFDLJT-UHFFFAOYSA-N	nimesulide	CS(=O)(=O)Nc1ccc(cc1Oc2ccccc2)[N+](=O)[O-]
HYYBABOKPJLUIN-UHFFFAOYSA-N	mefenamic_acid	Cc1cccc(Nc2ccccc2C(=O)O)c1C
HZZVJAQRINQKSD-PBFISZAISA-N	CLAVULANIC ACID	OC\C=C\1/O[C@@H]2CC(=O)N2[C@H]1C(=O)O
IAOZJIPTCAWIRG-QWRGUYRKSA-N	aspartame	COC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC(=O)O)N
IDBPHNDTYPBSNI-UHFFFAOYSA-N	ALFENTANIL	CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)c3ccccc3)C1=O
IEDVJHCEMCRBQM-UHFFFAOYSA-N	trimethoprim	COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
IIDJRNMFWXDHID-UHFFFAOYSA-N	Risedronic acid	OC(Cc1cccnc1)(P(=O)(O)O)P(=O)(O)O
IKMDFBPHZNJCSN-UHFFFAOYSA-N	myricetin	OC1=C(Oc2cc(O)cc(O)c2C1=O)c3cc(O)c(O)c(O)c3
IKMPWMZBZSAONZ-UHFFFAOYSA-N	quazepam	C1C(=S)N(C2=C(C=C(C=C2)Cl)C(=N1)C3=CC=CC=C3F)CC(F)(F)F
ILEDWLMCKZNDJK-UHFFFAOYSA-N	esculetin	Oc1cc2OC(=O)C=Cc2cc1O
ILKJAFIWWBXGDU-MOGDOJJUSA-N	amcinonide	CC(=O)OCC(=O)C12C(CC3C1(CC(C4(C3CCC5=CC(=O)C=CC54C)F)O)C)OC6(O2)CCCC6
ILVYCEVXHALBSC-OTBYEXOQSA-N	Mivacurium	C[N+]1(CCC2=CC(=C(C=C2C1CC3=CC(=C(C(=C3)OC)OC)OC)OC)OC)CCCOC(=O)CCC=CCCC(=O)OCCC[N+]4(CCC5=CC(=C(C=C5C4CC6=CC(=C(C(=C6)OC)OC)OC)OC)OC)C
ILYCWAKSDCYMBB-OPCMSESCSA-N	dihydrotachysterol	CC1CCC(CC1=CC=C2CCCC3(C2CCC3C(C)C=CC(C)C(C)C)C)O
IMONTRJLAWHYGT-ZCPXKWAGSA-N	Norethisterone acetate	CC(=O)O[C@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]12C)C#C
IMPVZRLKKKXMKQ-SGDOCVTFSA-N	benzylpenicilloyl G polylysine	CC1(C(NC(S1)C(C(=O)NCCCCC(C(=O)O)N)NC(=O)CC2=CC=CC=C2)C(=O)O)C.C(CCN)CC(C(=O)O)N
IMYZQPCYWPFTAG-IQJOONFLSA-N	mecamylamine	CN[C@]1(C)[C@@H]2CC[C@@H](C2)C1(C)C
IMYZQPCYWPFTAG-UHFFFAOYSA-N	mecamylamine	CC1(C2CCC(C2)C1(C)NC)C
INJOMKTZOLKMBF-UHFFFAOYSA-N	guanfacine	NC(=N)NC(=O)Cc1c(Cl)cccc1Cl
INVTYAOGFAGBOE-UHFFFAOYSA-N	MS-275	Nc1ccccc1NC(=O)c2ccc(CNC(=O)OCc3cccnc3)cc2
IOVGROKTTNBUGK-SJCJKPOMSA-N	ritodrine	C[C@H](NCCc1ccc(O)cc1)[C@H](O)c2ccc(O)cc2
IPZFPROOBOUEIG-UHFFFAOYSA-N	amprolium	CCCc1ncc(c(n1)N)C[n+]1ccccc1C
IQPNAANSBPBGFQ-UHFFFAOYSA-N	luteolin	Oc1cc(O)c2C(=O)C=C(Oc2c1)c3ccc(O)c(O)c3
IQPSEEYGBUAQFF-UHFFFAOYSA-N	pantoprazole	COc1ccnc(C[S+]([O-])c2nc3cc(OC(F)F)ccc3[nH]2)c1OC
IRSCQMHQWWYFCW-UHFFFAOYSA-N	ganciclovir	C1=NC2=C(N1COC(CO)CO)NC(=NC2=O)N
IRYJRGCIQBGHIV-UHFFFAOYSA-N	trimethadione	CC1(C(=O)N(C(=O)O1)C)C
ITRJWOMZKQRYTA-RFZYENFJSA-N	cortisone	CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@]12C
IUJDSEJGGMCXSG-UHFFFAOYSA-N	thiopental	CCCC(C)C1(C(=O)NC(=S)NC1=O)CC
IVOMOUWHDPKRLL-KQYNXXCUSA-N	cyclic_adenosine_monophosphate	Nc1ncnc2c1ncn2[C@@H]3O[C@@H]4COP(=O)(O)O[C@H]4[C@H]3O
IWCWQNVIUXZOMJ-MISYRCLQSA-N	Ecabet	CC(C)C1=C(C=C2C(=C1)CCC3C2(CCCC3(C)C(=O)O)C)S(=O)(=O)O
IWUCXVSUMQZMFG-AFCXAGJDSA-N	ribavirin	NC(=O)c1ncn(n1)[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O
IWVCMVBTMGNXQD-PXOLEDIWSA-N	Oxytetracycline	CN(C)[C@H]1[C@@H]2[C@@H](O)[C@H]3C(=C(O)[C@]2(O)C(=O)C(=C1O)C(=O)N)C(=O)c4c(O)cccc4[C@@]3(C)O
IXFPJGBNCFXKPI-FSIHEZPISA-N	thapsigargin	CCCCCCCC(=O)O[C@@H]1[C@@H](OC(=O)\C(=C/C)\C)C(=C2[C@@H]3OC(=O)[C@@](C)(O)[C@@]3(O)[C@H](C[C@](C)(OC(=O)C)[C@@H]12)OC(=O)CCC)C
IXTMWRCNAAVVAI-UHFFFAOYSA-N	Dofetilide	CN(CCOc1ccc(NS(=O)(=O)C)cc1)CCc2ccc(NS(=O)(=O)C)cc2
IYGYMKDQCDOMRE-MSOLQXFVSA-N	bicuculline	CN1CCc2c([C@@H]1[C@H]1OC(=O)c3c1ccc1c3OCO1)cc1c(c2)OCO1
IYIKLHRQXLHMJQ-UHFFFAOYSA-N	amiodarone	CCCCc1oc2ccccc2c1C(=O)c3cc(I)c(OCCN(CC)CC)c(I)c3
JAQUASYNZVUNQP-USXIJHARSA-N	levorphanol	CN1CC[C@]23CCCC[C@H]2[C@H]1Cc4ccc(O)cc34
JBIWCJUYHHGXTC-AKNGSSGZSA-N	Doxycycline	C[C@@H]1[C@H]2[C@H](O)[C@H]3[C@H](N(C)C)C(=C(C(=O)N)C(=O)[C@@]3(O)C(=C2C(=O)c4c(O)cccc14)O)O
JCKYGMPEJWAADB-UHFFFAOYSA-N	pepstatin	OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl
JCQLYHFGKNRPGE-FCVZTGTOSA-N	lactulose	C(C1C(C(C(C(O1)OC2C(OC(C2O)(CO)O)CO)O)O)O)O
JCRIVQIOJSSCQD-UHFFFAOYSA-N	Propylhexedrine	CC(CC1CCCCC1)NC
JFJZZMVDLULRGK-URLMMPGGSA-O	tubocurarine_chloride	COc1cc2CC[N+](C)(C)[C@@H]3Cc4ccc(O)c(Oc5cc6[C@H](Cc7ccc(Oc(c1O)c23)cc7)N(C)CCc6cc5OC)c4
JFPVXVDWJQMJEE-IZRZKJBUSA-N	cefuroxime	CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)COC(=O)N)\c3occc3
JGCMEBMXRHSZKX-UHFFFAOYSA-N	Macitentan	CCCNS(=O)(=O)NC1=C(C(=NC=N1)OCCOC2=NC=C(C=N2)Br)C3=CC=C(C=C3)Br
JGSARLDLIJGVTE-MBNYWOFBSA-N	benzylpenicillin	CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O
JJCFRYNCJDLXIK-UHFFFAOYSA-N	cyproheptadine	CN1CCC(=C2c3ccccc3C=Cc4ccccc24)CC1
JKKFKPJIXZFSSB-CBZIJGRNSA-N	estropipate	C[C@]12CC[C@H]3[C@@H](CCc4cc(OS(=O)(=O)O)ccc34)[C@@H]1CCC2=O
JKWKMORAXJQQSR-MOPIKTETSA-N	NANDROLONE DECANOATE	CCCCCCCCCC(=O)OC1CCC2C1(CCC3C2CCC4=CC(=O)CCC34)C
JLKIGFTWXXRPMT-UHFFFAOYSA-N	sulfamethoxazole	Cc1onc(NS(=O)(=O)c2ccc(N)cc2)c1
JLRGJRBPOGGCBT-UHFFFAOYSA-N	tolbutamide	CCCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)C
JLYXXMFPNIAWKQ-GNIYUCBRSA-N	Lindane	Cl[C@@H]1[C@@H](Cl)[C@H](Cl)[C@H](Cl)[C@@H](Cl)[C@@H]1Cl
JMBQKKAJIKAWKF-UHFFFAOYSA-N	glutethimide	CCC1(CCC(=O)NC1=O)C2=CC=CC=C2
JNTOCHDNEULJHD-UHFFFAOYSA-N	penciclovir	NC1=Nc2c(ncn2CCC(CO)CO)C(=O)N1
JOFWLTCLBGQGBO-UHFFFAOYSA-N	triazolam	Cc1nnc2CN=C(c3ccccc3Cl)c4cc(Cl)ccc4n12
JQXXHWHPUNPDRT-WLSIYKJHSA-N	Rifampicin	CO[C@H]1\C=C\O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(NC(=O)\C(=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(=O)C)[C@@H]1C)\C)c(\C=N\N5CCN(C)CC5)c(O)c4c3C2=O
JRWZLRBJNMZMFE-UHFFFAOYSA-N	dobutamine	CC(CCc1ccc(O)cc1)NCCc2ccc(O)c(O)c2
JTPUMZTWMWIVPA-UHFFFAOYSA-O	isopropamide_iodide	CC(C)[N+](C)(CCC(C1=CC=CC=C1)(C2=CC=CC=C2)C(=O)N)C(C)C
JUUFBMODXQKSTD-UHFFFAOYSA-N	Flupirtine	CCOC(=O)NC1=C(N=C(C=C1)NCC2=CC=C(C=C2)F)N
JUVIOZPCNVVQFO-HBGVWJBISA-N	rotenone	COc1cc2OC[C@H]3Oc4c5C[C@@H](Oc5ccc4C(=O)[C@H]3c2cc1OC)C(=C)C
JUZNIMUFDBIJCM-ANEDZVCMSA-N	Ertapenem	CC1C2C(C(=O)N2C(=C1SC3CC(NC3)C(=O)NC4=CC=CC(=C4)C(=O)O)C(=O)O)C(C)O
JWHAUXFOSRPERK-UHFFFAOYSA-N	propafenone	CCCNCC(O)COc1ccccc1C(=O)CCc2ccccc2
JWPGJSVJDAJRLW-UHFFFAOYSA-N	debrisoquine	C1CN(CC2=CC=CC=C21)C(=N)N
JWZZKOKVBUJMES-UHFFFAOYSA-N	(+)-isoprenaline	CC(C)NCC(O)c1ccc(O)c(O)c1
JXLYSJRDGCGARV-CFWMRBGOSA-N	vinblastine	CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C2)(C(=O)OC)c5cc6c(cc5OC)N(C)[C@H]7[C@](O)([C@H](OC(=O)C)[C@]8(CC)C=CCN9CC[C@]67[C@H]89)C(=O)OC)C1
JXLYSJRDGCGARV-XQKSVPLYSA-N	vinblastine	CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O
JZFPYUNJRRFVQU-UHFFFAOYSA-N	niflumic_acid	OC(=O)c1cccnc1Nc2cccc(c2)C(F)(F)F
JZUFKLXOESDKRF-UHFFFAOYSA-N	hydrochlorothiazide	C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl
KBOPZPXVLCULAV-UHFFFAOYSA-N	mesalazine	Nc1ccc(O)c(c1)C(=O)O
KBUZBQVCBVDWKX-UHFFFAOYSA-N	emedastine	CCOCCn1c(nc2ccccc12)N3CCCN(C)CC3
KDYFGRWQOYBRFD-UHFFFAOYSA-N	succinic acid	OC(=O)CCC(=O)O
KFQYTPMOWPVWEJ-UHFFFAOYSA-N	ent-Rotigotine	CCCN(CCC1=CC=CS1)C2CCC3=C(C2)C=CC=C3O
KGFYHTZWPPHNLQ-AWEZNQCLSA-N	Rivaroxaban	Clc1ccc(s1)C(=O)NC[C@H]2CN(C(=O)O2)c3ccc(cc3)N4CCOCC4=O
KIQQMECNKUGGKA-NMYWJIRASA-N	NORGESTIMATE	CCC12CCC3C(C1CCC2(C#C)OC(=O)C)CCC4=CC(=NO)CCC34
KKGQTZUTZRNORY-UHFFFAOYSA-N	Fingolimod	CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1
KKZJGLLVHKMTCM-UHFFFAOYSA-N	mitoxantrone	OCCNCCNc1ccc(NCCNCCO)c2C(=O)c3c(O)ccc(O)c3C(=O)c12
KNAHARQHSZJURB-UHFFFAOYSA-N	propylthiouracil	CCCC1=CC(=O)NC(=S)N1
KOHIRBRYDXPAMZ-UHFFFAOYSA-N	Nebivolol	C1CC2=C(C=CC(=C2)F)OC1C(CNCC(C3CCC4=C(O3)C=CC(=C4)F)O)O
KPBZROQVTHLCDU-UHFFFAOYSA-N	Clevidipine	CCCC(=O)OCOC(=O)C1=C(NC(=C(C1C2=C(C(=CC=C2)Cl)Cl)C(=O)OC)C)C
KQKPFRSPSRPDEB-UHFFFAOYSA-N	sumatriptan	CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1
KRMDCWKBEZIMAB-UHFFFAOYSA-N	amitriptyline	CN(C)CCC=C1c2ccccc2CCc3ccccc13
KSMAGQUYOIHWFS-UHFFFAOYSA-N	Lofexidine	CC(C1=NCCN1)OC2=C(C=CC=C2Cl)Cl
KTEIFNKAUNYNJU-GFCCVEGCSA-N	Crizotinib	C[C@@H](Oc1cc(cnc1N)c2cnn(c2)C3CCNCC3)c4c(Cl)ccc(F)c4Cl
KTEXNACQROZXEV-SLXBATTESA-N	parthenolide	C\C\1=C/CC[C@@]2(C)O[C@H]2[C@H]3OC(=O)C(=C)[C@@H]3CC1
KUCQYCKVKVOKAY-CTYIDZIISA-N	Atovaquone	OC1=C([C@@H]2CC[C@H](CC2)c3ccc(Cl)cc3)C(=O)c4ccccc4C1=O
KUFRQPKVAWMTJO-LMZWQJSESA-N	alvespimycin	CO[C@H]1C[C@H](C)CC2=C(NCCN(C)C)C(=O)C=C(NC(=O)\C(=C\C=C/[C@H](OC)[C@@H](OC(=O)N)\C(=C\[C@H](C)[C@H]1O)\C)\C)C2=O
KUVIULQEHSCUHY-XYWKZLDCSA-N	beclometasone	CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]12C
KVJXBPDAXMEYOA-CXANFOAXSA-N	Trilostane	CC12CCC3C(C1CCC2O)CCC45C3(CC(=C(C4O5)O)C#N)C
KVWDHTXUZHCGIO-UHFFFAOYSA-N	Olanzapine	CN1CCN(CC1)C2=Nc3ccccc3Nc4sc(C)cc24
KWTSXDURSIMDCE-QMMMGPOBSA-N	dextroamphetamine	C[C@H](N)Cc1ccccc1
KWTSXDURSIMDCE-UHFFFAOYSA-N	AMPHETAMINE	CC(N)Cc1ccccc1
KWTWDQCKEHXFFR-SMDDNHRTSA-N	Tapentadol	CCC(C1=CC(=CC=C1)O)C(C)CN(C)C
KXDROGADUISDGY-UHFFFAOYSA-N	benzamil	N\C(=N/C(=O)c1nc(Cl)c(N)nc1N)\NCc2ccccc2
KXNPVXPOPUZYGB-XYVMCAHJSA-N	ZINC03807172	C[C@@H]1CCN([C@H](C1)C(=O)[O-])C(=O)[C@@H](NS(=O)(=O)c1cccc2c1NC[C@@H](C2)C)CCCNC(=[NH2+])N
KYRVNWMVYQXFEU-UHFFFAOYSA-N	nocodazole	COC(=O)Nc1nc2ccc(cc2[nH]1)C(=O)c3cccs3
LEZWWPYKPKIXLL-UHFFFAOYSA-N	econazole	Clc1ccc(COC(Cn2ccnc2)c3ccc(Cl)cc3Cl)cc1
LFQSCWFLJHTTHZ-UHFFFAOYSA-N	ethanol	CCO
