GeneIndex	SideEffectIndex	Target	UMLS_CUI	SE_name	EF	Pvalue	Qvalue	ChiSquare	FunctionalAnnotation
1909	3827	DRD1	C0686347	Tardive dyskinesia	4.29	5.7e-16	2.9e-12	65.5	Antagonist
1909	122	DRD1	C0392156	Akathisia	3.77	1.2e-22	1.1e-18	95.9	Binding
1909	2974	DRD1	C0242422	Parkinsonism	4.38	2.8e-15	1.4e-11	62.4	Antagonist
1909	1907	DRD1	C0020443	Hypercholesterolaemia	6.11	5.2e-26	5e-22	111.3	Binding
1909	993	DRD1	C0010038	Corneal opacity	5.45	3.1e-10	1.5e-06	39.6	Antagonist
1909	1108	DRD1	C0011606	Dermatitis exfoliative	3.08	3.2e-08	0.00026	30.6	Binding
1909	1568	DRD1	C0235660	Galactorrhoea	3.25	1.6e-12	8.2e-09	49.9	Antagonist
1909	995	DRD1	C0423226	Corneal pigmentation	6.58	2.8e-20	2.7e-16	85.1	Binding
1909	743	DRD1	C0086543	Cataract	3.84	3e-10	2.6e-06	39.6	Binding
1909	3821	DRD1	C0039231	Tachycardia	1.79	2.2e-08	0.00018	31.3	Binding
1909	2974	DRD1	C0242422	Parkinsonism	3.98	3.4e-21	3.2e-17	89.3	Binding
1909	2536	DRD1	C0026205	Miosis	4.19	8.8e-14	7.9e-10	55.6	Binding
1909	1238	DRD1	C0393593	Dystonia	3.52	4.6e-19	4.3e-15	79.6	Binding
1909	1719	DRD1	C0018418	Gynaecomastia	2.12	1.7e-08	0.00014	31.8	Binding
1909	995	DRD1	C0423226	Corneal pigmentation	7.31	1.1e-14	5.5e-11	59.7	Antagonist
1909	1274	DRD1	C0855329	Electrocardiogram change	3.71	1.3e-14	6.6e-11	59.4	Antagonist
1909	2875	DRD1	C0020651	Orthostatic hypotension	2.29	3.2e-12	2.9e-08	48.5	Binding
1909	2008	DRD1	C0413252	Hypothermia	3.51	1.4e-18	1.3e-14	77.4	Binding
1909	2662	DRD1	C0027424	Nasal congestion	3.31	7.2e-13	3.6e-09	51.5	Antagonist
1909	3827	DRD1	C0686347	Tardive dyskinesia	3.79	5.1e-21	4.8e-17	88.5	Binding
1909	2620	DRD1	C0026961	Mydriasis	3.47	5.6e-08	0.00027	29.5	Antagonist
1909	2620	DRD1	C0026961	Mydriasis	3.16	1.4e-11	1.3e-07	45.6	Binding
1909	1238	DRD1	C0393593	Dystonia	3.97	3.1e-14	1.6e-10	57.7	Antagonist
1909	2488	DRD1	C0025345	Menstrual disorder	2.49	1.8e-10	1.5e-06	40.7	Binding
1909	1434	DRD1	C1142111	Eyelash discolouration	5.13	1e-11	5.1e-08	46.3	Antagonist
1909	1411	DRD1	C0015371	Extrapyramidal disorder	3.04	1.5e-20	1.4e-16	86.4	Binding
1909	1411	DRD1	C0015371	Extrapyramidal disorder	3.41	8.9e-16	4.5e-12	64.7	Antagonist
1909	1434	DRD1	C1142111	Eyelash discolouration	4.27	3.7e-14	3.4e-10	57.3	Binding
1909	3089	DRD1	C0162830	Photosensitivity reaction	1.98	4e-06	0.031	21.3	Binding
1909	993	DRD1	C0010038	Corneal opacity	4.37	3.5e-11	3.1e-07	43.9	Binding
1909	4219	DRD1	C0043094	Weight increased	1.95	1.4e-07	0.0012	27.7	Binding
1909	2875	DRD1	C0020651	Orthostatic hypotension	2.47	3.5e-08	0.00017	30.4	Antagonist
1909	1505	DRD1	C0016034	Fibrocystic breast disease	2.99	1e-08	8.7e-05	32.8	Binding
1909	1274	DRD1	C0855329	Electrocardiogram change	3.45	4.1e-21	3.9e-17	88.9	Binding
1909	1219	DRD1	C0013384	Dyskinesia	3.37	9.3e-12	8.2e-08	46.5	Binding
1909	830	DRD1	C0008370	Cholestasis	4.41	9.2e-08	0.00044	28.5	Antagonist
1909	2297	DRD1	C1510497	Lenticular opacities	6.27	4.4e-18	4.1e-14	75.1	Binding
1909	4219	DRD1	C0043094	Weight increased	2.31	2.7e-07	0.0013	26.4	Antagonist
1910	4028	DRD2	C0080274	Urinary retention	1.76	2.8e-06	0.022	22	Binding
1910	3597	DRD2	C0549622	Sexual dysfunction	1.67	2.7e-06	0.021	22	Binding
1910	2662	DRD2	C0027424	Nasal congestion	3.02	1.2e-24	1.2e-20	105	Binding
1910	3821	DRD2	C0039231	Tachycardia	1.83	3.8e-06	0.017	21.4	Antagonist
1910	1274	DRD2	C0855329	Electrocardiogram change	3.32	5.7e-26	5.5e-22	111.1	Binding
1910	2339	DRD2	C0154251	Lipid metabolism disorder	4.08	8.1e-14	7.3e-10	55.8	Binding
1910	1907	DRD2	C0020443	Hypercholesterolaemia	5.81	1.4e-15	7.3e-12	63.7	Antagonist
1910	1434	DRD2	C1142111	Eyelash discolouration	4.27	1e-09	5e-06	37.3	Antagonist
1910	2297	DRD2	C1510497	Lenticular opacities	5.89	2.7e-11	1.3e-07	44.4	Antagonist
1910	1274	DRD2	C0855329	Electrocardiogram change	3.36	2.4e-14	1.2e-10	58.2	Antagonist
1910	995	DRD2	C0423226	Corneal pigmentation	5.71	7.4e-11	3.7e-07	42.4	Antagonist
1910	1199	DRD2	C0043352	Dry mouth	1.81	1.9e-06	0.0086	22.7	Antagonist
1910	1719	DRD2	C0018418	Gynaecomastia	2.4	5.3e-17	4.9e-13	70.2	Binding
1910	2339	DRD2	C0154251	Lipid metabolism disorder	4.8	2.2e-09	1.1e-05	35.8	Antagonist
1910	2724	DRD2	C0027849	Neuroleptic malignant syndrome	4.39	1.6e-23	1.5e-19	99.9	Binding
1910	1411	DRD2	C0015371	Extrapyramidal disorder	3.34	6.1e-19	3.1e-15	79	Antagonist
1910	2297	DRD2	C1510497	Lenticular opacities	5.05	4e-15	3.6e-11	61.7	Binding
1910	1907	DRD2	C0020443	Hypercholesterolaemia	4.92	1.4e-21	1.4e-17	91	Binding
1910	2536	DRD2	C0026205	Miosis	5.01	1.6e-13	8.2e-10	54.4	Antagonist
1910	1568	DRD2	C0235660	Galactorrhoea	3.08	1.4e-13	6.8e-10	54.8	Antagonist
1910	1238	DRD2	C0393593	Dystonia	3.35	1e-22	9.6e-19	96.3	Binding
1910	2488	DRD2	C0025345	Menstrual disorder	2.7	2.9e-09	1.4e-05	35.2	Antagonist
1910	1268	DRD2	C0235969	Ejaculation disorder	3.99	6.8e-22	6.5e-18	92.5	Binding
1910	2620	DRD2	C0026961	Mydriasis	2.94	8.2e-13	7.4e-09	51.2	Binding
1910	1568	DRD2	C0235660	Galactorrhoea	3.23	2.8e-29	2.7e-25	126.2	Binding
1910	2875	DRD2	C0020651	Orthostatic hypotension	2.44	3.3e-20	3.1e-16	84.8	Binding
1910	1238	DRD2	C0393593	Dystonia	3.56	1.1e-13	5.7e-10	55.1	Antagonist
1910	2974	DRD2	C0242422	Parkinsonism	3.73	1.5e-24	1.5e-20	104.5	Binding
1910	159	DRD2	C0002453	Amenorrhoea	2.93	1.3e-19	1.2e-15	82.1	Binding
1910	2974	DRD2	C0242422	Parkinsonism	3.83	6.2e-14	3.1e-10	56.3	Antagonist
1910	830	DRD2	C0008370	Cholestasis	2.89	4.1e-07	0.0033	25.7	Binding
1910	4219	DRD2	C0043094	Weight increased	2.19	1e-07	0.00049	28.3	Antagonist
1910	2488	DRD2	C0025345	Menstrual disorder	2.57	1.5e-15	1.4e-11	63.7	Binding
1910	993	DRD2	C0010038	Corneal opacity	3.52	5.3e-09	4.5e-05	34.1	Binding
1910	995	DRD2	C0423226	Corneal pigmentation	5.27	8.3e-17	7.7e-13	69.3	Binding
1910	122	DRD2	C0392156	Akathisia	3.72	4e-15	2e-11	61.7	Antagonist
1910	1411	DRD2	C0015371	Extrapyramidal disorder	3.34	2e-36	1.9e-32	158.9	Binding
1910	1219	DRD2	C0013384	Dyskinesia	2.95	3.6e-11	3.2e-07	43.8	Binding
1910	2008	DRD2	C0413252	Hypothermia	3.33	1.5e-11	7.4e-08	45.6	Antagonist
1910	1505	DRD2	C0016034	Fibrocystic breast disease	3.73	1.1e-10	5.4e-07	41.7	Antagonist
1910	1505	DRD2	C0016034	Fibrocystic breast disease	3.5	9.6e-18	9e-14	73.6	Binding
1910	1434	DRD2	C1142111	Eyelash discolouration	3.48	1.3e-11	1.1e-07	45.9	Binding
1910	2008	DRD2	C0413252	Hypothermia	3.24	2e-20	1.9e-16	85.8	Binding
1910	1370	DRD2	C0242350	Erectile dysfunction	1.8	1.5e-06	0.012	23.2	Binding
1910	1719	DRD2	C0018418	Gynaecomastia	2.35	1.2e-08	5.8e-05	32.5	Antagonist
1910	1317	DRD2	C0014130	Endocrine disorder	2.24	1.1e-06	0.0052	23.7	Antagonist
1910	1930	DRD2	C0020514	Hyperprolactinaemia	4.02	1.2e-22	1.2e-18	95.9	Binding
1910	2161	DRD2	C0917801	Insomnia	1.81	5.6e-06	0.025	20.6	Antagonist
1910	3827	DRD2	C0686347	Tardive dyskinesia	3.81	4.2e-29	4e-25	125.4	Binding
1910	1930	DRD2	C0020514	Hyperprolactinaemia	4.11	7e-13	3.5e-09	51.5	Antagonist
1910	2875	DRD2	C0020651	Orthostatic hypotension	2.52	8.9e-11	4.4e-07	42	Antagonist
1910	1108	DRD2	C0011606	Dermatitis exfoliative	2.53	1.8e-06	0.014	22.8	Binding
1910	4219	DRD2	C0043094	Weight increased	2.04	9.2e-12	8.2e-08	46.5	Binding
1910	966	DRD2	C0009806	Constipation	1.48	4.3e-06	0.033	21.1	Binding
1910	1268	DRD2	C0235969	Ejaculation disorder	4.79	4.6e-16	2.3e-12	66	Antagonist
1910	1199	DRD2	C0043352	Dry mouth	1.82	8.4e-13	7.5e-09	51.2	Binding
1910	3827	DRD2	C0686347	Tardive dyskinesia	3.72	3.1e-14	1.6e-10	57.7	Antagonist
1910	993	DRD2	C0010038	Corneal opacity	4.26	2e-07	0.00097	27	Antagonist
1910	122	DRD2	C0392156	Akathisia	3.53	4.5e-26	4.4e-22	111.5	Binding
1910	743	DRD2	C0086543	Cataract	3.07	7.3e-08	6e-04	29	Binding
1910	2536	DRD2	C0026205	Miosis	3.93	5.8e-16	5.4e-12	65.5	Binding
1910	1108	DRD2	C0011606	Dermatitis exfoliative	3.21	5e-06	0.023	20.8	Antagonist
1910	4166	DRD2	C0344232	Vision blurred	1.62	6.6e-07	0.0053	24.7	Binding
1910	1317	DRD2	C0014130	Endocrine disorder	2.3	3.1e-13	2.8e-09	53.2	Binding
1910	2724	DRD2	C0027849	Neuroleptic malignant syndrome	4.67	1.4e-13	7.1e-10	54.7	Antagonist
1910	3821	DRD2	C0039231	Tachycardia	1.89	9.7e-14	8.8e-10	55.4	Binding
1910	972	DRD2	C0036572	Convulsion	1.6	5.2e-07	0.0042	25.2	Binding
1910	159	DRD2	C0002453	Amenorrhoea	3.15	1.6e-12	7.8e-09	50	Antagonist
1910	2662	DRD2	C0027424	Nasal congestion	2.9	2.4e-11	1.2e-07	44.6	Antagonist
1910	2161	DRD2	C0917801	Insomnia	1.9	3.4e-14	3.1e-10	57.5	Binding
1910	2620	DRD2	C0026961	Mydriasis	3.16	6.6e-08	0.00032	29.2	Antagonist
1911	159	DRD3	C0002453	Amenorrhoea	3.17	3e-06	0.014	21.8	Antagonist
1911	2662	DRD3	C0027424	Nasal congestion	2.79	2.5e-10	2.1e-06	40.1	Binding
1911	122	DRD3	C0392156	Akathisia	4.09	4.1e-09	2e-05	34.6	Antagonist
1911	1930	DRD3	C0020514	Hyperprolactinaemia	4.32	5.8e-07	0.0027	25	Antagonist
1911	1930	DRD3	C0020514	Hyperprolactinaemia	4.12	2.2e-12	2e-08	49.3	Binding
1911	2974	DRD3	C0242422	Parkinsonism	3.52	5.4e-11	4.7e-07	43	Binding
1911	1238	DRD3	C0393593	Dystonia	3.53	1.5e-06	0.0071	23.1	Antagonist
1911	4219	DRD3	C0043094	Weight increased	2	5.4e-06	0.042	20.7	Binding
1911	1411	DRD3	C0015371	Extrapyramidal disorder	3.45	7.5e-10	3.7e-06	37.9	Antagonist
1911	2008	DRD3	C0413252	Hypothermia	3.02	7.8e-09	6.6e-05	33.3	Binding
1911	1719	DRD3	C0018418	Gynaecomastia	2.18	9.1e-07	0.0073	24.1	Binding
1911	2724	DRD3	C0027849	Neuroleptic malignant syndrome	4.28	2.1e-11	1.8e-07	44.9	Binding
1911	3827	DRD3	C0686347	Tardive dyskinesia	4.09	1.4e-08	6.6e-05	32.2	Antagonist
1911	2875	DRD3	C0020651	Orthostatic hypotension	2.59	7.3e-06	0.033	20.1	Antagonist
1911	1568	DRD3	C0235660	Galactorrhoea	3.05	1.7e-06	0.0078	22.9	Antagonist
1911	3827	DRD3	C0686347	Tardive dyskinesia	3.88	1.3e-15	1.2e-11	63.9	Binding
1911	2488	DRD3	C0025345	Menstrual disorder	2.84	6.1e-11	5.3e-07	42.8	Binding
1911	1411	DRD3	C0015371	Extrapyramidal disorder	3.17	2.9e-16	2.7e-12	66.9	Binding
1911	2875	DRD3	C0020651	Orthostatic hypotension	2.44	1.1e-10	9.7e-07	41.6	Binding
1911	1568	DRD3	C0235660	Galactorrhoea	2.77	6.9e-10	5.9e-06	38.1	Binding
1911	122	DRD3	C0392156	Akathisia	3.99	2.6e-18	2.4e-14	76.2	Binding
1911	1268	DRD3	C0235969	Ejaculation disorder	3.24	8.3e-07	0.0066	24.3	Binding
1911	1219	DRD3	C0013384	Dyskinesia	4.73	5.4e-19	5.1e-15	79.3	Binding
1911	159	DRD3	C0002453	Amenorrhoea	2.98	9.4e-11	8.2e-07	41.9	Binding
1911	1238	DRD3	C0393593	Dystonia	3.64	1.5e-14	1.3e-10	59.1	Binding
1911	1274	DRD3	C0855329	Electrocardiogram change	3.18	5.3e-12	4.7e-08	47.6	Binding
1911	2488	DRD3	C0025345	Menstrual disorder	3.15	7.6e-07	0.0036	24.5	Antagonist
1912	2339	DRD4	C0154251	Lipid metabolism disorder	3.89	4.8e-06	0.038	20.9	Binding
1912	1274	DRD4	C0855329	Electrocardiogram change	3.54	9.9e-15	9.1e-11	59.9	Binding
1912	2662	DRD4	C0027424	Nasal congestion	3.35	1.1e-15	9.9e-12	64.3	Binding
1912	1907	DRD4	C0020443	Hypercholesterolaemia	4.26	2.1e-07	0.0017	26.9	Binding
1912	3827	DRD4	C0686347	Tardive dyskinesia	4.13	3.5e-08	0.00017	30.4	Antagonist
1912	3827	DRD4	C0686347	Tardive dyskinesia	3.92	6.7e-15	6.2e-11	60.7	Binding
1912	2724	DRD4	C0027849	Neuroleptic malignant syndrome	3.9	1.7e-08	0.00014	31.8	Binding
1912	1930	DRD4	C0020514	Hyperprolactinaemia	3.24	1.9e-06	0.015	22.7	Binding
1912	159	DRD4	C0002453	Amenorrhoea	2.83	9.9e-09	8.4e-05	32.9	Binding
1912	2488	DRD4	C0025345	Menstrual disorder	2.66	1.8e-08	0.00015	31.7	Binding
1912	2488	DRD4	C0025345	Menstrual disorder	3.03	8.1e-06	0.037	19.9	Antagonist
1912	2875	DRD4	C0020651	Orthostatic hypotension	2.32	1.4e-08	0.00012	32.1	Binding
1912	1219	DRD4	C0013384	Dyskinesia	4.38	1.1e-14	1e-10	59.7	Binding
1912	1411	DRD4	C0015371	Extrapyramidal disorder	2.98	8.8e-13	7.9e-09	51.1	Binding
1912	2620	DRD4	C0026961	Mydriasis	3.1	2.5e-07	0.002	26.6	Binding
1912	1411	DRD4	C0015371	Extrapyramidal disorder	3.25	6.8e-08	0.00033	29.1	Antagonist
1912	122	DRD4	C0392156	Akathisia	4.43	3.5e-10	1.7e-06	39.4	Antagonist
1912	122	DRD4	C0392156	Akathisia	4.07	8.3e-18	7.7e-14	73.9	Binding
1912	2662	DRD4	C0027424	Nasal congestion	3.17	1.4e-06	0.0065	23.3	Antagonist
1912	1268	DRD4	C0235969	Ejaculation disorder	3.5	1.2e-07	0.00096	28.1	Binding
1912	1568	DRD4	C0235660	Galactorrhoea	2.56	1.8e-07	0.0015	27.2	Binding
1912	1238	DRD4	C0393593	Dystonia	3.56	7.7e-13	6.9e-09	51.3	Binding
1912	2974	DRD4	C0242422	Parkinsonism	3.81	2.2e-12	1.9e-08	49.3	Binding
1912	1238	DRD4	C0393593	Dystonia	3.55	3.5e-06	0.016	21.5	Antagonist
1912	2008	DRD4	C0413252	Hypothermia	3.26	4.8e-10	4.1e-06	38.8	Binding
1912	1274	DRD4	C0855329	Electrocardiogram change	3.34	2.2e-06	0.01	22.4	Antagonist
1913	2974	DRD5	C0242422	Parkinsonism	3.9	5.4e-09	4.5e-05	34.1	Binding
1913	1411	DRD5	C0015371	Extrapyramidal disorder	2.7	9.2e-07	0.0073	24.1	Binding
1913	2662	DRD5	C0027424	Nasal congestion	3.03	2.7e-08	0.00022	30.9	Binding
1913	3827	DRD5	C0686347	Tardive dyskinesia	4.49	5.7e-14	5.2e-10	56.5	Binding
1913	1238	DRD5	C0393593	Dystonia	3.52	1.5e-08	0.00013	32	Binding
1913	159	DRD5	C0002453	Amenorrhoea	2.95	9.9e-07	0.0078	24	Binding
1913	2724	DRD5	C0027849	Neuroleptic malignant syndrome	4.41	9.8e-08	8e-04	28.4	Binding
1913	122	DRD5	C0392156	Akathisia	5.12	2e-09	9.8e-06	36	Antagonist
1913	3827	DRD5	C0686347	Tardive dyskinesia	5.01	2e-08	9.4e-05	31.5	Antagonist
1913	122	DRD5	C0392156	Akathisia	4.65	1.4e-16	1.3e-12	68.4	Binding
1913	1568	DRD5	C0235660	Galactorrhoea	2.96	1.1e-07	0.00093	28.1	Binding
1913	1274	DRD5	C0855329	Electrocardiogram change	4.12	4.6e-07	0.0022	25.4	Antagonist
1913	2008	DRD5	C0413252	Hypothermia	3.4	1e-07	0.00084	28.3	Binding
1913	1219	DRD5	C0013384	Dyskinesia	4.13	1.1e-08	9.2e-05	32.7	Binding
1913	1274	DRD5	C0855329	Electrocardiogram change	3.92	5.8e-13	5.2e-09	51.9	Binding
2032	1065	EGFR	C0232462	Decreased appetite	4.79	2.6e-07	0.0021	26.5	Binding
2180	1096	ESR1	C0011570	Depression	3.96	1.8e-24	1.7e-20	104.2	Binding
2180	46	ESR1	C0702166	Acne	10.99	1.4e-19	1.3e-16	81.9	Agonist
2180	2488	ESR1	C0025345	Menstrual disorder	9.14	9.7e-21	8.7e-18	87.2	Agonist
2180	1096	ESR1	C0011570	Depression	3.86	2.1e-09	1.8e-06	35.9	Agonist
2180	4050	ESR1	C0042109	Urticaria	4.08	2.1e-18	2e-14	76.6	Binding
2180	1505	ESR1	C0016034	Fibrocystic breast disease	8.31	2.1e-35	2.1e-31	154.2	Binding
2180	818	ESR1	C0025218	Chloasma	55.17	0	0	1546.6	Binding
2180	2793	ESR1	C0013604	Oedema	2.74	1e-08	8.8e-05	32.8	Binding
2180	4065	ESR1	C0235883	Uterine inflammation	29.53	1.9e-68	1.7e-65	305.7	Agonist
2180	1814	ESR1	C0086565	Hepatic function abnormal	7.29	1.6e-26	1.5e-22	113.6	Binding
2180	1321	ESR1	C0014173	Endometrial hyperplasia	91.66	0	0	1798.7	Binding
2180	1719	ESR1	C0018418	Gynaecomastia	13.58	1.4e-37	1.2e-34	164.2	Agonist
2180	2518	ESR1	C0025874	Metrorrhagia	29.86	4.6e-87	4.5e-83	391.2	Binding
2180	4219	ESR1	C0043094	Weight increased	4.54	1.5e-10	7.6e-07	41	Antagonist
2180	4050	ESR1	C0042109	Urticaria	4.35	1.3e-07	0.00063	27.8	Antagonist
2180	2220	ESR1	C0022346	Jaundice	3.12	6.4e-12	5.6e-08	47.2	Binding
2180	1901	ESR1	C0020437	Hypercalcaemia	16.02	1.2e-78	1.2e-74	352.5	Binding
2180	1301	ESR1	C0549124	Embolism arterial	10.47	2e-18	1.9e-14	76.7	Binding
2180	1297	ESR1	C0342579	Electrolyte imbalance	4.36	7.6e-13	6.8e-09	51.4	Binding
2180	2220	ESR1	C0022346	Jaundice	4.15	2.9e-08	2.4e-05	30.8	Agonist
2180	2793	ESR1	C0013604	Oedema	3.41	7.2e-06	0.0054	20.1	Agonist
2180	1365	ESR1	C0151628	Epiphyses premature fusion	43.69	3.5e-211	3.5e-207	961.8	Binding
2180	561	ESR1	C0151539	Blood urea increased	21.05	1.1e-97	1.1e-93	440	Binding
2180	633	ESR1	C0024902	Breast pain	27.53	2.8e-102	2.8e-98	461.1	Binding
2180	1379	ESR1	C0014742	Erythema multiforme	7.9	5.6e-32	5.4e-28	138.5	Binding
2180	3170	ESR1	C0853026	Porphyria non-acute	57.05	3.8e-230	3.8e-226	1049.1	Binding
2180	4065	ESR1	C0235883	Uterine inflammation	42.96	4.2e-261	4.2e-257	1191.5	Binding
2180	46	ESR1	C0702166	Acne	10.77	1.2e-32	1.2e-28	141.5	Binding
2180	1319	ESR1	C0476089	Endometrial cancer	97.33	0	0	1625.7	Binding
2180	2488	ESR1	C0025345	Menstrual disorder	4.43	7.2e-18	6.7e-14	74.2	Binding
2180	4219	ESR1	C0043094	Weight increased	9.29	3.1e-34	2.8e-31	148.9	Agonist
2180	818	ESR1	C0025218	Chloasma	35.74	1.7e-83	1.6e-80	374.8	Agonist
2180	2693	ESR1	C0027651	Neoplasm	18.91	1.9e-68	1.9e-64	305.6	Binding
2180	4219	ESR1	C0043094	Weight increased	4.81	2.1e-35	2e-31	154.2	Binding
2180	1719	ESR1	C0018418	Gynaecomastia	4.23	1.3e-21	1.2e-17	91.3	Binding
2180	1505	ESR1	C0016034	Fibrocystic breast disease	23.94	4.2e-50	3.8e-47	221.5	Agonist
2180	1096	ESR1	C0011570	Depression	4.18	2e-09	9.9e-06	36	Antagonist
2180	582	ESR1	C0005940	Bone disorder	23.41	1.9e-95	1.8e-91	429.7	Binding
2180	4050	ESR1	C0042109	Urticaria	4.67	2.1e-08	1.7e-05	31.4	Agonist
2181	4219	ESR2	C0043094	Weight increased	7.88	2.2e-13	1.9e-10	53.8	Agonist
2181	1096	ESR2	C0011570	Depression	4.86	3.1e-12	1.5e-08	48.7	Antagonist
2181	1379	ESR2	C0014742	Erythema multiforme	7.97	1.3e-25	1.3e-21	109.4	Binding
2181	2793	ESR2	C0013604	Oedema	2.7	8.5e-07	0.0068	24.2	Binding
2181	1719	ESR2	C0018418	Gynaecomastia	3.83	6.3e-06	0.029	20.4	Antagonist
2181	1365	ESR2	C0151628	Epiphyses premature fusion	46.39	6.7e-186	6.7e-182	845.6	Binding
2181	1719	ESR2	C0018418	Gynaecomastia	4.12	5.1e-16	4.7e-12	65.8	Binding
2181	3170	ESR2	C0853026	Porphyria non-acute	50.89	1.4e-140	1.3e-136	637.2	Binding
2181	4219	ESR2	C0043094	Weight increased	4.24	1.3e-20	1.3e-16	86.6	Binding
2181	1814	ESR2	C0086565	Hepatic function abnormal	7.17	3.7e-20	3.5e-16	84.6	Binding
2181	818	ESR2	C0025218	Chloasma	53.89	7.1e-251	7.1e-247	1144.5	Binding
2181	1297	ESR2	C0342579	Electrolyte imbalance	4.76	1.5e-12	1.3e-08	50.1	Binding
2181	2693	ESR2	C0027651	Neoplasm	16.49	8.1e-40	7.9e-36	174.4	Binding
2181	2220	ESR2	C0022346	Jaundice	3.15	7.4e-10	6.4e-06	37.9	Binding
2181	633	ESR2	C0024902	Breast pain	20.31	8e-42	7.9e-38	183.6	Binding
2181	4219	ESR2	C0043094	Weight increased	4.65	3e-10	1.5e-06	39.6	Antagonist
2181	1096	ESR2	C0011570	Depression	4.2	9.5e-07	0.00074	24	Agonist
2181	2488	ESR2	C0025345	Menstrual disorder	4.48	1.5e-14	1.4e-10	59.1	Binding
2181	46	ESR2	C0702166	Acne	8.88	8e-17	7.4e-13	69.4	Binding
2181	582	ESR2	C0005940	Bone disorder	24.15	2.9e-79	2.9e-75	355.3	Binding
2181	2518	ESR2	C0025874	Metrorrhagia	27.9	2e-58	2e-54	259.7	Binding
2181	561	ESR2	C0151539	Blood urea increased	21.24	1.6e-77	1.6e-73	347.4	Binding
2181	4050	ESR2	C0042109	Urticaria	4.35	4.9e-07	0.0023	25.3	Antagonist
2181	1096	ESR2	C0011570	Depression	4.21	1.6e-22	1.5e-18	95.4	Binding
2181	2488	ESR2	C0025345	Menstrual disorder	5.06	8e-08	0.00038	28.8	Antagonist
2181	4050	ESR2	C0042109	Urticaria	3.82	1.8e-12	1.6e-08	49.7	Binding
2181	4065	ESR2	C0235883	Uterine inflammation	40.14	1.2e-176	1.2e-172	803	Binding
2181	1319	ESR2	C0476089	Endometrial cancer	89.57	3.2e-231	3.2e-227	1054	Binding
2181	1321	ESR2	C0014173	Endometrial hyperplasia	88.98	1.7e-286	1.7e-282	1308.3	Binding
2181	1901	ESR2	C0020437	Hypercalcaemia	16.49	2.9e-65	2.9e-61	291.1	Binding
2181	1505	ESR2	C0016034	Fibrocystic breast disease	8.05	6.8e-26	6.5e-22	110.7	Binding
2489	354	GABRA1	C0004134	Ataxia	2.97	4.9e-09	4.1e-06	34.2	Agonist
2489	1573	GABRA1	C0017086	Gangrene	5.51	3.6e-11	3.1e-07	43.8	Binding
2489	1108	GABRA1	C0011606	Dermatitis exfoliative	3.13	1.9e-06	0.015	22.7	Binding
2489	3444	GABRA1	C0035204	Respiratory disorder	2.3	4.6e-06	0.035	21	Binding
2489	830	GABRA1	C0008370	Cholestasis	3.48	2.1e-06	0.017	22.5	Binding
2489	268	GABRA1	C0003578	Apnoea	3.39	9.9e-11	8.6e-07	41.8	Binding
2489	115	GABRA1	C0085631	Agitation	2.63	1.2e-14	1.1e-10	59.5	Binding
2489	354	GABRA1	C0004134	Ataxia	3.73	1.6e-35	1.5e-31	154.8	Binding
2489	115	GABRA1	C0085631	Agitation	2.56	3.9e-05	0.027	16.9	Agonist
2489	2769	GABRA1	C0028738	Nystagmus	4.84	6.5e-17	6.1e-13	69.8	Binding
2489	2211	GABRA1	C0022107	Irritability	3.28	5.3e-08	0.00044	29.6	Binding
2489	3442	GABRA1	C0235063	Respiratory depression	3.34	5.8e-08	4.7e-05	29.4	Agonist
2489	162	GABRA1	C0002622	Amnesia	6.37	2e-20	1.9e-16	85.8	Binding
2489	2066	GABRA1	C0021167	Incontinence	6.41	1.7e-12	1.5e-08	49.8	Binding
2489	3693	GABRA1	C2830004	Somnolence	1.72	7.8e-08	0.00064	28.8	Binding
2489	1091	GABRA1	C0439857	Dependence	5.25	2.6e-30	2.5e-26	130.9	Binding
2489	2287	GABRA1	C0023066	Laryngospasm	8.05	7.7e-37	7.5e-33	160.8	Binding
2489	3869	GABRA1	C0040046	Thrombophlebitis	3.81	2.7e-07	0.0022	26.5	Binding
2489	2002	GABRA1	C3203356	Hypoprothrombinaemia	5.34	2.6e-12	2.3e-08	49	Binding
2489	4028	GABRA1	C0080274	Urinary retention	2.55	4.6e-12	4e-08	47.9	Binding
2489	927	GABRA1	C0009676	Confusional state	2.9	1.1e-24	1e-20	105.3	Binding
2489	1379	GABRA1	C0014742	Erythema multiforme	3.28	2.2e-08	0.00018	31.3	Binding
2489	2315	GABRA1	C0854382	Libido disorder	4.17	5.8e-26	5.6e-22	111	Binding
2489	3697	GABRA1	C0037822	Speech disorder	4.06	2e-06	0.016	22.5	Binding
2489	3522	GABRA1	C0036093	Salivary gland disorder	10.42	2.2e-18	2.1e-14	76.5	Binding
2489	3442	GABRA1	C0235063	Respiratory depression	5.24	5.2e-37	5e-33	161.6	Binding
2489	2315	GABRA1	C0854382	Libido disorder	4.02	7.9e-07	0.0037	24.4	Antagonist
2489	1536	GABRA1	C0016412	Folate deficiency	10.7	9.7e-25	9.3e-21	105.4	Binding
2489	2220	GABRA1	C0022346	Jaundice	2.09	2.6e-07	0.0021	26.5	Binding
2489	1859	GABRA1	C0019521	Hiccups	4.3	4.9e-12	4.3e-08	47.7	Binding
2489	2007	GABRA1	C0020649	Hypotension	1.8	8.5e-08	7e-04	28.7	Binding
