Index	UMLS_CUI	SE_name
840	C0008497	Choriocarcinoma
841	C0008513	Chorioretinitis
842	C0339383	Chorioretinopathy
843	C0162279	Choroidal detachment
844	C0339434	Choroidal effusion
845	C0008526	Choroiditis
846	C0474381	Chromatopsia
847	C0541832	Chromaturia
848	C0948447	Chromosomal mutation
849	C0403592	Chronic allograft nephropathy
850	C0346421	Chronic eosinophilic leukaemia
851	C0015674	Chronic fatigue syndrome
852	C0867389	Chronic graft versus host disease
853	C0400930	Chronic hepatic failure
854	C0019189	Chronic hepatitis
855	C0524909	Chronic hepatitis B
856	C1279296	Chronic leukaemia
857	C0023434	Chronic lymphocytic leukaemia
858	C0023473	Chronic myeloid leukaemia
859	C0023480	Chronic myelomonocytic leukaemia
860	C0024117	Chronic obstructive pulmonary disease
861	C0149516	Chronic sinusitis
862	C0333604	Chrysiasis
863	C0008733	Chylothorax
864	C0235229	Ciliary muscle spasm
865	C0151555	Cinchonism
866	C0877792	Circadian rhythm sleep disorder
867	C0239062	Circumoral oedema
868	C0023891	Cirrhosis alcoholic
869	C0948342	Citrate toxicity
870	C0008909	Claustrophobia
871	C0159658	Clavicle fracture
872	C0008924	Cleft lip
873	C0008925	Cleft palate
874	C0233976	Clitoral engorgement
875	C0345217	Cloacal exstrophy
876	C0234535	Clonic convulsion
877	C0009024	Clonus
878	C0009062	Clostridial infection
879	C1142300	Clostridium colitis
880	C0238106	Clostridium difficile colitis
881	C0149651	Clubbing
882	C0233844	Clumsiness
883	C0009088	Cluster headache
884	C0272315	Coagulation factor decreased
885	C1504379	Coagulation test abnormal
886	C0151563	Coagulation time prolonged
887	C0005779	Coagulopathy
888	C0003492	Coarctation of the aorta
889	C0009193	Coccydynia
890	C0009241	Cognitive disorder
891	C0151564	Cogwheel rigidity
892	C1610622	Coital bleeding
893	C0232431	Cold sweat
894	C0009319	Colitis
895	C0162529	Colitis ischaemic
896	C0400821	Colitis microscopic
897	C0009324	Colitis ulcerative
898	C0262428	Collagen-vascular disease
899	C0009326	Collagen disorder
900	C0007102	Colon cancer
901	C0742545	Colonic abscess
902	C0009377	Colonic pseudo-obstruction
903	C1527249	Colorectal cancer
904	C0948380	Colorectal cancer metastatic
905	C0242225	Colour blindness
906	C0155018	Colour blindness acquired
907	C1442998	Colpocele
908	C0009421	Coma
909	C0019147	Coma hepatic
910	C0206171	Community acquired infection
911	C0009492	Compartment syndrome
912	C0852733	Completed suicide
913	C0149958	Complex partial seizures
914	C0458219	Complex regional pain syndrome
915	C0852962	Complication of delivery
916	C1608942	Complication of device insertion
917	C0032962	Complication of pregnancy
918	C0854567	Complications of transplant surgery
919	C0521169	Compression fracture
920	C0600104	Compulsions
921	C2242574	Compulsive sexual behaviour
922	C2242575	Compulsive shopping
923	C0006107	Concussion
924	C0235874	Condition aggravated
925	C0264886	Conduction disorder
926	C1319200	Confusion postoperative
927	C0009676	Confusional state
928	C0266241	Congenital absence of bile ducts
929	C0000768	Congenital anomaly
930	C0265935	Congenital arterial malformation
931	C0151490	Congenital central nervous system anomaly
932	C0311245	Congenital cystic kidney disease
933	C0235833	Congenital diaphragmatic hernia
934	C0015393	Congenital eye disorder
935	C0016508	Congenital foot malformation
936	C0221032	Congenital generalised lipodystrophy
937	C0158687	Congenital genital malformation
938	C0042063	Congenital genitourinary abnormality
939	C0266316	Congenital hydronephrosis
940	C0010308	Congenital hypothyroidism
941	C0521546	Congenital joint malformation
942	C0685341	Congenital limb hyperextension
943	C0019569	Congenital megacolon
944	C0151491	Congenital musculoskeletal anomaly
945	C0026633	Congenital oral malformation
946	C0268800	Congenital renal cyst
947	C0037268	Congenital skin disorder
948	C0521554	Congenital vesicoureteric reflux
949	C0007193	Congestive cardiomyopathy
950	C0041428	Conjoined twins
951	C0948282	Conjunctival bleb
952	C0155170	Conjunctival cyst
953	C0009759	Conjunctival disorder
954	C0860499	Conjunctival follicles
955	C0009760	Conjunctival haemorrhage
956	C1761613	Conjunctival hyperaemia
957	C0239093	Conjunctival irritation
958	C0151601	Conjunctival oedema
959	C0151964	Conjunctival ulcer
960	C0009763	Conjunctivitis
961	C0009766	Conjunctivitis allergic
962	C0009768	Conjunctivitis bacterial
963	C0497209	Conjunctivitis infective
964	C0009782	Connective tissue disorder
965	C1112341	Connective tissue inflammation
966	C0009806	Constipation
967	C0221717	Contact lens intolerance
968	C0268854	Contracted bladder
969	C0853800	Contrast media reaction
970	C0009938	Contusion
971	C0009946	Conversion disorder
972	C0036572	Convulsion
973	C0159020	Convulsion neonatal
974	C0151569	Coombs direct test positive
975	C0520736	Coombs positive haemolytic anaemia
976	C0239113	Coombs test positive
977	C0520966	Coordination abnormal
978	C0268070	Copper deficiency
979	C0034072	Cor pulmonale
980	C0010032	Corneal abrasion
981	C0948284	Corneal decompensation
982	C0948085	Corneal defect
983	C0155118	Corneal degeneration
984	C0162281	Corneal deposits
985	C0010034	Corneal disorder
986	C0010036	Corneal dystrophy
987	C0854114	Corneal epithelium defect
988	C0392163	Corneal erosion
989	C0853336	Corneal infiltrates
990	C1112489	Corneal irritation
991	C0151571	Corneal lesion
992	C0010037	Corneal oedema
993	C0010038	Corneal opacity
994	C0339293	Corneal perforation
995	C0423226	Corneal pigmentation
996	C0349702	Corneal scar
997	C1096274	Corneal thinning
998	C1956346	Coronary artery disease
999	C0542052	Coronary artery insufficiency
1000	C0151814	Coronary artery occlusion
1001	C0242231	Coronary artery stenosis
1002	C0010072	Coronary artery thrombosis
1003	C0040213	Costochondritis
1004	C0235634	Costovertebral angle tenderness
1005	C0010200	Cough
1006	C0151574	Cough decreased
1007	C0010266	Cranial nerve disorder
1008	C0151311	Cranial nerve paralysis
1009	C0010278	Craniosynostosis
1010	C0151577	Creatinine renal clearance decreased
1011	C0010346	Crohn's disease
1012	C0853811	Croup infectious
1013	C0010399	Crying
1014	C1096256	Cryptococcal cutaneous infection
1015	C0010414	Cryptococcosis
1016	C0010417	Cryptorchism
1017	C0010418	Cryptosporidiosis infection
1018	C0948002	Crystal urine present
1019	C0151579	Crystalluria
1020	C0855652	Culture negative
1021	C0010481	Cushing's syndrome
1022	C0332601	Cushingoid
1023	C0024137	Cutaneous lupus erythematosus
1024	C0036203	Cutaneous sarcoidosis
1025	C0262988	Cutaneous vasculitis
1026	C0010495	Cutis laxa
1027	C0854725	Cyanopsia
1028	C0010520	Cyanosis
1029	C0235238	Cycloplegia
1030	C0010598	Cyclothymic disorder
1031	C0010709	Cyst
1032	C0010692	Cystitis
1033	C0085692	Cystitis haemorrhagic
1034	C0282488	Cystitis interstitial
1035	C0403632	Cystitis noninfective
1036	C1697438	Cystitis viral
1037	C0010695	Cystocele
1038	C0024440	Cystoid macular oedema
1039	C1963775	Cytarabine syndrome
1040	C0008626	Cytogenetic abnormality
1041	C0948245	Cytokine release syndrome
1042	C0877072	Cytomegalovirus chorioretinitis
1043	C0341335	Cytomegalovirus colitis
1044	C0877117	Cytomegalovirus gastritis
1045	C0276252	Cytomegalovirus hepatitis
1046	C0010823	Cytomegalovirus infection
1047	C1112469	Cytomegalovirus syndrome
1048	C0877635	Cytomegalovirus viraemia
1049	C1868998	Cytotoxic oedema
1050	C0852970	Dacryoadenitis acquired
1051	C0423172	Dacryocanaliculitis
1052	C0010930	Dacryocystitis
1053	C1096185	Dacryostenosis acquired
1054	C0239161	Dactylitis
1055	C0221244	Dandruff
1056	C1608399	Dark circles under eyes
1057	C0011053	Deafness
1058	C3665473	Deafness bilateral
1059	C0018784	Deafness neurosensory
1060	C0151585	Deafness permanent
1061	C0151588	Deafness transitory
1062	C2607947	Deafness unilateral
1063	C1306577	Death
1064	C0410916	Death neonatal
1065	C0232462	Decreased appetite
1066	C0863087	Decreased immune responsiveness
1067	C0424091	Decreased interest
1068	C1295585	Decreased vibratory sense
1069	C0011127	Decubitus ulcer
1070	C0149871	Deep vein thrombosis
1071	C0426636	Defaecation urgency
1072	C0264909	Defect conduction intraventricular
1073	C0041782	Deficiency anaemia
1074	C3203690	Deficiency of bile secretion
1075	C0011175	Dehydration
1076	C0235863	Delayed delivery
1077	C0034012	Delayed puberty
1078	C0520757	Delayed recovery from anaesthesia
1079	C0011206	Delirium
1080	C0001957	Delirium tremens
1081	C0011253	Delusion
1082	C0424024	Delusional perception
1083	C0497327	Dementia
1084	C0002395	Dementia Alzheimer's type
1085	C0752347	Dementia with Lewy bodies
1086	C0270922	Demyelinating polyneuropathy
1087	C0011304	Demyelination
1088	C0011334	Dental caries
1089	C1096257	Dental discomfort
1090	C0155947	Dentofacial anomaly
1091	C0439857	Dependence
1092	C0011551	Depersonalisation
1093	C0541865	Deposit eye
1094	C0549249	Depressed level of consciousness
1095	C0344315	Depressed mood
1096	C0011570	Depression
1097	C0221745	Depression suicidal
1098	C0086132	Depressive symptom
1099	C0233754	Derealisation
1100	C0241060	Dermal cyst
1101	C1696701	Dermatillomania
1102	C0011603	Dermatitis
1103	C0234894	Dermatitis acneiform
1104	C0011615	Dermatitis atopic
1105	C0085932	Dermatitis bullous
1106	C0011616	Dermatitis contact
1107	C0011974	Dermatitis diaper
1108	C0011606	Dermatitis exfoliative
1109	C1323189	Dermatitis infected
1110	C0262985	Dermatitis psoriasiform
1111	C0011633	Dermatomyositis
1112	C0011636	Dermatophytosis
1113	C0011649	Dermoid cyst
1114	C0948862	Detachment of retinal pigment epithelium
1115	C0011757	Developmental coordination disorder
1116	C0424605	Developmental delay
1117	C0020302	Developmental glaucoma
1118	C0019555	Developmental hip dysplasia
1119	C0853959	Device breakage
1120	C2747891	Device capturing issue
1121	C1608950	Device dislocation
1122	C0549478	Device expulsion
1123	C0853893	Device interaction
1124	C1504465	Device malfunction
1125	C1608397	Device occlusion
1126	C1619702	Device related infection
1127	C2747852	Device related sepsis
1128	C0011848	Diabetes insipidus
1129	C0011849	Diabetes mellitus
1130	C0860160	Diabetes mellitus inadequate control
1131	C0271686	Diabetic autonomic neuropathy
1132	C1263960	Diabetic coma
1133	C0342257	Diabetic complication
1134	C0744130	Diabetic foot infection
1135	C0853011	Diabetic hyperglycaemic coma
1136	C0020457	Diabetic hyperosmolar coma
1137	C0011880	Diabetic ketoacidosis
1138	C0011881	Diabetic nephropathy
1139	C0011882	Diabetic neuropathy
1140	C0011884	Diabetic retinopathy
1141	C0011875	Diabetic vascular disorder
1142	C0019284	Diaphragmatic hernia
1143	C0011991	Diarrhoea
1144	C0151594	Diarrhoea haemorrhagic
1145	C0520863	Diastolic dysfunction
1146	C0235222	Diastolic hypertension
1147	C0856050	Diet refusal
1148	C0406458	Diffuse alopecia
1149	C0079744	Diffuse large B-cell lymphoma
1150	C0264734	Dilatation atrial
1151	C0264733	Dilatation ventricular
1152	C0221165	Diplegia
1153	C0012569	Diplopia
1154	C0231170	Disability
1155	C0234215	Discomfort
1156	C0242656	Disease progression
1157	C0679254	Disease recurrence
1158	C0424296	Disinhibition
1159	C0233407	Disorientation
1160	C0012739	Disseminated intravascular coagulation
1161	C0152915	Disseminated tuberculosis
1162	C0086168	Dissociation
1163	C0012746	Dissociative disorder
1164	C0233415	Distractibility
1165	C0233414	Disturbance in attention
1166	C0855242	Disturbance in sexual arousal
1167	C0853013	Diverticular perforation
1168	C0012813	Diverticulitis
1169	C0012817	Diverticulum
1170	C1510475	Diverticulum intestinal
1171	C0012833	Dizziness
1172	C0234988	Dizziness exertional
1173	C0234987	Dizziness postural
1174	C0860514	Dreamy state
1175	C0013132	Drooling
1176	C0860207	Drug-induced liver injury
1177	C0013146	Drug abuse
1178	C1536055	Drug administration error
1179	C1510472	Drug dependence
1180	C0521845	Drug effect decreased
1181	C0151730	Drug effect increased
1182	C0392167	Drug effect prolonged
1183	C0011609	Drug eruption
1184	C0013182	Drug hypersensitivity
1185	C0852908	Drug ineffective
1186	C0687133	Drug interaction
1187	C0277585	Drug intolerance
1188	C0854095	Drug level changed
1189	C0151598	Drug level decreased
1190	C0151599	Drug level increased
1191	C1142139	Drug reaction with eosinophilia and systemic symptoms
1192	C0743295	Drug screen positive
1193	C0013220	Drug tolerance
1194	C0521854	Drug tolerance decreased
1195	C0234547	Drug withdrawal convulsions
1196	C0152128	Drug withdrawal syndrome
1197	C0027609	Drug withdrawal syndrome neonatal
1198	C0314719	Dry eye
1199	C0043352	Dry mouth
1200	C0151908	Dry skin
1201	C0235234	Dry throat
1202	C0267356	Duodenal perforation
1203	C0013295	Duodenal ulcer
1204	C0151966	Duodenal ulcer haemorrhage
1205	C0740401	Duodenal ulcer perforation
1206	C0013298	Duodenitis
1207	C0341245	Duodenitis haemorrhagic
1208	C0013312	Dupuytren's contracture
1209	C0013336	Dwarfism
1210	C1510450	Dysacusis
1211	C0392699	Dysaesthesia
1212	C1328291	Dysaesthesia pharynx
1213	C0013362	Dysarthria
1214	C0237326	Dyschezia
1215	C0013369	Dysentery
1216	C0013378	Dysgeusia
1217	C0234144	Dysgraphia
1218	C0032633	Dyshidrotic eczema
1219	C0013384	Dyskinesia
1220	C0476254	Dyslexia
1221	C0242339	Dyslipidaemia
1222	C0013390	Dysmenorrhoea
1223	C1737329	Dysmorphism
1224	C1384606	Dyspareunia
1225	C0013395	Dyspepsia
1226	C0011168	Dysphagia
1227	C1096340	Dysphemia
1228	C1527344	Dysphonia
1229	C0233477	Dysphoria
1230	C0334044	Dysplasia
1231	C0013404	Dyspnoea
1232	C2712054	Dyspnoea at rest
1233	C0231807	Dyspnoea exertional
1234	C1956415	Dyspnoea paroxysmal nocturnal
1235	C0700201	Dyssomnia
1236	C0241237	Dysstasia
1237	C0013415	Dysthymic disorder
1238	C0393593	Dystonia
1239	C0333582	Dystrophic calcification
1240	C0013428	Dysuria
1241	C0456495	Ear canal erythema
1242	C0849796	Ear congestion
1243	C0948296	Ear discomfort
1244	C0013447	Ear disorder
1245	C0271412	Ear haemorrhage
1246	C0699744	Ear infection
1247	C0266589	Ear malformation
1248	C0013456	Ear pain
1249	C0849907	Ear pruritus
1250	C0342548	Early menarche
1251	C0239233	Early satiety
1252	C0013473	Eating disorder
1253	C0013491	Ecchymosis
1254	C1141959	ECG signs of myocardial ischaemia
1255	C0476369	Echocardiogram abnormal
1256	C0013528	Echolalia
1257	C0013537	Eclampsia
1258	C0001231	Ectopic ACTH syndrome
1259	C0032987	Ectopic pregnancy
1260	C0013592	Ectropion
1261	C0269189	Ectropion of cervix
1262	C0013595	Eczema
1263	C0155177	Eczema eyelids
1264	C0936250	Eczema herpeticum
1265	C1322253	Eczema infected
1266	C0013687	Effusion
1267	C0234047	Ejaculation delayed
1268	C0235969	Ejaculation disorder
1269	C0278106	Ejaculation failure
1270	C0743400	Ejection fraction decreased
1271	C0221271	Elastosis perforans
1272	C0013781	Electric shock
1273	C0522055	Electrocardiogram abnormal
1274	C0855329	Electrocardiogram change
1275	C0600125	Electrocardiogram PR prolongation
1276	C0520878	Electrocardiogram PR shortened
1277	C0429098	Electrocardiogram QRS complex
1278	C0438173	Electrocardiogram QRS complex abnormal
1279	C0235475	Electrocardiogram QRS complex prolonged
1280	C0429028	Electrocardiogram QT interval
1281	C1504435	Electrocardiogram QT interval abnormal
1282	C0151878	Electrocardiogram QT prolonged
1283	C0151879	Electrocardiogram QT shortened
1284	C0948857	Electrocardiogram repolarisation abnormality
1285	C0919620	Electrocardiogram ST-T change
1286	C0948376	Electrocardiogram ST-T segment abnormal
1287	C0429029	Electrocardiogram ST segment
1288	C0855335	Electrocardiogram ST segment abnormal
1289	C0520887	Electrocardiogram ST segment depression
1290	C0520886	Electrocardiogram ST segment elevation
1291	C0438167	Electrocardiogram T wave abnormal
1292	C0429059	Electrocardiogram T wave amplitude decreased
1293	C0520888	Electrocardiogram T wave inversion
1294	C1096355	Electrocardiogram U-wave abnormality
1295	C0151611	Electroencephalogram abnormal
1296	C0151614	Electrolyte depletion
1297	C0342579	Electrolyte imbalance
1298	C0233479	Elevated mood
1299	C0262469	Embolic stroke
1300	C0013922	Embolism
1301	C0549124	Embolism arterial
1302	C0340726	Embolism venous
1303	C0233459	Emotional disorder
1304	C0700361	Emotional distress
1305	C0235113	Emotional poverty
1306	C0034067	Emphysema
1307	C0392168	Emprosthotonus
1308	C0014034	Enanthema
1309	C0014038	Encephalitis
1310	C0238097	Encephalitis cytomegalovirus
1311	C0243010	Encephalitis viral
1312	C0014065	Encephalocele
1313	C0085584	Encephalopathy
1314	C0740832	End stage AIDS
1315	C0553980	Endocardial fibrosis
1316	C0014118	Endocarditis
1317	C0014130	Endocrine disorder
1318	C1153706	Endometrial adenocarcinoma
1319	C0476089	Endometrial cancer
1320	C0151622	Endometrial disorder
1321	C0014173	Endometrial hyperplasia
1322	C0858833	Endometrial hypertrophy
1323	C0014170	Endometrial neoplasm
1324	C0014175	Endometriosis
1325	C0014179	Endometritis
1326	C0014236	Endophthalmitis
1327	C0281803	Endotracheal intubation complication
1328	C0455769	Energy increased
1329	C0156394	Enlarged clitoris
1330	C0014306	Enophthalmos
1331	C0014335	Enteritis
1332	C0743525	Enterobacter sepsis
1333	C0086227	Enterobiasis
1334	C0854504	Enterococcal bacteraemia
1335	C0851881	Enterococcal infection
1336	C0014356	Enterocolitis
1337	C0151623	Enterocolitis haemorrhagic
1338	C1142115	Enterocolitis infectious
1339	C0341318	Enterocutaneous fistula
1340	C0014394	Enuresis
1341	C0151625	Enzyme abnormality
1342	C0014431	Enzyme induction
1343	C0272195	Eosinopenia
1344	C0853644	Eosinophil count abnormal
1345	C2240374	Eosinophil count increased
1346	C0014457	Eosinophilia
1347	C0742965	Eosinophilic cystitis
1348	C0151788	Eosinophilic myocarditis
1349	C1527407	Eosinophilic pneumonia
1350	C0406305	Eosinophilic pustular folliculitis
1351	C0016689	Ephelides
1352	C0014488	Epicondylitis
1353	C1697943	Epidermal growth factor receptor decreased
1354	C0334082	Epidermal naevus
1355	C1167709	Epidermal necrosis
1356	C0333472	Epidermolysis
1357	C0014527	Epidermolysis bullosa
1358	C0239279	Epididymal tenderness
1359	C0014534	Epididymitis
1360	C0238154	Epidural haemorrhage
1361	C1960509	Epidural lipomatosis
1362	C1291078	Epigastric discomfort
1363	C0014541	Epiglottitis
1364	C0014544	Epilepsy
1365	C0151628	Epiphyses premature fusion
1366	C0014571	Epiphysiolysis
1367	C0014583	Episcleritis
1368	C0014591	Epistaxis
1369	C0149678	Epstein-Barr virus infection
1370	C0242350	Erectile dysfunction
1371	C0541941	Erection increased
1372	C0014714	Ergot poisoning
1373	C0267055	Erosive oesophagitis
1374	C0014724	Eructation
1375	C0014733	Erysipelas
1376	C0041834	Erythema
1377	C0234906	Erythema annulare
1378	C0085273	Erythema infectiosum
1379	C0014742	Erythema multiforme
1380	C0014743	Erythema nodosum
1381	C0239454	Erythema of eyelid
1382	C0014752	Erythrasma
1383	C0748052	Erythrodermic psoriasis
1384	C0023440	Erythroleukaemia
1385	C0014804	Erythromelalgia
1386	C0221395	Erythropenia
1387	C0702109	Erythropoiesis abnormal
1388	C0271211	Erythropsia
1389	C1112192	Erythrosis
1390	C0521172	Eschar
1391	C1096262	Escherichia bacteraemia
1392	C0854453	Escherichia sepsis
1393	C0085580	Essential hypertension
1394	C0040028	Essential thrombocythaemia
1395	C0270736	Essential tremor
1396	C0235146	Euphoric mood
1397	C0271468	Eustachian tube disorder
1398	C0272126	Evans syndrome
1399	C0263634	Excessive granulation tissue
1400	C0015256	Excoriation
1401	C1608945	Exfoliative rash
1402	C1306503	Exomphalos
1403	C0015300	Exophthalmos
1404	C1442903	Exostosis
1405	C0522757	Exposure to toxic agent
1406	C0236826	Expressive language disorder
1407	C0034935	Extensor plantar response
1408	C0155388	External ear disorder
1409	C0270629	Extradural abscess
1410	C0392788	Extranodal NK/T-cell lymphoma, nasal type
1411	C0015371	Extrapyramidal disorder
1412	C0334040	Extraskeletal ossification
1413	C0340464	Extrasystoles
1414	C0015376	Extravasation
1415	C0919768	Extremity contracture
1416	C1167745	Extremity necrosis
1417	C0852875	Eye allergy
1418	C0015395	Eye burns
1419	C0423006	Eye discharge
1420	C0015397	Eye disorder
1421	C0015402	Eye haemorrhage
1422	C0015403	Eye infection
1423	C0015407	Eye infection viral
1424	C0015408	Eye injury
1425	C0235266	Eye irritation
1426	C0028850	Eye movement disorder
1427	C0919866	Eye naevus
1428	C0743680	Eye oedema
1429	C0151827	Eye pain
1430	C0015409	Eye penetration
1431	C0022281	Eye pruritus
1432	C0270996	Eye swelling
1433	C0848383	Eye ulcer
1434	C1142111	Eyelash discolouration
1435	C1536145	Eyelash hyperpigmentation
1436	C1142112	Eyelash thickening
1437	C0155216	Eyelid bleeding
1438	C0015423	Eyelid disorder
1439	C1609496	Eyelid exfoliation
1440	C0854286	Eyelid function disorder
1441	C0549322	Eyelid infection
1442	C1112366	Eyelid irritation
1443	C0948294	Eyelid margin crusting
1444	C0162285	Eyelid oedema
1445	C1142349	Eyelid pain
1446	C0005745	Eyelid ptosis
1447	C0234665	Eyelid retraction
1448	C0849918	Eyelids pruritus
1449	C0015459	Face injury
1450	C0542571	Face oedema
1451	C0159321	Facial bones fracture
1452	C0015467	Facial neuralgia
1453	C0015468	Facial pain
1454	C0427055	Facial paresis
1455	C0278151	Facial spasm
1456	C1112303	Facial wasting
1457	C0001733	Factor I deficiency
1458	C0020640	Factor II deficiency
1459	C0019069	Factor VIII deficiency
1460	C0015523	Factor XI deficiency
1461	C0015732	Faecal incontinence
1462	C0015734	Faecalith
1463	C1321686	Faecaloma
1464	C0235315	Faeces discoloured
1465	C0278016	Faeces hard
1466	C0269806	Failed induction of labour
1467	C0015544	Failure to thrive
1468	C0085639	Fall
1469	C0269173	Fallopian tube cyst
1470	C0039685	Fallot's tetralogy
1471	C0393615	Familial tremor
1472	C0577730	Family stress
1473	C0015624	Fanconi syndrome
1474	C0341702	Fanconi syndrome acquired
1475	C0015645	Fasciitis
1476	C0015663	Fasting
1477	C0013928	Fat embolism
1478	C0239549	Fat intolerance
1479	C0015668	Fat necrosis
1480	C0856151	Fat redistribution
1481	C0235433	Fat tissue increased
1482	C0015672	Fatigue
1483	C0015726	Fear
1484	C1095923	Febrile bone marrow aplasia
1485	C0009952	Febrile convulsion
1486	C0746883	Febrile neutropenia
1487	C1443060	Feeling abnormal
1488	C0234192	Feeling cold
1489	C0522172	Feeling drunk
1490	C2939147	Feeling hot
1491	C0549209	Feeling jittery
1492	C0549385	Feeling of body temperature change
1493	C0233488	Feeling of despair
1494	C0522165	Feeling of relaxation
1495	C0855235	Feelings of worthlessness
1496	C0033948	Female orgasmic disorder
1497	C0017416	Female reproductive neoplasm
1498	C0015786	Female sexual arousal disorder
1499	C1112442	Female sexual dysfunction
1500	C0877195	Feminisation acquired
1501	C0015806	Femoral neck fracture
1502	C0015802	Femur fracture
1503	C0235839	Fever neonatal
1504	C0178421	Fibroadenoma of breast
1505	C0016034	Fibrocystic breast disease
1506	C0016045	Fibroma
1507	C0016053	Fibromyalgia
1508	C0016059	Fibrosis
1509	C0410740	Finger deformity
1510	C0016169	Fistula
1511	C0151629	Fixed eruption
1512	C0016199	Flank pain
1513	C0233471	Flat affect
1514	C0016204	Flatulence
1515	C0233657	Flight of ideas
1516	C0270971	Floppy infant
1517	C1735601	Floppy iris syndrome
1518	C2364164	Fluid imbalance
1519	C0426597	Fluid intake reduced
1520	C0546817	Fluid overload
1521	C0268000	Fluid retention
1522	C0852203	Fluoride increased
1523	C0016325	Fluorosis
1524	C0016382	Flushing
1525	C0017668	Focal segmental glomerulosclerosis
1526	C0410959	Foetal acidosis
1527	C0015923	Foetal alcohol syndrome
1528	C1739111	Foetal anticonvulsant syndrome
1529	C1535919	Foetal chromosome abnormality
1530	C0854268	Foetal damage
1531	C0015927	Foetal death
1532	C0015929	Foetal disorder
1533	C0015930	Foetal distress syndrome
1534	C0018811	Foetal heart rate
1535	C0239571	Foetor hepaticus
1536	C0016412	Folate deficiency
1537	C0016436	Folliculitis
1538	C0235014	Fontanelle bulging
1539	C0016470	Food allergy
1540	C0877173	Food aversion
1541	C0872380	Food craving
1542	C0242784	Food interaction
1543	C3665356	Food intolerance
1544	C0016479	Food poisoning
1545	C0016514	Foot and mouth disease
1546	C0272774	Foot fracture
1547	C0520837	Forced expiratory volume decreased
1548	C0016542	Foreign body
1549	C0015401	Foreign body in eye
1550	C0920171	Foreign body sensation in eyes
1551	C0016579	Formication
1552	C0428167	Fraction of inspired oxygen
1553	C0016658	Fracture
1554	C1096506	Free prostate-specific antigen increased
1555	C1262022	Freezing phenomenon
1556	C0239978	Frequent bowel movements
1557	C0016751	Fructose intolerance
1558	C0016770	Frustration
1559	C0559031	Functional gastrointestinal disorder
1560	C0085082	Fungaemia
1561	C0026946	Fungal infection
1562	C0401013	Fungal peritonitis
1563	C0744235	Fungal sepsis
1564	C0011630	Fungal skin infection
1565	C1167761	Fungal test positive
1566	C0242301	Furuncle
1567	C0575081	Gait disturbance
1568	C0235660	Galactorrhoea
1569	C0153452	Gallbladder cancer
1570	C0016977	Gallbladder disorder
1571	C0262493	Gallbladder polyp
1572	C0151662	Gamma-glutamyltransferase increased
1573	C0017086	Gangrene
1574	C0017105	Gas gangrene
1575	C0152020	Gastric atony
1576	C0024623	Gastric cancer
1577	C0038353	Gastric dilatation
1578	C0038354	Gastric disorder
1579	C0235325	Gastric haemorrhage
1580	C0235884	Gastric perforation
1581	C1168034	Gastric pH decreased
1582	C0236048	Gastric polyps
1583	C0038358	Gastric ulcer
1584	C0341164	Gastric ulcer haemorrhage
1585	C0948036	Gastric ulcer helicobacter
1586	C0341163	Gastric ulcer perforation
1587	C0017150	Gastrinoma
1588	C0017152	Gastritis
1589	C2243088	Gastritis erosive
1590	C2010560	Gastritis haemorrhagic
1591	C0563238	Gastritis viral
1592	C0267166	Gastroduodenitis
1593	C0017160	Gastroenteritis
1594	C0343361	Gastroenteritis adenovirus
1595	C0558348	Gastroenteritis bacterial
1596	C0036114	Gastroenteritis salmonella
1597	C0853198	Gastroenteritis yersinia
1598	C0343886	Gastrointestinal candidiasis
1599	C0151544	Gastrointestinal carcinoma
1600	C0017178	Gastrointestinal disorder
1601	C0341212	Gastrointestinal fistula
1602	C0729549	Gastrointestinal fungal infection
1603	C0017181	Gastrointestinal haemorrhage
1604	C0948395	Gastrointestinal hypermotility
1605	C0948779	Gastrointestinal hypomotility
1606	C1264613	Gastrointestinal infection
1607	C1535950	Gastrointestinal inflammation
1608	C0012241	Gastrointestinal malformation
1609	C0854121	Gastrointestinal motility disorder
1610	C0852925	Gastrointestinal necrosis
1611	C0017185	Gastrointestinal neoplasm
1612	C0236124	Gastrointestinal obstruction
1613	C0687713	Gastrointestinal pain
1614	C0151664	Gastrointestinal perforation
1615	C1963818	Gastrointestinal sounds abnormal
1616	C1696157	Gastrointestinal stoma complication
1617	C0238198	Gastrointestinal stromal tumour
1618	C1142499	Gastrointestinal toxicity
1619	C2697368	Gastrointestinal tract irritation
1620	C0237938	Gastrointestinal ulcer
1621	C1112525	Gastrointestinal ulcer haemorrhage
1622	C0858346	Gastrointestinal ulcer perforation
1623	C0017168	Gastrooesophageal reflux disease
1624	C1328327	Gastrooesophageal sphincter insufficiency
1625	C0392034	Gastrooesophagitis
1626	C1112261	Gaze palsy
1627	C0877211	General physical health deterioration
1628	C0159028	General symptom
1629	C0270549	Generalised anxiety disorder
1630	C0849916	Generalised erythema
1631	C0151603	Generalised oedema
1632	C0032529	Genetic polymorphism
1633	C1096300	Genital burning sensation
1634	C0343863	Genital candidiasis
1635	C1112274	Genital discharge
1636	C1868730	Genital discomfort
1637	C0017411	Genital disorder female
1638	C0017412	Genital disorder male
1639	C0854381	Genital haemorrhage
1640	C0019342	Genital herpes
1641	C2609096	Genital hypoaesthesia
1642	C0729552	Genital infection
1643	C0740330	Genital infection fungal
1644	C0564768	Genital infection male
1645	C0560637	Genital injury
